cbsa_fips,name,population_2000,population_2005,pctchg_00_05
23060,"Fort Wayne, IN",390156,403240,0.03353530382718707
23420,"Fresno, CA",799407,872470,0.09139649765388594
23460,"Gadsden, AL",103459,103174,-0.0027547144279376373
23540,"Gainesville, FL",232392,249557,0.07386226720369031
23580,"Gainesville, GA",139277,160979,0.15581897944384213
24020,"Glens Falls, NY",124345,127674,0.026772286782741565
24140,"Goldsboro, NC",113329,117009,0.03247182980525726
24220,"Grand Forks, ND-MN",97478,97777,0.0030673587886497467
24300,"Grand Junction, CO",116255,130194,0.1199002193454045
24340,"Grand Rapids-Wyoming, MI",930670,970713,0.04302599202724919
24500,"Great Falls, MT",80357,80041,-0.003932451435469219
24540,"Greeley, CO",180936,222879,0.23181124817615067
24580,"Green Bay, WI",282599,296800,0.05025141631782137
24660,"Greensboro-High Point, NC",643430,677080,0.05229784125701319
24780,"Greenville, NC",133798,147929,0.10561443369856052
24860,"Greenville-Anderson-Mauldin, SC",725680,763048,0.05149377135927682
25060,"Gulfport-Biloxi-Pascagoula, MS",363988,360304,-0.010121212787234744
25180,"Hagerstown-Martinsburg, MD-WV",207828,234198,0.1268837692707431
25260,"Hanford-Corcoran, CA",129461,145147,0.12116390264249464
25420,"Harrisburg-Carlisle, PA",509074,525775,0.03280662536291384
25500,"Harrisonburg, VA",108193,116602,0.0777222186278225
25540,"Hartford-West Hartford-East Hartford, CT",1148618,1187929,0.034224607310698596
25620,"Hattiesburg, MS",123812,129050,0.04230607695538397
25860,"Hickory-Lenoir-Morganton, NC",341851,354159,0.036003990042445394
25980,"Hinesville, GA",71914,76395,0.06231053758656173
26300,"Hot Springs, AR",88068,92096,0.04573738474814916
26380,"Houma-Thibodaux, LA",194477,199625,0.026470996570288518
26420,"Houston-The Woodlands-Sugar Land, TX",4693161,5234054,0.11525131995258633
26580,"Huntington-Ashland, WV-KY-OH",362346,361864,-0.00133022028668731
26620,"Huntsville, AL",342376,372777,0.08879419118162488
26820,"Idaho Falls, ID",104576,116208,0.11123011015911873
26900,"Indianapolis-Carmel-Anderson, IN",1658462,1772959,0.06903806056454716
26980,"Iowa City, IA",131676,141650,0.07574652935994411
27060,"Ithaca, NY",96501,99433,0.030383104838291833
27100,"Jackson, MI",158422,163047,0.02919417757634672
27140,"Jackson, MS",525346,545336,0.03805111298077838
27180,"Jackson, TN",121909,126192,0.03513276296253763
27260,"Jacksonville, FL",1122750,1249072,0.11251124471164552
27340,"Jacksonville, NC",150355,157205,0.04555884406903661
27500,"Janesville-Beloit, WI",152307,156761,0.02924356726874011
27620,"Jefferson City, MO",140052,144450,0.03140262188330049
27740,"Johnson City, TN",181607,189182,0.041710947265248585
27780,"Johnstown, PA",152598,146975,-0.036848451486913326
27860,"Jonesboro, AR",107762,112570,0.044616840815872014
27900,"Joplin, MO",157322,166160,0.05617777551772797
28020,"Kalamazoo-Portage, MI",314866,320268,0.01715650467182865
28100,"Kankakee, IL",103833,107917,0.03933238951007868
28140,"Kansas City, MO-KS",1811254,1909428,0.05420222674456482
28420,"Kennewick-Richland, WA",191822,219086,0.14213176799324373
28660,"Killeen-Temple, TX",330714,357533,0.08109423852633998
28700,"Kingsport-Bristol-Bristol, TN-VA",298484,302519,0.013518312539365595
28740,"Kingston, NY",177749,182438,0.02637989524554287
28940,"Knoxville, TN",748259,790669,0.056678235744575076
29020,"Kokomo, IN",84964,84382,-0.006849959983051645
29100,"La Crosse-Onalaska, WI-MN",126838,129549,0.02137372080922121
29180,"Lafayette, LA",425020,436399,0.02677285774787069
29200,"Lafayette-West Lafayette, IN",178541,188023,0.05310824964573963
29340,"Lake Charles, LA",193568,192364,-0.006220036369647876
29460,"Lakeland-Winter Haven, FL",483924,547373,0.1311135632867971
29540,"Lancaster, PA",470658,494722,0.051128420211703614
29620,"Lansing-East Lansing, MI",447728,462743,0.03353598613443877
29700,"Laredo, TX",193117,223703,0.15838067078506812
29740,"Las Cruces, NM",174682,189199,0.08310529991641954
29820,"Las Vegas-Henderson-Paradise, NV",1375765,1729522,0.25713475775295924
29940,"Lawrence, KS",99962,105681,0.057211740461375324
30020,"Lawton, OK",121610,121475,-0.0011101060768028946
30140,"Lebanon, PA",120327,126197,0.04878373099969251
30300,"Lewiston, ID-WA",57961,58979,0.017563534100515865
30340,"Lewiston-Auburn, ME",103793,107352,0.034289402946248784
30460,"Lexington-Fayette, KY",408326,436898,0.06997350156492606
30620,"Lima, OH",108473,106861,-0.014860840946595006
30700,"Lincoln, NE",266787,285469,0.07002590081225847
30780,"Little Rock-North Little Rock-Conway, AR",610518,648784,0.06267792268205033
30860,"Logan, UT-ID",102720,112580,0.09598909657320873
30980,"Longview, TX",194042,203062,0.04648478164521083
31020,"Longview, WA",92948,96536,0.03860222920342557
31080,"Los Angeles-Long Beach-Anaheim, CA",12365627,12726428,0.029177735993492285
31140,"Louisville/Jefferson County, KY-IN",1121109,1172611,0.04593844131123735
31180,"Lubbock, TX",256250,270478,0.05552390243902439
31340,"Lynchburg, VA",228616,167504,-0.26731287398957204
31420,"Macon-Bibb County, GA",222368,228125,0.02588951647719096
31460,"Madera, CA",123109,140313,0.13974607867824448
31540,"Madison, WI",535421,573036,0.07025312791242778
31700,"Manchester-Nashua, NH",380841,396381,0.040804430195278345
31900,"Mansfield, OH",128852,127724,-0.00875422965883339
32580,"McAllen-Edinburg-Mission, TX",569463,674982,0.18529562061099666
32780,"Medford, OR",181269,194701,0.07409981850178464
32820,"Memphis, TN-MS-AR",1213230,1271965,0.048412090040635326
32900,"Merced, CA",210554,242554,0.15198001462807642
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",5007564,5411148,0.08059487607147907
33140,"Michigan City-La Porte, IN",110106,109541,-0.005131418814596843
33260,"Midland, TX",120755,126963,0.051409879508094905
33340,"Milwaukee-Waukesha-West Allis, WI",1500741,1522391,0.014426206787180465
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3031918,3199046,0.055122862821487914
33540,"Missoula, MT",95802,102298,0.06780651760923571
33660,"Mobile, AL",399843,396188,-0.00914108787699172
33700,"Modesto, CA",446997,500020,0.11862048291151842
33740,"Monroe, LA",170053,172241,0.012866576890734066
33780,"Monroe, MI",145945,152374,0.044050841070266196
33860,"Montgomery, AL",346528,358659,0.03500727213962508
34060,"Morgantown, WV",111200,119937,0.07857014388489209
34100,"Morristown, TN",102422,107703,0.051561188026010035
34580,"Mount Vernon-Anacortes, WA",102979,110683,0.07481136930830558
34620,"Muncie, IN",118769,118170,-0.0050434035817427105
34740,"Muskegon, MI",170200,173608,0.020023501762632196
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",269772,317745,0.17782794359681509
34900,"Napa, CA",124279,130381,0.049099204209882605
34940,"Naples-Immokalee-Marco Island, FL",251377,307452,0.22307132315207837
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1381287,1511310,0.09413177710352737
35300,"New Haven-Milford, CT",824008,847162,0.028099241754934418
35380,"New Orleans-Metairie, LA",1337726,1231358,-0.07951404099195201
35620,"New York-Newark-Jersey City, NY-NJ-PA",18944519,19227714,0.014948650847245053
35660,"Niles-Benton Harbor, MI",162453,158510,-0.024271635488418188
35840,"North Port-Sarasota-Bradenton, FL",589959,674757,0.1437354121218593
35980,"Norwich-New London, CT",259088,269664,0.04082010745383808
36100,"Ocala, FL",258916,303558,0.17241885399125584
36140,"Ocean City, NJ",102326,99269,-0.029875105056388407
36220,"Odessa, TX",121123,125378,0.03512957902297664
36260,"Ogden-Clearfield, UT",485401,532425,0.09687660305602996
36420,"Oklahoma City, OK",1095421,1161308,0.06014765099445784
36500,"Olympia-Tumwater, WA",207355,227023,0.09485182416628488
36540,"Omaha-Council Bluffs, NE-IA",767041,814309,0.06162382454132178
36740,"Orlando-Kissimmee-Sanford, FL",1644561,1955794,0.18924989708499715
36780,"Oshkosh-Neenah, WI",156763,161451,0.02990501585195486
36980,"Owensboro, KY",109875,111469,0.014507394766780432
37100,"Oxnard-Thousand Oaks-Ventura, CA",753197,794197,0.054434629983921866
37340,"Palm Bay-Melbourne-Titusville, FL",476230,529907,0.11271234487537535
37460,"Panama City, FL",161549,178698,0.10615355093501043
37620,"Parkersburg-Vienna, WV",93859,92655,-0.012827752266697919
37860,"Pensacola-Ferry Pass-Brent, FL",412153,439471,0.06628121110364354
37900,"Peoria, IL",366899,369772,0.00783049286043298
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5687147,5829139,0.024967175984724855
38060,"Phoenix-Mesa-Scottsdale, AZ",3251876,3774696,0.16077488809536403
38220,"Pine Bluff, AR",107341,103917,-0.03189834266496493
38300,"Pittsburgh, PA",2431087,2374483,-0.02328341190586762
38340,"Pittsfield, MA",134953,132563,-0.017709869361926003
38540,"Pocatello, ID",75565,77419,0.024535168398067887
38860,"Portland-South Portland, ME",487568,510287,0.04659657729793588
38900,"Portland-Vancouver-Hillsboro, OR-WA",1927881,2067325,0.0723301905044969
38940,"Port St. Lucie, FL",319426,383877,0.201771302273453
39140,"Prescott, AZ",167517,195424,0.16659204737429634
39300,"Providence-Warwick, RI-MA",1582997,1613353,0.01917628397274284
39340,"Provo-Orem, UT",376774,439623,0.16680821925079756
39380,"Pueblo, CO",141472,149825,0.05904348563673377
39460,"Punta Gorda, FL",141627,155262,0.09627401554788281
39540,"Racine, WI",188831,193251,0.023407173610265265
39580,"Raleigh, NC",797071,944725,0.18524573093237617
39660,"Rapid City, SD",120093,125998,0.04917022640786724
39740,"Reading, PA",373638,395933,0.059670054972995254
39820,"Redding, CA",163256,175615,0.07570319008183467
39900,"Reno, NV",342885,396546,0.15649853449407236
40060,"Richmond, VA",1055683,1135074,0.07520344648914494
40140,"Riverside-San Bernardino-Ontario, CA",3254821,3875709,0.19075949184302302
40220,"Roanoke, VA",288309,296405,0.028080982556909426
40340,"Rochester, MN",184740,197188,0.0673811843672188
40380,"Rochester, NY",1062452,1070418,0.007497750486610218
40420,"Rockford, IL",320204,335903,0.04902811957377172
40580,"Rocky Mount, NC",143026,147027,0.027973934809055696
40660,"Rome, GA",90565,94332,0.041594434936233646
40900,"Sacramento--Roseville--Arden-Arcade, CA",1796857,2034850,0.13244960506039155
40980,"Saginaw, MI",210039,207368,-0.012716685948799985
41060,"St. Cloud, MN",167392,179222,0.07067243356910724
41100,"St. George, UT",90354,119000,0.3170418575823981
41140,"St. Joseph, MO-KS",122336,123484,0.009383991629610254
41180,"St. Louis, MO-IL",2675343,2730316,0.02054801945021629
41420,"Salem, OR",347214,368046,0.05999758074271199
41500,"Salinas, CA",401762,405139,0.00840547388752545
41540,"Salisbury, MD-DE",312572,345704,0.10599797806585362
41620,"Salt Lake City, UT",939122,997221,0.0618652315673576
41660,"San Angelo, TX",105781,106587,0.007619515792060956
41700,"San Antonio-New Braunfels, TX",1711703,1896328,0.10786041737380843
41740,"San Diego-Carlsbad, CA",2813833,2938375,0.044260622432105955
41860,"San Francisco-Oakland-Hayward, CA",4123740,4137858,0.003423591206041118
41940,"San Jose-Sunnyvale-Santa Clara, CA",1735819,1729959,-0.0033759280201449576
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",246681,258615,0.04837826991134299
42100,"Santa Cruz-Watsonville, CA",255602,251377,-0.016529604619682163
42140,"Santa Fe, NM",129292,137610,0.06433499365776692
42200,"Santa Maria-Santa Barbara, CA",399347,408079,0.021865695748309114
42220,"Santa Rosa, CA",458614,465938,0.01596985700392923
42340,"Savannah, GA",293000,314528,0.07347440273037542
42540,"Scranton--Wilkes-Barre--Hazleton, PA",560625,556652,-0.007086733556298774
42660,"Seattle-Tacoma-Bellevue, WA",3043878,3198265,0.0507204953680798
42680,"Sebastian-Vero Beach, FL",112947,127955,0.1328764818897359
43100,"Sheboygan, WI",112646,114454,0.016050281412566803
43300,"Sherman-Denison, TX",110595,115666,0.045851982458519826
43340,"Shreveport-Bossier City, LA",417796,424302,0.015572193127746556
43580,"Sioux City, IA-NE-SD",167902,164840,-0.01823682862622244
43620,"Sioux Falls, SD",187093,206605,0.10429037965076192
43780,"South Bend-Mishawaka, IN-MI",316663,317221,0.0017621256667182462
43900,"Spartanburg, SC",283672,293722,0.035428241067147974
44060,"Spokane-Spokane Valley, WA",469737,494408,0.05252087870446654
44100,"Springfield, IL",201437,204988,0.017628340374409864
44140,"Springfield, MA",608479,616530,0.013231352273455616
44180,"Springfield, MO",368374,402883,0.09367924989277202
44220,"Springfield, OH",144742,141367,-0.023317350872587086
44300,"State College, PA",135758,145543,0.0720767836886224
44700,"Stockton-Lodi, CA",563598,656985,0.16569789105000374
44940,"Sumter, SC",104646,106082,0.01372245475221222
45060,"Syracuse, NY",650154,655021,0.007485918720795381
45220,"Tallahassee, FL",320304,344257,0.07478208202207902
45300,"Tampa-St. Petersburg-Clearwater, FL",2395997,2651580,0.10667083472975968
45460,"Terre Haute, IN",170943,170634,-0.0018076200838876117
45500,"Texarkana, TX-AR",143377,144534,0.008069634599691723
45780,"Toledo, OH",618203,616819,-0.0022387468194104525
45820,"Topeka, KS",224551,228208,0.016285832617089213
45940,"Trenton, NJ",350761,362015,0.03208452479038434
46060,"Tucson, AZ",843746,920298,0.09072872641766598
46140,"Tulsa, OK",859532,882861,0.02714151421936589
46220,"Tuscaloosa, AL",203009,212545,0.046973286898610404
46340,"Tyler, TX",174706,191362,0.0953373095371653
46520,"Urban Honolulu, HI",876156,918181,0.04796520254383922
46540,"Utica-Rome, NY",299896,298574,-0.004408194840878171
46660,"Valdosta, GA",119560,126411,0.05730177316828371
46700,"Vallejo-Fairfield, CA",394542,408181,0.034569196688818936
47020,"Victoria, TX",91016,91523,0.005570449151797486
47220,"Vineland-Bridgeton, NJ",146438,152022,0.03813217880604761
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1580057,1649013,0.04364146356745358
47300,"Visalia-Porterville, CA",368021,407970,0.10855087073835461
47380,"Waco, TX",232093,240784,0.0374461961368934
47580,"Warner Robins, GA",144021,161847,0.12377361634761597
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4837428,5273577,0.09016134193625207
47940,"Waterloo-Cedar Falls, IA",163706,163260,-0.0027243961736283335
48140,"Wausau, WI",125834,128958,0.024826358535848816
48260,"Weirton-Steubenville, WV-OH",132008,127464,-0.03442215623295558
48300,"Wenatchee, WA",99219,103369,0.041826666263518074
48540,"Wheeling, WV-OH",153172,149438,-0.024377823623116496
48620,"Wichita, KS",579839,596270,0.028337176354125887
48660,"Wichita Falls, TX",151524,151152,-0.0024550566246931177
48700,"Williamsport, PA",120044,117530,-0.020942321148912067
48900,"Wilmington, NC",201389,230897,0.1465224019186748
49020,"Winchester, VA-WV",102997,117847,0.14417895666864083
49180,"Winston-Salem, NC",569207,602805,0.0590259782469295
49340,"Worcester, MA-CT",860054,896901,0.04284265871677825
49420,"Yakima, WA",222581,228570,0.026907058553964625
49620,"York-Hanover, PA",381751,409066,0.07155187543713049
49660,"Youngstown-Warren-Boardman, OH-PA",602964,584222,-0.03108311607326474
49700,"Yuba City, CA",139149,155049,0.11426600263027402
49740,"Yuma, AZ",160026,178816,0.11741841950683014
