cbsa_fips,cbsa,city_fips,city,med_val_cbsa,med_val_city
10180,"Abilene, TX",4801000,Abilene city,102000,60000
10420,"Akron, OH",3901000,Akron city,140800,76800
10500,"Albany, GA",1301052,Albany city,111700,69200
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,203300,97000
10740,"Albuquerque, NM",3502000,Albuquerque city,181300,123700
10780,"Alexandria, LA",2200975,Alexandria city,128700,70700
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,202800,77000
11020,"Altoona, PA",4202184,Altoona city,117300,57600
11100,"Amarillo, TX",4803000,Amarillo city,129900,71600
11180,"Ames, IA",1901855,Ames city,172900,125300
11260,"Anchorage, AK",0203000,Anchorage municipality,284300,152300
11460,"Ann Arbor, MI",2603000,Ann Arbor city,231500,178500
11500,"Anniston-Oxford-Jacksonville, AL",0101852,Anniston city,110100,67200
11540,"Appleton, WI",5502375,Appleton city,161800,97600
11700,"Asheville, NC",3702140,Asheville city,198100,105200
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),162600,103000
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,184200,144100
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,219000,88700
12220,"Auburn-Opelika, AL",0103076,Auburn city,157100,116100
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),133500,73700
12420,"Austin-Round Rock, TX",4805000,Austin city,240500,120800
12540,"Bakersfield, CA",0603526,Bakersfield city,190600,103500
12580,"Baltimore-Columbia-Towson, MD",2404000,Baltimore city,285700,69900
12620,"Bangor, ME",2302795,Bangor city,137900,83800
12700,"Barnstable Town, MA",2503600,Barnstable Town city,375000,170600
12940,"Baton Rouge, LA",2205000,Baton Rouge city,168200,93100
12980,"Battle Creek, MI",2605920,Battle Creek city,102600,70800
13020,"Bay City, MI",2606020,Bay City city,96800,65800
13140,"Beaumont-Port Arthur, TX",4807000,Beaumont city,102900,62000
13380,"Bellingham, WA",5305280,Bellingham city,299800,148900
13460,"Bend-Redmond, OR",4105800,Bend city,298200,138100
13740,"Billings, MT",3006550,Billings city,211200,96700
13780,"Binghamton, NY",3606607,Binghamton city,113100,66100
13820,"Birmingham-Hoover, AL",0107000,Birmingham city,152200,62200
13900,"Bismarck, ND",3807200,Bismarck city,223600,90300
13980,"Blacksburg-Christiansburg-Radford, VA",5107784,Blacksburg town,168700,136200
14010,"Bloomington, IL",1706613,Bloomington city,158700,108200
14020,"Bloomington, IN",1805860,Bloomington city,155300,119300
14260,"Boise City, ID",1608830,Boise City city,192600,118100
14460,"Boston-Cambridge-Newton, MA-NH",2507000,Boston city,393500,210100
14500,"Boulder, CO",0807850,Boulder city,423500,272200
14540,"Bowling Green, KY",2108902,Bowling Green city,134200,97000
14740,"Bremerton-Silverdale, WA",5307695,Bremerton city,277500,101500
14860,"Bridgeport-Stamford-Norwalk, CT",0908000,Bridgeport city,417800,107700
15180,"Brownsville-Harlingen, TX",4810768,Brownsville city,82500,49400
15260,"Brunswick, GA",1311560,Brunswick city,136300,61500
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",3611000,Buffalo city,135000,58800
15500,"Burlington, NC",3709060,Burlington city,145500,94600
15540,"Burlington-South Burlington, VT",5010675,Burlington city,261700,127600
15940,"Canton-Massillon, OH",3912000,Canton city,126300,66400
15980,"Cape Coral-Fort Myers, FL",1210275,Cape Coral city,190200,106500
16180,"Carson City, NV",3209700,Carson City,217400,136300
16220,"Casper, WY",5613150,Casper city,198600,83100
16300,"Cedar Rapids, IA",1912000,Cedar Rapids city,149400,92900
16580,"Champaign-Urbana, IL",1712385,Champaign city,148600,89500
16620,"Charleston, WV",5414600,Charleston city,105100,100800
