cbsa_fips,name,sqmi,population_2005,density
10180,"Abilene, TX",2759.346175806358,160761,58.26054063442081
10420,"Akron, OH",922.957866983797,702498,761.137669583711
10500,"Albany, GA",1959.709173009632,156886,80.0557563136073
10580,"Albany-Schenectady-Troy, NY",2873.250835449426,854604,297.4345258882784
10740,"Albuquerque, NM",9295.588188264022,809551,87.08980901521477
10780,"Alexandria, LA",2027.9459048230829,147930,72.9457327476915
10900,"Allentown-Bethlehem-Easton, PA-NJ",1473.3290257813348,787738,534.6653640942473
11020,"Altoona, PA",526.4413113314055,126730,240.72958803231325
11100,"Amarillo, TX",5183.82652370335,240380,46.371150519958256
11180,"Ames, IA",572.759418322646,82884,144.70997306815113
11260,"Anchorage, AK",26572.342518699403,350903,13.205572664625397
11460,"Ann Arbor, MI",721.2699354736868,342234,474.4880982391721
11500,"Anniston-Oxford-Jacksonville, AL",612.4073638720971,114477,186.9294962036231
11540,"Appleton, WI",1039.4904347186261,215925,207.72196913812635
11700,"Asheville, NC",2040.7253538758061,396408,194.2485789413701
12020,"Athens-Clarke County, GA",1035.2562751065893,178974,172.8789327855781
12060,"Atlanta-Sandy Springs-Roswell, GA",8838.951989594267,4770870,539.755166179944
12100,"Atlantic City-Hammonton, NJ",609.4158197789221,270332,443.59202899929375
12220,"Auburn-Opelika, AL",616.1731865223402,126133,204.7038117836484
12260,"Augusta-Richmond County, GA-SC",3583.3973573020708,531294,148.2654439417262
12420,"Austin-Round Rock, TX",4284.639468716439,1453358,339.2019353346867
12540,"Bakersfield, CA",8161.683562328392,760726,93.20699512429731
12580,"Baltimore-Columbia-Towson, MD",2707.2241951231554,2644231,976.7314449846332
12620,"Bangor, ME",3549.925624628428,149726,42.177221675079984
12700,"Barnstable Town, MA",449.30008486297163,221995,494.0907146004756
12940,"Baton Rouge, LA",4207.548064918886,733689,174.37447859889016
12980,"Battle Creek, MI",717.2535546187822,138946,193.71950003628677
13020,"Bay City, MI",450.9242904250154,109165,242.09163781597866
13140,"Beaumont-Port Arthur, TX",3205.4787158682716,395516,123.38749842326317
13380,"Bellingham, WA",2160.2718073485844,185450,85.8456789414905
