cbsa_fips,cbsa,no_hs_diploma,bachelors_plus,total_bach,total_mast,total_prof,total_doct,total_nohs,total_degr,total_ov25
17860,"Columbia, MO",0.10809943659441215,0.4173179840603704,18038,8025,3085,3369,8423,32517,77919
17900,"Columbia, SC",0.17864349355868472,0.26565380981264486,72397,25878,7463,4193,73925,109931,413813
17980,"Columbus, GA-AL",0.23356442330449037,0.18311907964233967,19719,8683,2620,701,40462,31723,173237
18020,"Columbus, IN",0.16217707868984696,0.2203188350421363,6416,3118,563,282,7640,10379,47109
18140,"Columbus, OH",0.14597250279116833,0.2756862166693427,198211,63554,21629,11931,156371,295325,1071236
18580,"Corpus Christi, TX",0.2608699170871657,0.17726108438171467,28294,10115,3890,1507,64468,43806,247127
18700,"Corvallis, OR",0.0688185672450719,0.4738843480921369,11969,6215,893,2607,3149,21684,45758
18880,"Crestview-Fort Walton Beach-Destin, FL",0.14444279272583121,0.2260400518167725,19756,9542,1624,1010,20405,31932,141267
19060,"Cumberland, MD-WV",0.19999138525155066,0.13439007580978635,5049,2852,776,683,13929,9360,69648
19100,"Dallas-Fort Worth-Arlington, TX",0.2001852089475401,0.2845576242546422,634547,202598,56794,26373,647436,920312,3234185
19140,"Dalton, GA",0.375956907645974,0.11128653496610191,5302,2078,810,198,28337,8388,75373
19180,"Danville, IL",0.2125748502994012,0.12451145612965685,4625,1565,643,112,11857,6945,55778
19300,"Daphne-Fairhope-Foley, AL",0.17975210915529632,0.23066347255494218,14225,5682,1553,686,17258,22146,96010
19340,"Davenport-Moline-Rock Island, IA-IL",0.1550829665296726,0.19905076886910986,33207,10738,3958,1208,38263,49111,246726
19380,"Dayton, OH",0.15843229680283583,0.23467573361153524,75720,34368,8453,4729,83221,123270,525278
19460,"Decatur, AL",0.26208365809301115,0.15809820732657834,10446,3595,829,343,25219,15213,96225
19500,"Decatur, IL",0.16825586807633486,0.16918678103597315,8548,2808,970,396,12652,12722,75195
19660,"Deltona-Daytona Beach-Ormond Beach, FL",0.17545757796319142,0.18028276674132548,41816,14559,5507,2270,62435,64152,355841
19740,"Denver-Aurora-Lakewood, CO",0.13483052138274998,0.34154873949282166,324464,110420,33283,13941,190318,482108,1411535
19780,"Des Moines-West Des Moines, IA",0.1152121740853298,0.27941340951723564,62403,15738,7114,2181,36053,87436,312927
19820,"Detroit-Warren-Dearborn, MI",0.17654433835245872,0.23225841427479335,425460,181541,52566,17339,514530,676906,2914452
20020,"Dothan, AL",0.26908261298236763,0.15921858161557334,9110,3321,1095,362,23471,13888,87226
20100,"Dover, DE",0.2058322502492145,0.1863619730217416,9201,4105,958,505,16312,14769,79249
20220,"Dubuque, IA",0.14770424208540078,0.21330980501782096,8340,2685,792,392,8454,12209,57236
20260,"Duluth, MN-WI",0.13318043483020603,0.20495697676964508,26104,7626,2517,1197,24331,37444,182692
20500,"Durham-Chapel Hill, NC",0.17225650558983893,0.38750472083805415,57124,27281,9854,11424,46979,105683,272727
20700,"East Stroudsburg, PA",0.16172752887196107,0.2051607586337465,12116,4156,1463,687,14522,18422,89793
20740,"Eau Claire, WI",0.12934948701156954,0.22117441606636107,13895,4055,1544,770,11851,20264,91620
20940,"El Centro, CA",0.40962789362923285,0.10332169504495886,5551,1924,925,241,34258,8641,83632
21060,"Elizabethtown-Fort Knox, KY",0.19749479079347593,0.14098388139774387,6819,3835,904,215,16492,11773,83506
21140,"Elkhart-Goshen, IN",0.242595741665781,0.15507315690650794,11246,4562,1145,556,27391,17509,112908
21300,"Elmira, NY",0.17940325021382986,0.18581814593065332,6346,3703,980,268,10907,11297,60796
21340,"El Paso, TX",0.3432126064302961,0.16574405896556108,43385,13872,6093,1862,135037,65212,393450
21500,"Erie, PA",0.15350959990227978,0.20871042608241813,23829,9575,2897,1289,27648,37590,180106
21660,"Eugene, OR",0.12471450752845428,0.2550937554902398,32829,13772,3981,3141,26265,53723,210601
21780,"Evansville, IN-KY",0.169369276674555,0.1849367218849676,22855,9325,2658,1110,32922,35948,194380
21820,"Fairbanks, AK",0.08166923750364781,0.27031308625505485,7859,3344,824,941,3918,12968,47974
22020,"Fargo, ND-MN",0.1028892640626199,0.29401043665106286,22356,5001,1905,1388,10726,30650,104248
22140,"Farmington, NM",0.2320799239986516,0.13525481903711195,5711,2211,664,241,15146,8827,65262
22180,"Fayetteville, NC",0.16179671290834385,0.1827987063178878,24759,8056,2343,789,31817,35947,196648
22220,"Fayetteville-Springdale-Rogers, AR-MO",0.2119981498612396,0.20890379278445884,29642,9618,3507,2398,45834,45165,216200
22380,"Flagstaff, AZ",0.16224081484176064,0.2994725354674427,12316,4933,1090,1419,10704,19758,65976
22420,"Flint, MI",0.168587481091983,0.16228120723186631,29272,11618,3018,1151,46810,45059,277660
22500,"Florence, SC",0.28213413065843623,0.1688207304526749,14219,4512,1642,631,35102,21004,124416
22520,"Florence-Muscle Shoals, AL",0.2481044475373398,0.16778495606472923,10316,4088,1061,689,23887,16154,96278
22540,"Fond du Lac, WI",0.1577705041858123,0.16861270220935357,7617,2269,595,234,10026,10715,63548
22660,"Fort Collins, CO",0.07679669620139874,0.39525398591027067,39319,15263,3234,4012,12013,61828,156426
22900,"Fort Smith, AR-OK",0.2661156823603876,0.13325867861142218,14197,5268,1920,511,43726,21896,164312
23060,"Fort Wayne, IN",0.14156840316227978,0.21327946586838978,34737,12932,3749,1162,34901,52580,246531
23420,"Fresno, CA",0.32475084515081004,0.17545550335865126,54658,14912,7305,3052,147937,79927,455540
23460,"Gadsden, AL",0.2594194389150639,0.13421357888556332,5679,2653,809,231,18115,9372,69829
23540,"Gainesville, FL",0.1299569453886245,0.36739179696351687,24922,12928,5122,5667,17205,48639,132390
23580,"Gainesville, GA",0.29490561039379876,0.18729339675884868,10368,3632,1561,700,25604,16261,86821
23900,"Gettysburg, PA",0.2028650723746531,0.16660296146112044,6087,2717,769,452,12207,10025,60173
24020,"Glens Falls, NY",0.1802397979151101,0.18895648770768847,9369,4902,1342,320,15198,15933,84321
24140,"Goldsboro, NC",0.22805717891733202,0.14987516119296512,7483,2279,618,545,16624,10925,72894
24220,"Grand Forks, ND-MN",0.13366568813076482,0.2423700255345759,9488,3075,852,538,7695,13953,57569
24260,"Grand Island, NE",0.16120109842002628,0.16018625383054086,5634,1613,713,90,8101,8050,50254
24300,"Grand Junction, CO",0.14999083265669608,0.21954477592393723,11174,3614,1423,553,11453,16764,76358
24340,"Grand Rapids-Wyoming, MI",0.14985528638570078,0.24090653306149495,93594,31629,8967,3232,85483,137422,570437
24420,"Grants Pass, OR",0.18239841278754187,0.14090253991427557,5066,1527,784,151,9745,7528,53427
24500,"Great Falls, MT",0.12894349645539144,0.21475932967725908,7750,2465,842,182,6748,11239,52333
24540,"Greeley, CO",0.20361428773118734,0.2164525389430091,15462,5341,1210,984,21633,22997,106245
24580,"Green Bay, WI",0.1461853445903552,0.20073860446685085,26934,6782,2143,614,26561,36473,181694
24660,"Greensboro-High Point, NC",0.21791498402960502,0.23447166368834044,70464,20466,5890,3162,92922,99982,426414
24780,"Greenville, NC",0.20059463562753035,0.2639929149797571,13551,4512,1478,1325,15855,20866,79040
24860,"Greenville-Anderson-Mauldin, SC",0.23921765719498597,0.2141137615298848,68638,23259,5656,3841,113282,101394,473552
25060,"Gulfport-Biloxi-Pascagoula, MS",0.19781048144281216,0.1755340579741538,26055,9787,3489,1187,45660,40518,230827
25180,"Hagerstown-Martinsburg, MD-WV",0.22291279554046262,0.14796779222998227,12552,6344,1349,539,31311,20784,140463
25220,"Hammond, LA",0.2848153032098683,0.16286367657614048,6531,2168,588,470,17063,9757,59909
25260,"Hanford-Corcoran, CA",0.31173227835787015,0.10369025228614048,5893,1312,653,136,24033,7994,77095
25420,"Harrisburg-Carlisle, PA",0.1578256789322458,0.24318750579293724,53578,19863,8026,2493,54489,83960,345248
25500,"Harrisonburg, VA",0.26400409135222386,0.21415671796838792,8481,3027,880,1012,16519,13400,62571
25540,"Hartford-West Hartford-East Hartford, CT",0.15985355035883517,0.3054827019907192,139851,69053,18931,8959,123910,236794,775147
25620,"Hattiesburg, MS",0.20234676632637638,0.22608922658386119,10516,3748,1112,1079,14727,16455,72781
25860,"Hickory-Lenoir-Morganton, NC",0.29655273949172284,0.13620164806852086,22333,6377,2237,507,68485,31454,230937
25940,"Hilton Head Island-Bluffton-Beaufort, SC",0.15405942323225708,0.29720348418364007,17760,6565,2125,778,14114,27228,91614
25980,"Hinesville, GA",0.15127739235766985,0.13192379693866313,3157,1239,312,84,5495,4792,36324
26140,"Homosassa Springs, FL",0.2168391040456185,0.13150960105406398,7672,2878,1197,430,20078,12177,92594
26300,"Hot Springs, AR",0.2170702140555715,0.17965036526621367,7327,2694,961,281,13609,11263,62694
26380,"Houma-Thibodaux, LA",0.33285779023514206,0.1230257968144207,10220,2741,1292,407,39664,14660,119162
26420,"Houston-The Woodlands-Sugar Land, TX",0.23653569294597435,0.26460382679578326,509290,163017,59071,28982,679704,760360,2873579
26580,"Huntington-Ashland, WV-KY-OH",0.2318413643967522,0.15006324207434005,21955,10316,3257,1251,56822,36779,245090
26620,"Huntsville, AL",0.1670307578905046,0.3089771940405191,46127,17599,2839,2598,37389,69163,223845
26820,"Idaho Falls, ID",0.1294514906934607,0.23870861472574534,9747,3237,873,635,7859,14492,60710
26900,"Indianapolis-Carmel-Anderson, IN",0.1608927636274859,0.2549242332471705,180664,63696,20381,8834,172664,273575,1073162
26980,"Iowa City, IA",0.08356030494559197,0.41952173063139375,18039,7788,3053,3312,6412,32192,76735
27060,"Ithaca, NY",0.0863683466792275,0.47455487517663686,11042,8378,1699,4068,4584,25187,53075
27100,"Jackson, MI",0.1577517162471396,0.16258581235697941,11704,3823,1091,434,16545,17052,104880
27140,"Jackson, MS",0.20939594414790988,0.2542146841726685,54284,18232,7286,2545,67829,82347,323927
27180,"Jackson, TN",0.24303964586650098,0.18689084766823283,9472,3256,1180,531,18777,14439,77259
27260,"Jacksonville, FL",0.16594249411609802,0.22589108883731904,111489,35319,13347,4544,120990,164699,729108
27340,"Jacksonville, NC",0.15678877879021333,0.14771670695746886,7770,2356,788,207,11804,11121,75286
27500,"Janesville-Beloit, WI",0.16084843575984611,0.16684215855016704,11160,3752,1176,391,15887,16479,98770
27620,"Jefferson City, MO",0.18252603681841578,0.21219322549910746,12972,4731,1119,554,16667,19376,91313
27740,"Johnson City, TN",0.26321509337467336,0.1845358435684548,14922,5148,1892,1131,32939,23093,125141
27780,"Johnstown, PA",0.19951301741899233,0.13704813635512267,9565,3252,1412,405,21304,14634,106780
27860,"Jonesboro, AR",0.26484072463983144,0.17325182866214633,7453,2722,845,657,17850,11677,67399
27900,"Joplin, MO",0.20402919824332533,0.16367746497107064,11025,3547,1378,486,20488,16436,100417
27980,"Kahului-Wailuku-Lahaina, HI",0.16683546956309153,0.22408875539878229,13451,3585,1727,486,14331,19249,85899
28020,"Kalamazoo-Portage, MI",0.137214759043911,0.269148853879277,32307,13878,3225,2782,26608,52192,193915
28100,"Kankakee, IL",0.2019774011299435,0.14959601482291476,6161,2716,658,315,13299,9850,65844
28140,"Kansas City, MO-KS",0.13429093283585258,0.281594882084664,220490,78549,24425,8161,158150,331625,1177667
28420,"Kennewick-Richland, WA",0.19921562489130057,0.23324289540505758,16934,6942,1286,1660,22909,26822,114996
28660,"Killeen-Temple, TX",0.16467996958334427,0.17955790964155544,23226,7551,2756,706,31402,34239,190685
28700,"Kingsport-Bristol-Bristol, TN-VA",0.2689158500101934,0.15505331379995355,21684,7080,2488,1452,56720,32704,210921
28740,"Kingston, NY",0.18324355680782298,0.2497472445512555,16652,10093,2204,1188,22112,30137,120670
28940,"Knoxville, TN",0.22370738476318114,0.22010385595372933,69433,27231,8422,6263,113172,111349,505893
29020,"Kokomo, IN",0.16680303084201914,0.1807655366226744,6314,2836,705,308,9378,10163,56222
29100,"La Crosse-Onalaska, WI-MN",0.1102826647601052,0.2457166202793453,12499,4527,1423,797,8638,19246,78326
29180,"Lafayette, LA",0.2822200081867822,0.16992979448087306,30644,8565,3555,1240,73082,44004,258954
29200,"Lafayette-West Lafayette, IN",0.12916633121326784,0.2920256018033975,16062,8118,1670,3168,12835,29018,99368
29340,"Lake Charles, LA",0.23422446614798875,0.1639877503724549,13618,4310,1438,447,28299,19813,120820
29420,"Lake Havasu City-Kingman, AZ",0.2249352977219311,0.09927112769440405,6949,2617,1050,239,24596,10855,109347
29460,"Lakeland-Winter Haven, FL",0.25241563664900923,0.1491962183637434,32646,10112,4259,1652,82340,48669,326208
29540,"Lancaster, PA",0.22638453172365233,0.20508556939931175,41643,13568,4759,2069,68482,62039,302503
29620,"Lansing-East Lansing, MI",0.11360584510902556,0.28378283918960184,45852,19383,6180,5722,30880,77137,271817
29700,"Laredo, TX",0.47010337807119845,0.1392737838746022,8710,2904,2122,356,47566,14092,101182
29740,"Las Cruces, NM",0.299540508343928,0.22292853353087805,13040,6423,1266,1540,29922,22269,99893
29820,"Las Vegas-Henderson-Paradise, NV",0.20546201688138604,0.17334851177254554,103152,33777,14421,4733,184998,156083,900400
29940,"Lawrence, KS",0.07640310193965112,0.42683590889460543,13007,6166,1538,2021,4069,22732,53257
30020,"Lawton, OK",0.15352517584012504,0.18795355587808418,9266,3011,800,391,11001,13468,71656
30140,"Lebanon, PA",0.2139059603941079,0.15391181348161154,7787,3042,1333,460,17542,12622,82008
30300,"Lewiston, ID-WA",0.1441450831205378,0.18578352180936994,4886,1354,607,283,5532,7130,38378
30340,"Lewiston-Auburn, ME",0.20159574468085106,0.14366014951121334,6858,1976,854,305,14023,9993,69560
30460,"Lexington-Fayette, KY",0.168430912635555,0.2978136042402827,46652,19761,7051,4749,44234,78213,262624
30620,"Lima, OH",0.1749702163085447,0.13434956723937475,5891,2245,925,299,12190,9360,69669
30700,"Lincoln, NE",0.09689350930226842,0.31950281402836145,34615,10468,3671,3247,15770,52001,162756
30780,"Little Rock-North Little Rock-Conway, AR",0.17004091771500848,0.24155167290210988,61959,21066,8613,3465,66948,95103,393717
30860,"Logan, UT-ID",0.09863616728035711,0.2959085018410713,9530,3145,529,1181,4795,14385,48613
30980,"Longview, TX",0.2268758111290917,0.16237803021806355,13547,4840,1346,536,28320,20269,124826
31020,"Longview, WA",0.16833733742026344,0.13281418275205037,5048,1987,804,177,10160,8016,60355
31080,"Los Angeles-Long Beach-Anaheim, CA",0.27843431815689507,0.26260731635189627,1316088,436460,190108,78476,2142943,2021132,7696404
31140,"Louisville/Jefferson County, KY-IN",0.1916223689862543,0.21394437285223367,98574,42070,14213,4523,142751,159380,744960
31180,"Lubbock, TX",0.22529876619082292,0.23676176861568882,23255,7486,2560,2142,33727,35443,149699
31340,"Lynchburg, VA",0.24137638893414579,0.18725276157580892,18793,6784,2060,1096,37038,28733,153445
31420,"Macon, GA",0.23897787463941375,0.1865526896736562,16985,5848,2525,1092,33883,26450,141783
31460,"Madera, CA",0.3461312307897902,0.12003207269811574,6129,1788,708,357,25901,8982,74830
31540,"Madison, WI",0.0915080868424887,0.35612705813784057,75521,29395,9102,8187,31401,122205,343150
31700,"Manchester-Nashua, NH",0.13041666005049463,0.30091541356368195,50475,19237,4120,1971,32853,75803,251908
31740,"Manhattan, KS",0.07456065099634795,0.3553518468589916,8112,3798,856,1732,3042,14498,40799
31860,"Mankato-North Mankato, MN",0.11441642944286295,0.2758438389589264,9267,2695,758,846,5627,13566,49180
31900,"Mansfield, OH",0.19849391998514807,0.12606748352362387,7482,2280,825,278,17107,10865,86184
32580,"McAllen-Edinburg-Mission, TX",0.4954902025141957,0.12910033807069946,25507,8920,3613,1293,150961,39333,304670
32780,"Medford, OR",0.15011349098262555,0.2227889893112129,17573,6399,2006,1014,18187,26992,121155
32820,"Memphis, TN-MS-AR",0.21168804842793376,0.2189299800866753,108529,37417,13744,5552,159776,165242,754771
32900,"Merced, CA",0.361936174769758,0.11048190190618976,8882,2546,1182,286,42247,12896,116725
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",0.23774383837913504,0.24053995850054857,506373,178868,111195,30105,816933,826541,3436190
33140,"Michigan City-La Porte, IN",0.19415921761187147,0.13987493726516825,6633,2615,907,157,14314,10312,73723
33220,"Midland, MI",0.11030525076172495,0.2925958464960652,9426,3910,994,1323,5901,15653,53497
33260,"Midland, TX",0.21313674738796362,0.2433022102367433,13331,3203,1094,326,15728,17954,73793
33340,"Milwaukee-Waukesha-West Allis, WI",0.15494569387601245,0.26952299219152603,176920,56931,19604,7526,150035,260981,968307
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",0.09600311041190844,0.32854445785592434,444858,128082,45006,20888,186672,638834,1944437
33540,"Missoula, MT",0.09012108334176532,0.3280043171776451,13084,3881,1294,1191,5344,19450,59298
33660,"Mobile, AL",0.2327784041387803,0.18640903239219261,30499,10782,3586,1758,58223,46625,250122
33700,"Modesto, CA",0.29642298301446074,0.14052188768529508,25454,7022,3596,1107,78427,37179,264578
33740,"Monroe, LA",0.22382783368361922,0.21165338163081482,14278,5391,1407,777,23110,21853,103249
33780,"Monroe, MI",0.16883571451299836,0.14343292922221867,9060,3351,913,199,15918,13523,94281
33860,"Montgomery, AL",0.2105442346714119,0.24213426785479206,33035,14927,3691,1687,46381,53340,220291
34060,"Morgantown, WV",0.192328622064036,0.2604238671627962,8463,5344,1824,2076,13077,17707,67993
34100,"Morristown, TN",0.2993095428446835,0.1308961407079003,5753,2171,737,344,20591,9005,68795
34580,"Mount Vernon-Anacortes, WA",0.16048626771606506,0.20764945713048283,9219,3111,1180,394,10746,13904,66959
34620,"Muncie, IN",0.18400419634476284,0.20378499254596655,7840,4732,888,1303,13330,14763,72444
34740,"Muskegon, MI",0.16936159247568125,0.13887227248046677,10215,3320,1301,254,18403,15090,108661
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.19654676563259954,0.1798198312503965,23258,7146,2493,1117,37178,34014,189156
34900,"Napa, CA",0.19603755152612642,0.2638852486358979,14273,4859,2102,916,16455,22150,83938
34940,"Naples-Immokalee-Marco Island, FL",0.18246950479345264,0.27922873158283745,33700,10982,5381,1694,33822,51757,185357
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",0.19798966801489729,0.25034373206252586,152340,47655,16889,8164,177984,225048,898956
35100,"New Bern, NC",0.19754079365295746,0.17750180623526043,9062,2720,888,351,14491,13021,73357
35300,"New Haven-Milford, CT",0.1699236098774205,0.27632595052588454,84217,45614,14090,8512,93737,152433,551642
35380,"New Orleans-Metairie, LA",0.22336947513081465,0.22559840871071005,122789,40917,21055,7140,190005,191901,850631
35620,"New York-Newark-Jersey City, NY-NJ-PA",0.21123581535922545,0.3014444883076074,2238371,1045338,376778,146050,2667413,3806537,12627655
35660,"Niles-Benton Harbor, MI",0.18074796138344737,0.1961758365357578,13031,5737,1335,827,19284,20930,106690
35840,"North Port-Sarasota-Bradenton, FL",0.15334159269202452,0.24579006252349359,69963,25276,11105,4161,68941,110505,449591
35980,"Norwich-New London, CT",0.13958944281524927,0.2622965901903283,26426,13384,3568,2238,24276,45616,173910
