cbsa_fips,cbsa,city_fips,city,med_val_cbsa,med_val_city
10180,"Abilene, TX",4801000,Abilene city,1.48,60000
10420,"Akron, OH",3901000,Akron city,0.49,76800
10500,"Albany, GA",1301052,Albany city,1.83,69200
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,0.57,97000
10740,"Albuquerque, NM",3502000,Albuquerque city,0.52,123700
10780,"Alexandria, LA",2200975,Alexandria city,2.08,70700
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,0.66,77000
11020,"Altoona, PA",4202184,Altoona city,2.07,57600
11100,"Amarillo, TX",4803000,Amarillo city,1.24,71600
11180,"Ames, IA",1901855,Ames city,4.61,125300
11260,"Anchorage, AK",0203000,Anchorage municipality,1.94,152300
11460,"Ann Arbor, MI",2603000,Ann Arbor city,1.46,178500
11500,"Anniston-Oxford-Jacksonville, AL",0101852,Anniston city,2.23,67200
11540,"Appleton, WI",5502375,Appleton city,1.79,97600
11700,"Asheville, NC",3702140,Asheville city,1.01,105200
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),2.41,103000
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,0.09,144100
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,2.35,88700
12220,"Auburn-Opelika, AL",0103076,Auburn city,2.63,116100
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),0.6,73700
12420,"Austin-Round Rock, TX",4805000,Austin city,0.29,120800
12540,"Bakersfield, CA",0603526,Bakersfield city,0.63,103500
12580,"Baltimore-Columbia-Towson, MD",2404000,Baltimore city,0.27,69900
12620,"Bangor, ME",2302795,Bangor city,2.2,83800
12700,"Barnstable Town, MA",2503600,Barnstable Town city,3.84,170600
12940,"Baton Rouge, LA",2205000,Baton Rouge city,0.53,93100
12980,"Battle Creek, MI",2605920,Battle Creek city,1.84,70800
13020,"Bay City, MI",2606020,Bay City city,2.13,65800
13140,"Beaumont-Port Arthur, TX",4807000,Beaumont city,0.64,62000
13380,"Bellingham, WA",5305280,Bellingham city,3.49,148900
13460,"Bend-Redmond, OR",4105800,Bend city,3.86,138100
13740,"Billings, MT",3006550,Billings city,2.77,96700
13780,"Binghamton, NY",3606607,Binghamton city,1.08,66100
13820,"Birmingham-Hoover, AL",0107000,Birmingham city,0.33,62200
13900,"Bismarck, ND",3807200,Bismarck city,3.42,90300
13980,"Blacksburg-Christiansburg-Radford, VA",5107784,Blacksburg town,2.31,136200
14010,"Bloomington, IL",1706613,Bloomington city,2.16,108200
14020,"Bloomington, IN",1805860,Bloomington city,2.36,119300
14260,"Boise City, ID",1608830,Boise City city,0.73,118100
14460,"Boston-Cambridge-Newton, MA-NH",2507000,Boston city,0.21,210100
14500,"Boulder, CO",0807850,Boulder city,2.91,272200
14540,"Bowling Green, KY",2108902,Bowling Green city,1.99,97000
14740,"Bremerton-Silverdale, WA",5307695,Bremerton city,2.75,101500
