cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",4752006,Nashville-Davidson (balance),2010,601222,0,601222,0,120,-1e-4
35100,"New Bern, NC",3746340,New Bern city,2010,29524,0,29524,0,0,-1e-4
35300,"New Haven-Milford, CT",952000,New Haven city,1950,164443,6,129779,0.21079644618500026,140,0.21079644618500026
35380,"New Orleans-Metairie, LA",2255000,New Orleans city,1960,627525,5,343829,0.45208716784191866,170,0.45208716784191866
35620,"New York-Newark-Jersey City, NY-NJ-PA",3651000,New York city,2010,8175133,0,8175133,0,210,-1e-4
35660,"Niles-Benton Harbor, MI",2657760,Niles city,1960,13842,5,11600,0.1619708134662621,0,0.1619708134662621
35840,"North Port-Sarasota-Bradenton, FL",1264175,Sarasota city,2000,52715,1,51917,0.015138006260077776,20,0.015138006260077776
35980,"Norwich-New London, CT",956200,Norwich city,1970,41739,4,40493,0.029852176621385274,0,0.029852176621385274
36100,"Ocala, FL",1250750,Ocala city,2010,56315,0,56315,0,0,-1e-4
36140,"Ocean City, NJ",3454360,Ocean City city,1990,15512,2,11701,0.24568076328004126,0,0.24568076328004126
36220,"Odessa, TX",4853388,Odessa city,2010,99940,0,99940,0,50,-1e-4
36260,"Ogden-Clearfield, UT",4955980,Ogden city,2010,82825,0,82825,0,60,-1e-4
36420,"Oklahoma City, OK",4055000,Oklahoma City city,2010,579999,0,579999,0,100,-1e-4
36500,"Olympia-Tumwater, WA",5351300,Olympia city,2010,46478,0,46478,0,0,-1e-4
36540,"Omaha-Council Bluffs, NE-IA",3137000,Omaha city,2010,408958,0,408958,0,120,-1e-4
36740,"Orlando-Kissimmee-Sanford, FL",1253000,Orlando city,2010,238300,0,238300,0,60,-1e-4
36780,"Oshkosh-Neenah, WI",5560500,Oshkosh city,2010,66083,0,66083,0,40,-1e-4
36980,"Owensboro, KY",2158620,Owensboro city,2010,57265,0,57265,0,40,-1e-4
