cbsa_fips,cbsa,total_vacant_2000,total_units_2000,vacancy
20220,"Dubuque, IA",1815,35505,0.05111956062526405
20260,"Duluth, MN-WI",17386,129877,0.13386511853522948
20500,"Durham-Chapel Hill, NC",12899,181603,0.07102856230348617
20700,"East Stroudsburg, PA",18127,67581,0.2682262766162087
20740,"Eau Claire, WI",3117,60295,0.05169582884152915
20940,"El Centro, CA",4507,43891,0.1026861999043084
21060,"Elizabethtown-Fort Knox, KY",4584,53826,0.08516330397948947
21140,"Elkhart-Goshen, IN",3637,69791,0.05211273659927498
21300,"Elmira, NY",2696,37745,0.07142667903033514
21340,"El Paso, TX",14804,225918,0.06552820049752565
21500,"Erie, PA",7815,114322,0.06835954584419447
21660,"Eugene, OR",8493,138946,0.06112446561973717
21780,"Evansville, IN-KY",9027,127388,0.07086224762144001
21820,"Fairbanks, AK",3514,33291,0.10555405364813313
22020,"Fargo, ND-MN",3551,73536,0.048289273281114015
22140,"Farmington, NM",5510,43221,0.12748432474954305
22180,"Fayetteville, NC",12212,130943,0.09326195367449959
22220,"Fayetteville-Springdale-Rogers, AR-MO",12496,144435,0.08651642607401253
22380,"Flagstaff, AZ",12995,53443,0.24315625994049736
22420,"Flint, MI",13805,183630,0.07517834776452649
22500,"Florence, SC",7838,80778,0.0970313699274555
22520,"Florence-Muscle Shoals, AL",6855,65404,0.1048101033575928
22540,"Fond du Lac, WI",2340,39271,0.05958595401186626
22660,"Fort Collins, CO",8228,105392,0.07807044177926219
22900,"Fort Smith, AR-OK",10084,107708,0.0936235005756304
23060,"Fort Wayne, IN",11562,162420,0.07118581455485777
23420,"Fresno, CA",17827,270767,0.06583889469543926
23460,"Gadsden, AL",4344,45959,0.09451902782915207
23540,"Gainesville, FL",8489,101019,0.08403369663132677
23580,"Gainesville, GA",3665,51046,0.07179798613015712
23900,"Gettysburg, PA",2179,35831,0.060813262258937795
24020,"Glens Falls, NY",13462,61646,0.21837588813548325
24140,"Goldsboro, NC",4701,47313,0.09935958404666793
24220,"Grand Forks, ND-MN",3876,41381,0.093666175297842
24260,"Grand Island, NE",2241,31855,0.07035002354418458
24300,"Grand Junction, CO",2604,48427,0.0537716563074318
24340,"Grand Rapids-Wyoming, MI",22966,360632,0.06368264602142905
24420,"Grants Pass, OR",2239,33239,0.06736063058455428
24500,"Great Falls, MT",2678,35225,0.07602555003548617
24540,"Greeley, CO",2947,66194,0.04452065141855757
24580,"Green Bay, WI",9335,118232,0.07895493605792002
24660,"Greensboro-High Point, NC",18706,275021,0.06801662418506223
24780,"Greenville, NC",5869,58408,0.100482810573894
24860,"Greenville-Anderson-Mauldin, SC",29454,312255,0.09432675217370419
25060,"Gulfport-Biloxi-Pascagoula, MS",16275,152386,0.10680114971191579
25180,"Hagerstown-Martinsburg, MD-WV",6590,85885,0.07673051173080282
25220,"Hammond, LA",4236,40794,0.10383879982350346
25260,"Hanford-Corcoran, CA",2145,36563,0.058665864398435574
25420,"Harrisburg-Carlisle, PA",14645,217025,0.06748070498790462
25500,"Harrisonburg, VA",2529,41017,0.061657361581783164
25540,"Hartford-West Hartford-East Hartford, CT",26007,471877,0.055113938589929155
25620,"Hattiesburg, MS",4454,50453,0.08828018155511069
25860,"Hickory-Lenoir-Morganton, NC",10908,144874,0.07529301323909052
25940,"Hilton Head Island-Bluffton-Beaufort, SC",15863,68437,0.23178982129549805
25980,"Hinesville, GA",3252,26209,0.12407951467053302
26140,"Homosassa Springs, FL",9570,62204,0.15384862709793581
26300,"Hot Springs, AR",7140,44953,0.1588325584499366
26380,"Houma-Thibodaux, LA",6919,74973,0.09228655649367105
26420,"Houston-The Woodlands-Sugar Land, TX",139959,1788107,0.07827216156527546
26580,"Huntington-Ashland, WV-KY-OH",14942,161331,0.09261704198201214
26620,"Huntsville, AL",12542,147185,0.08521248768556579
26820,"Idaho Falls, ID",2318,38061,0.060902235884501194
26900,"Indianapolis-Carmel-Anderson, IN",53886,701812,0.07678124625968208
26980,"Iowa City, IA",2238,54374,0.041159377643726784
27060,"Ithaca, NY",2205,38625,0.0570873786407767
27100,"Jackson, MI",4738,62906,0.07531872953295393
27140,"Jackson, MS",16827,206561,0.08146261879057518
27180,"Jackson, TN",3677,50521,0.07278161556580431
27260,"Jacksonville, FL",42416,475043,0.08928875912285836
27340,"Jacksonville, NC",7604,55726,0.13645336108818146
27500,"Janesville-Beloit, WI",3570,62187,0.05740749674369241
27620,"Jefferson City, MO",5091,56728,0.08974404174305457
27740,"Johnson City, TN",6716,81913,0.08198942780755192
27780,"Johnstown, PA",5265,65796,0.08002006200984862
27860,"Jonesboro, AR",3857,46184,0.08351377100294474
27900,"Joplin, MO",5916,67468,0.08768601411039308
27980,"Kahului-Wailuku-Lahaina, HI",12927,56549,0.2285982068648429
28020,"Kalamazoo-Portage, MI",11764,133225,0.08830174516794896
28100,"Kankakee, IL",2428,40610,0.05978822950012312
28140,"Kansas City, MO-KS",49035,757344,0.06474600709849157
28420,"Kennewick-Richland, WA",4341,72047,0.060252335281135924
28660,"Killeen-Temple, TX",10148,122159,0.08307206182106926
28700,"Kingsport-Bristol-Bristol, TN-VA",12256,136277,0.08993447170102072
28740,"Kingston, NY",10157,77656,0.1307947872669208
28940,"Knoxville, TN",29894,335484,0.08910708111266111
29020,"Kokomo, IN",2804,37604,0.07456653547494947
29100,"La Crosse-Onalaska, WI-MN",2415,51647,0.04675973435049471
29180,"Lafayette, LA",15990,171881,0.09302947969816326
29200,"Lafayette-West Lafayette, IN",4334,70836,0.06118357897114462
29340,"Lake Charles, LA",9126,81331,0.11220813711868784
29420,"Lake Havasu City-Kingman, AZ",17253,80062,0.2154954909944793
29460,"Lakeland-Winter Haven, FL",39143,226376,0.1729114393751988
29540,"Lancaster, PA",7430,179990,0.04128007111506195
29620,"Lansing-East Lansing, MI",9391,181804,0.05165452905326615
29700,"Laredo, TX",4466,55206,0.08089700394884614
29740,"Las Cruces, NM",5654,65210,0.08670449317589327
29820,"Las Vegas-Henderson-Paradise, NV",47546,559799,0.08493405668820415
29940,"Lawrence, KS",1764,40250,0.04382608695652174
30020,"Lawton, OK",6079,48501,0.125337621904703
30140,"Lebanon, PA",2769,49320,0.05614355231143552
30300,"Lewiston, ID-WA",1664,25314,0.06573437623449474
30340,"Lewiston-Auburn, ME",3932,45960,0.0855526544821584
30460,"Lexington-Fayette, KY",11408,175262,0.06509112072211888
30620,"Lima, OH",3599,44245,0.08134252457904848
30700,"Lincoln, NE",5445,110645,0.04921144199918659
30780,"Little Rock-North Little Rock-Conway, AR",20823,261917,0.07950228507504285
30860,"Logan, UT-ID",1888,32907,0.05737381104324308
30980,"Longview, TX",7805,81146,0.09618465481970769
31020,"Longview, WA",2774,38624,0.07182062966031483
31080,"Los Angeles-Long Beach-Anaheim, CA",171332,4240393,0.04040474550354177
31140,"Louisville/Jefferson County, KY-IN",29006,476656,0.060853109999664326
31180,"Lubbock, TX",9086,106468,0.08534019611526468
31340,"Lynchburg, VA",8321,98057,0.08485880661248049
31420,"Macon, GA",9716,94054,0.10330235821974611
31460,"Madera, CA",4232,40387,0.10478619357714115
31540,"Madison, WI",10641,226540,0.046971837203142935
31700,"Manchester-Nashua, NH",5506,149961,0.03671621288201599
31740,"Manhattan, KS",1800,30708,0.05861664712778429
31860,"Mankato-North Mankato, MN",1507,33211,0.04537653187197013
31900,"Mansfield, OH",3528,53062,0.06648825901775282
32580,"McAllen-Edinburg-Mission, TX",35834,192658,0.18599798606857748
32780,"Medford, OR",4205,75737,0.055521079525199045
