cbsa_fips,name,pct_low_inf_bw,pct_obese_adult,pct_uninsured_adult
10180,"Abilene, TX",8.196666666666665,27.433333333333334,23.366666666666667
10420,"Akron, OH",7.955,28.15,11.9
10500,"Albany, GA",11.444,31.38,16.5
10580,"Albany-Schenectady-Troy, NY",7.058,25.36,13.979999999999999
10740,"Albuquerque, NM",7.765000000000001,22.325,22.425
10780,"Alexandria, LA",9.92,29.65,21.6
10900,"Allentown-Bethlehem-Easton, PA-NJ",7.907500000000001,28.25,12.925
11020,"Altoona, PA",6.86,30.8,10.4
11100,"Amarillo, TX",8.88,27.366666666666667,22.766666666666666
11180,"Ames, IA",5.38,26.2,16.8
11260,"Anchorage, AK",6.24,27.299999999999997,18.6
11460,"Ann Arbor, MI",7.29,27,15.3
11500,"Anniston-Oxford-Jacksonville, AL",9.35,33.2,13.3
11540,"Appleton, WI",6.115,27.15,9.65
11700,"Asheville, NC",8.807500000000001,25.45,18.05
12020,"Athens-Clarke County, GA",8.0725,27.425,24.775
12060,"Atlanta-Sandy Springs-Roswell, GA",8.509655172413794,27.93793103448276,18.075862068965517
12100,"Atlantic City-Hammonton, NJ",8.52,26.5,15.6
12220,"Auburn-Opelika, AL",8.12,30.2,22.7
12260,"Augusta-Richmond County, GA-SC",10.424285714285714,31.07142857142857,17.32857142857143
12420,"Austin-Round Rock, TX",7.178,25.580000000000002,23.1
12540,"Bakersfield, CA",6.83,29.4,16.4
12580,"Baltimore-Columbia-Towson, MD",8.492857142857144,26.3,12.82857142857143
12620,"Bangor, ME",6.66,28,11.2
12700,"Barnstable Town, MA",6.59,19.6,11.9
12940,"Baton Rouge, LA",10.634444444444444,30.755555555555556,21.711111111111112
12980,"Battle Creek, MI",7.89,30.3,9.2
13020,"Bay City, MI",7.06,31,10.3
13140,"Beaumont-Port Arthur, TX",8.83,29.025,19.825
13380,"Bellingham, WA",5.1,23.1,17
13460,"Bend-Redmond, OR",6.03,17.3,20.2
13740,"Billings, MT",7.105,25.95,20.85
13780,"Binghamton, NY",7.555,27.3,15.6
13820,"Birmingham-Hoover, AL",9.08,31.8,16.2
13900,"Bismarck, ND",6.573333333333333,30.133333333333333,10.133333333333333
13980,"Blacksburg-Christiansburg-Radford, VA",7.288,25.82,19.3
14010,"Bloomington, IL",7.6850000000000005,27.25,12.35
14020,"Bloomington, IN",7.125,27.85,20.05
14260,"Boise City, ID",6.706,27.06,20.36
14460,"Boston-Cambridge-Newton, MA-NH",7.371428571428571,22.414285714285715,11.728571428571428
14500,"Boulder, CO",7.64,12.5,20.4
