cbsa_fips,cbsa,city_fips,city,pct_prewar_city,pct_prewar_msa
18140,"Columbus, OH",3918000,Columbus city,0.14072669189350973,0.15250661274518135
18580,"Corpus Christi, TX",4817000,Corpus Christi city,0.04260863114556481,0.04383744004777516
18700,"Corvallis, OR",4115800,Corvallis city,0.09435858175032298,0.09409005628517823
18880,"Crestview-Fort Walton Beach-Destin, FL",1224475,Fort Walton Beach city,0.00875734397516905,0.016280322448827964
19060,"Cumberland, MD-WV",2421325,Cumberland city,0.5285996055226825,0.3370158392120325
19100,"Dallas-Fort Worth-Arlington, TX",4819000,Dallas city,0.05722100679057872,0.038735405136797026
19140,"Dalton, GA",1321380,Dalton city,0.06120865263362111,0.043825762621553216
19180,"Danville, IL",1718563,Danville city,0.341740651062685,0.3131860573880987
19300,"Daphne-Fairhope-Foley, AL",0119648,Daphne city,0.01689000558347292,0.03886383522918489
19340,"Davenport-Moline-Rock Island, IA-IL",1919000,Davenport city,0.28419449212988707,0.26830560760044664
19380,"Dayton, OH",3921000,Dayton city,0.3407295343755253,0.1658770638872649
19460,"Decatur, AL",0120104,Decatur city,0.05924506291142405,0.05162107152587464
19500,"Decatur, IL",1718823,Decatur city,0.21912660708054862,0.21345116538285464
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1217200,Deltona city,0.003013523185294007,0.03301324083083041
19740,"Denver-Aurora-Lakewood, CO",0820000,Denver city,0.24501362181080596,0.09058389760603341
19780,"Des Moines-West Des Moines, IA",1921000,Des Moines city,0.3059514717114153,0.211241116789456
19820,"Detroit-Warren-Dearborn, MI",2622000,Detroit city,0.29864887922025296,0.13587193305085454
20020,"Dothan, AL",0121184,Dothan city,0.04185098280570835,0.06223732900222695
20100,"Dover, DE",1021200,Dover city,0.06925207756232687,0.098135932330976
20220,"Dubuque, IA",1922395,Dubuque city,0.37324150674001594,0.32448950851992675
20260,"Duluth, MN-WI",2717000,Duluth city,0.4835405405405405,0.33248381160636603
20500,"Durham-Chapel Hill, NC",3719000,Durham city,0.06704421802354338,0.06806605617748605
20700,"East Stroudsburg, PA",4221872,East Stroudsburg borough,0.32752927048934255,0.10568059069856912
20740,"Eau Claire, WI",5522300,Eau Claire city,0.2216701005938674,0.233087320673356
20940,"El Centro, CA",0621782,El Centro city,0.04403027590135916,0.047412909252466336
21060,"Elizabethtown-Fort Knox, KY",2124274,Elizabethtown city,0.0555333998005982,0.06795972206740238
21140,"Elkhart-Goshen, IN",1820728,Elkhart city,0.27152623798965264,0.1917009356507286
21300,"Elmira, NY",3624229,Elmira city,0.6150445909267158,0.37946747913630946
21340,"El Paso, TX",4824000,El Paso city,0.06046031582206626,0.056542639364725256
21500,"Erie, PA",4224000,Erie city,0.4435994930291508,0.297195640384178
21660,"Eugene, OR",4123850,Eugene city,0.07589838909541512,0.07982237703856174
21780,"Evansville, IN-KY",1822000,Evansville city,0.25715937155167884,0.18374572173203127
21820,"Fairbanks, AK",0224230,Fairbanks city,0.026824552924117933,0.01381754828632363
22020,"Fargo, ND-MN",3825700,Fargo city,0.12801317925236816,0.13594701914708443
22140,"Farmington, NM",3525800,Farmington city,0.028780325689597874,0.02325258554869161
22180,"Fayetteville, NC",3722920,Fayetteville city,0.03410238193172045,0.02864605209900491
22220,"Fayetteville-Springdale-Rogers, AR-MO",0523290,Fayetteville city,0.06641396193634999,0.07286322567244781
22380,"Flagstaff, AZ",0423620,Flagstaff city,0.03355109659356043,0.02872218999681904
22420,"Flint, MI",2629000,Flint city,0.2295002163565556,0.12879703752110222
22500,"Florence, SC",4525810,Florence city,0.06478011472275334,0.054507415385377206
22520,"Florence-Muscle Shoals, AL",0126896,Florence city,0.08041365280289331,0.07351232340529631
22540,"Fond du Lac, WI",5526275,Fond du Lac city,0.28873079112122935,0.30205495149092204
22660,"Fort Collins, CO",0827425,Fort Collins city,0.06636519700205167,0.07952216487019888
22900,"Fort Smith, AR-OK",0524550,Fort Smith city,0.09241082793539444,0.07843428528985777
23060,"Fort Wayne, IN",1825000,Fort Wayne city,0.20134420134420133,0.18572220169929812
23420,"Fresno, CA",0627000,Fresno city,0.06473467578945954,0.06406615281773628
23460,"Gadsden, AL",0128696,Gadsden city,0.1693101979987226,0.10496311930198655
23540,"Gainesville, FL",1225175,Gainesville city,0.052279923213083695,0.03654758015818806
23580,"Gainesville, GA",1331908,Gainesville city,0.05857271095152603,0.04311797202523214
23900,"Gettysburg, PA",4228960,Gettysburg borough,0.5355051244509517,0.2550026513354358
24020,"Glens Falls, NY",3629333,Glens Falls city,0.561694021101993,0.31849592836518187
24140,"Goldsboro, NC",3726880,Goldsboro city,0.08784523664679401,0.07761080464143047
24220,"Grand Forks, ND-MN",3832060,Grand Forks city,0.14248679788766203,0.20313670525120225
24260,"Grand Island, NE",3119595,Grand Island city,0.18764012647312447,0.2562235127923403
24300,"Grand Junction, CO",0831660,Grand Junction city,0.1218736752861382,0.09647510686187458
24340,"Grand Rapids-Wyoming, MI",2634000,Grand Rapids city,0.36503724215735295,0.17788493533574393
24420,"Grants Pass, OR",4130550,Grants Pass city,0.1156848828956707,0.07578447005024219
24500,"Great Falls, MT",3032800,Great Falls city,0.1999762404466796,0.18711142654364799
24540,"Greeley, CO",0832155,Greeley city,0.096555070354197,0.13685530410611232
24580,"Green Bay, WI",5531000,Green Bay city,0.1719839670072519,0.16070099465457743
24660,"Greensboro-High Point, NC",3728000,Greensboro city,0.07099553125598942,0.07909577814057836
24780,"Greenville, NC",3728080,Greenville city,0.041201018531616916,0.05858786467607177
24860,"Greenville-Anderson-Mauldin, SC",4530850,Greenville city,0.1347243029926554,0.06989479752125667
25060,"Gulfport-Biloxi-Pascagoula, MS",2829700,Gulfport city,0.05572263711012739,0.048436208050608325
25180,"Hagerstown-Martinsburg, MD-WV",2436075,Hagerstown city,0.3982306069838294,0.21696454561332013
25220,"Hammond, LA",2232755,Hammond city,0.086754126110876,0.06204343776045497
25260,"Hanford-Corcoran, CA",0631960,Hanford city,0.06430170250288272,0.06919563493148811
25420,"Harrisburg-Carlisle, PA",4232800,Harrisburg city,0.39446110860007394,0.21339937795184888
25500,"Harrisonburg, VA",5135624,Harrisonburg city,0.0859083936007013,0.14579320769437062
25540,"Hartford-West Hartford-East Hartford, CT",0937000,Hartford city,0.32329594818734697,0.1973692296933311
25620,"Hattiesburg, MS",2831020,Hattiesburg city,0.08491893864359068,0.060075714030880224
25860,"Hickory-Lenoir-Morganton, NC",3731060,Hickory city,0.08620999102602453,0.07461656335850463
25940,"Hilton Head Island-Bluffton-Beaufort, SC",4534045,Hilton Head Island town,0.0017435024125207802,0.01995996317781317
25980,"Hinesville, GA",1338964,Hinesville city,0.00619799626422143,0.01751306803006601
26140,"Homosassa Springs, FL",1232400,Homosassa Springs CDP,0.005052151238591917,0.008375667159668188
26300,"Hot Springs, AR",0533400,Hot Springs city,0.13023976077321514,0.07343225146263875
26380,"Houma-Thibodaux, LA",2236255,Houma city,0.09273868942199323,0.06509009910234351
26420,"Houston-The Woodlands-Sugar Land, TX",4835000,Houston city,0.05190585624851415,0.03649949359853745
26580,"Huntington-Ashland, WV-KY-OH",5439460,Huntington city,0.3409871493072975,0.15567373908300328
26620,"Huntsville, AL",0137000,Huntsville city,0.03434502622068853,0.03417467812616775
26820,"Idaho Falls, ID",1639700,Idaho Falls city,0.11373953394532432,0.1161819184992512
26900,"Indianapolis-Carmel-Anderson, IN",1836003,Indianapolis city (balance),0.1657528887477746,0.15555447897727598
26980,"Iowa City, IA",1938595,Iowa City city,0.14471057884231536,0.18661492625151727
27060,"Ithaca, NY",3638077,Ithaca city,0.4859089212392684,0.29776051779935275
27100,"Jackson, MI",2641420,Jackson city,0.5106620300505216,0.25801990271198294
27140,"Jackson, MS",2836000,Jackson city,0.04161765677658098,0.04158093735022584
27180,"Jackson, TN",4737640,Jackson city,0.1028271595269794,0.08839888363254884
27260,"Jacksonville, FL",1235000,Jacksonville city,0.05403969734660033,0.047454651473656066
27340,"Jacksonville, NC",3734200,Jacksonville city,0.013459023539668701,0.01789111007429207
27500,"Janesville-Beloit, WI",5537825,Janesville city,0.21565890236119975,0.26528052486854165
27620,"Jefferson City, MO",2937000,Jefferson City city,0.1489061397318278,0.1432802143562262
27740,"Johnson City, TN",4738320,Johnson City city,0.11332473924762686,0.11625749270567554
27780,"Johnstown, PA",4238288,Johnstown city,0.5728344919159571,0.3921970940482704
27860,"Jonesboro, AR",0535710,Jonesboro city,0.04667516552206275,0.059046423003637626
27900,"Joplin, MO",2937592,Joplin city,0.21210560808913023,0.19343985296733265
27980,"Kahului-Wailuku-Lahaina, HI",1522700,Kahului CDP,0.02183984116479153,0.04093794762064758
28020,"Kalamazoo-Portage, MI",2642160,Kalamazoo city,0.28890566987603045,0.18020641771439294
28100,"Kankakee, IL",1738934,Kankakee city,0.29033436871916685,0.19409012558483132
28140,"Kansas City, MO-KS",2938000,Kansas City city,0.2258482348113688,0.13234936831875607
28420,"Kennewick-Richland, WA",5335275,Kennewick city,0.018736106700539854,0.03196524490957292
28660,"Killeen-Temple, TX",4839148,Killeen city,0.007142654686658542,0.04468766116291063
28700,"Kingsport-Bristol-Bristol, TN-VA",4739560,Kingsport city,0.10432231745886235,0.1041848587802784
28740,"Kingston, NY",3639727,Kingston city,0.4965569285916423,0.27941176470588236
28940,"Knoxville, TN",4740000,Knoxville city,0.12876780098236687,0.07878468123666106
29020,"Kokomo, IN",1840392,Kokomo city,0.2784787472035794,0.22274226146154663
29100,"La Crosse-Onalaska, WI-MN",5540775,La Crosse city,0.29949101391829197,0.22254922841597768
29180,"Lafayette, LA",2240735,Lafayette city,0.04361656703672075,0.06665076419150459
29200,"Lafayette-West Lafayette, IN",1840788,Lafayette city,0.22191770095141145,0.19363035744536677
29340,"Lake Charles, LA",2241155,Lake Charles city,0.08607198748043818,0.06341985220887485
29420,"Lake Havasu City-Kingman, AZ",0439370,Lake Havasu City city,0.0013048584228611195,0.00870575304139292
29460,"Lakeland-Winter Haven, FL",1238250,Lakeland city,0.07535297728667895,0.042288051736933244
29540,"Lancaster, PA",4241216,Lancaster city,0.5402458624733939,0.25499749986110337
29620,"Lansing-East Lansing, MI",2646000,Lansing city,0.2481159202390573,0.19028184198367473
29700,"Laredo, TX",4841464,Laredo city,0.05087370929308976,0.048038256711227044
29740,"Las Cruces, NM",3539380,Las Cruces city,0.04170352584354859,0.04399631958288606
29820,"Las Vegas-Henderson-Paradise, NV",3240000,Las Vegas city,0.005590426590940051,0.0048874685378144656
29940,"Lawrence, KS",2038900,Lawrence city,0.11210051232007807,0.12472049689440994
30020,"Lawton, OK",4041850,Lawton city,0.059818266670326956,0.07370982041607389
30140,"Lebanon, PA",4242168,Lebanon city,0.4945632798573975,0.30841443633414434
30300,"Lewiston, ID-WA",1646540,Lewiston city,0.1638413860055261,0.15971399225724894
30340,"Lewiston-Auburn, ME",2338740,Lewiston city,0.41129326047358833,0.33955613577023497
30460,"Lexington-Fayette, KY",2146027,Lexington-Fayette,0.08239861578589444,0.10094030651253552
30620,"Lima, OH",3943554,Lima city,0.343672175684854,0.24045654876257205
30700,"Lincoln, NE",3128000,Lincoln city,0.158801529604572,0.17346468435085183
30780,"Little Rock-North Little Rock-Conway, AR",0541000,Little Rock city,0.08406370747337669,0.05449436271796027
30860,"Logan, UT-ID",4945860,Logan city,0.14999660487539893,0.18385146017564652
30980,"Longview, TX",4843888,Longview city,0.037482873360735955,0.06488305030438962
31020,"Longview, WA",5340245,Longview city,0.166677620768978,0.1562241093620547
31080,"Los Angeles-Long Beach-Anaheim, CA",0644000,Los Angeles city,0.16712966147055922,0.10528080769872038
31140,"Louisville/Jefferson County, KY-IN",2148000,Louisville city,0.3286762945164194,0.13958913765902453
31180,"Lubbock, TX",4845000,Lubbock city,0.03096365756717519,0.03894127813051809
31340,"Lynchburg, VA",5147672,Lynchburg city,0.21262662807525326,0.12707914784258137
31420,"Macon, GA",1349000,Macon city,0.12562113546936482,0.08408999085631659
31460,"Madera, CA",0645022,Madera city,0.05286865813181603,0.0472429247034937
31540,"Madison, WI",5548000,Madison city,0.16919861834482908,0.18980312527588947
31700,"Manchester-Nashua, NH",3345140,Manchester city,0.3469667915976641,0.22631884289915377
31740,"Manhattan, KS",2044250,Manhattan city,0.1095047156491783,0.1583952064608571
31860,"Mankato-North Mankato, MN",2739878,Mankato city,0.24102725202230424,0.2609677516485502
31900,"Mansfield, OH",3947138,Mansfield city,0.2804441260744986,0.2323131431156006
32580,"McAllen-Edinburg-Mission, TX",4845384,McAllen city,0.0215533160977154,0.02115666102627454
32780,"Medford, OR",4147000,Medford city,0.098365640440897,0.09084067232660391
32820,"Memphis, TN-MS-AR",4748000,Memphis city,0.09040088619660464,0.06317352225165754
32900,"Merced, CA",0646898,Merced city,0.06038804307463795,0.06955962148801427
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1245000,Miami city,0.10623746247155916,0.025355518248874637
33140,"Michigan City-La Porte, IN",1848798,Michigan City city,0.26736990154711676,0.24885469411016856
33220,"Midland, MI",2653780,Midland city,0.0857561415370746,0.09264409989347852
33260,"Midland, TX",4848072,Midland city,0.024280620700045198,0.023639857480283438
33340,"Milwaukee-Waukesha-West Allis, WI",5553000,Milwaukee city,0.3360231125734807,0.22912474686369783
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2743000,Minneapolis city,0.5095478698168707,0.17371383415586023
33540,"Missoula, MT",3050200,Missoula city,0.16760310818888224,0.12396234177981075
33660,"Mobile, AL",0150000,Mobile city,0.08489646206704429,0.06208320967165553
33700,"Modesto, CA",0648354,Modesto city,0.046538244299771096,0.06524896059201496
33740,"Monroe, LA",2251410,Monroe city,0.06595056053285801,0.04829149478367382
33780,"Monroe, MI",2655020,Monroe city,0.38055222088835533,0.1985266774096439
33860,"Montgomery, AL",0151000,Montgomery city,0.07302911256782756,0.06544841080527956
34060,"Morgantown, WV",5455756,Morgantown city,0.28853319783197834,0.18929376333792058
34100,"Morristown, TN",4750280,Morristown city,0.060097897026831035,0.059324729619194765
34580,"Mount Vernon-Anacortes, WA",5347560,Mount Vernon city,0.1066543247968734,0.14275673016096155
34620,"Muncie, IN",1851876,Muncie city,0.2391102873030584,0.2171774572817056
34740,"Muskegon, MI",2656320,Muskegon city,0.3116688518449148,0.1704446000350079
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",4549075,Myrtle Beach city,0.018072289156626505,0.018113603356462806
34900,"Napa, CA",0650258,Napa city,0.09899848692268895,0.10641759690241792
34940,"Naples-Immokalee-Marco Island, FL",1247625,Naples city,0.014209905660377359,0.0043587756683456024
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",4752006,Nashville-Davidson (balance),0.07753821028233955,0.06990007780468402
35100,"New Bern, NC",3746340,New Bern city,0.11953273566965499,0.07290868776456359
35300,"New Haven-Milford, CT",0952000,New Haven city,0.3670878902929676,0.2374270687813296
35380,"New Orleans-Metairie, LA",2255000,New Orleans city,0.29652100738757087,0.13687584721538057
35620,"New York-Newark-Jersey City, NY-NJ-PA",3651000,New York city,0.35967436780517553,0.27051596118474186
35660,"Niles-Benton Harbor, MI",2657760,Niles city,0.3738590726542534,0.21433725917353122
35840,"North Port-Sarasota-Bradenton, FL",1264175,Sarasota city,0.06812697234082049,0.025137634710460238
35980,"Norwich-New London, CT",0956200,Norwich city,0.44650602409638557,0.26249164212010045
36100,"Ocala, FL",1250750,Ocala city,0.04860302677532014,0.01976961267863985
36140,"Ocean City, NJ",3454360,Ocean City city,0.16361217853975762,0.14324469779344734
36220,"Odessa, TX",4853388,Odessa city,0.022268431997051932,0.022686868686868686
36260,"Ogden-Clearfield, UT",4955980,Ogden city,0.2081066559204782,0.08405878149563488
36420,"Oklahoma City, OK",4055000,Oklahoma City city,0.09323452591722614,0.07933969378330975
36500,"Olympia-Tumwater, WA",5351300,Olympia city,0.1668866104963963,0.07083506439551308
36540,"Omaha-Council Bluffs, NE-IA",3137000,Omaha city,0.21884819280014958,0.20402837516851768
36740,"Orlando-Kissimmee-Sanford, FL",1253000,Orlando city,0.05149149329843405,0.023999672299506548
36780,"Oshkosh-Neenah, WI",5560500,Oshkosh city,0.31625852754446154,0.23235116886327467
36980,"Owensboro, KY",2158620,Owensboro city,0.11834489552974016,0.10927537480613476
37100,"Oxnard-Thousand Oaks-Ventura, CA",0654652,Oxnard city,0.024456100745855743,0.039676296720061024
37340,"Palm Bay-Melbourne-Titusville, FL",1254000,Palm Bay city,0.0015791551519936833,0.012586008141503657
37460,"Panama City, FL",1254700,Panama City city,0.068990559186637615,0.026063100137174212
37620,"Parkersburg-Vienna, WV",5462140,Parkersburg city,0.3076875233237965,0.18719658079951684
37860,"Pensacola-Ferry Pass-Brent, FL",1255925,Pensacola city,0.14778379983666196,0.042240714524130155
37900,"Peoria, IL",1759000,Peoria city,0.22056604543044736,0.20587333581208456
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4260000,Philadelphia city,0.4172545690209953,0.2396060171134947
38060,"Phoenix-Mesa-Scottsdale, AZ",0455000,Phoenix city,0.024933792933744526,0.014209263285976633
38220,"Pine Bluff, AR",0555310,Pine Bluff city,0.07363420427553444,0.06205521685713623
38300,"Pittsburgh, PA",4261000,Pittsburgh city,0.5066598925112936,0.30693725712367675
38340,"Pittsfield, MA",2553960,Pittsfield city,0.43775156791163533,0.40483552284279273
38540,"Pocatello, ID",1664090,Pocatello city,0.1385880077369439,0.1223283623118686
38860,"Portland-South Portland, ME",2360545,Portland city,0.4902397690183279,0.26600463734822544
38900,"Portland-Vancouver-Hillsboro, OR-WA",4159000,Portland city,0.34041109458041297,0.14668797637050562
38940,"Port St. Lucie, FL",1258715,Port St. Lucie city,0.0019237021783895091,0.014476849163864661
39140,"Prescott, AZ",0457380,Prescott city,0.09488841718776891,0.04524654349687997
39300,"Providence-Warwick, RI-MA",4459000,Providence city,0.47044099241699183,0.3121970902391303
39340,"Provo-Orem, UT",4962470,Provo city,0.08203998421675654,0.0833605600933489
39380,"Pueblo, CO",0862000,Pueblo city,0.22774183074746632,0.19247870210094017
39460,"Punta Gorda, FL",1259200,Punta Gorda city,0.027057245080500895,0.008300107826174177
39540,"Racine, WI",5566000,Racine city,0.3575228644868193,0.23386600283733505
39580,"Raleigh, NC",3755000,Raleigh city,0.049203284638267196,0.04749736732693399
39660,"Rapid City, SD",4652980,Rapid City city,0.0788792931905918,0.0863745051154404
39740,"Reading, PA",4263624,Reading city,0.5936926170975546,0.3256846533796648
39820,"Redding, CA",0659920,Redding city,0.03480319621189701,0.037814271181514314
39900,"Reno, NV",3260600,Reno city,0.0463865715147251,0.03453513305476138
40060,"Richmond, VA",5167000,Richmond city,0.28314297479465117,0.10091669087505245
40140,"Riverside-San Bernardino-Ontario, CA",0662000,Riverside city,0.07035935102970574,0.03311515687036642
40220,"Roanoke, VA",5168000,Roanoke city,0.20989018273416268,0.1273693711764116
40340,"Rochester, MN",2754880,Rochester city,0.11526232114467408,0.21000027013155406
40380,"Rochester, NY",3663000,Rochester city,0.5541073933079543,0.3033266854265133
40420,"Rockford, IL",1765000,Rockford city,0.22478658009338595,0.177309772142538
40580,"Rocky Mount, NC",3757500,Rocky Mount city,0.09374871224296369,0.09604769626390186
40660,"Rome, GA",1366668,Rome city,0.16038453558337368,0.11924074832718831
40900,"Sacramento--Roseville--Arden-Arcade, CA",0664000,Sacramento city,0.12956794416584305,0.05383919292960233
40980,"Saginaw, MI",2670520,Saginaw city,0.389924354675193,0.2044792702181159
41060,"St. Cloud, MN",2756896,St. Cloud city,0.16018267200896127,0.17184044171856128
41100,"St. George, UT",4965330,St. George city,0.02271972679409951,0.031059816875925215
41140,"St. Joseph, MO-KS",2964550,St. Joseph city,0.3505535055350554,0.31763705403053555
41180,"St. Louis, MO-IL",2965000,St. Louis city,0.4850754731959581,0.17422909194816016
41420,"Salem, OR",4164900,Salem city,0.09932998324958124,0.10000376974403438
41500,"Salinas, CA",0664224,Salinas city,0.05874482480056548,0.0814984663042488
41540,"Salisbury, MD-DE",2469925,Salisbury city,0.15856280069607945,0.09361734343483503
41620,"Salt Lake City, UT",4967000,Salt Lake City city,0.3171548769086943,0.10330357142857143
41660,"San Angelo, TX",4864472,San Angelo city,0.07435870256518974,0.0758866830247602
41700,"San Antonio-New Braunfels, TX",4865000,San Antonio city,0.0662860071852748,0.06356991210204242
