cbsa_fips,name,intermodal_freight,n_rail_truck,n_truck_port_rail,n_port_truck,n_truck_port_rail_air,n_rail_port,n_truck_port_air,n_air_truck,n_truck_truck,n_truck_air_rail
25180,"Hagerstown-Martinsburg, MD-WV",3,3,0,0,0,0,0,0,0,0
25260,"Hanford-Corcoran, CA",3,3,0,0,0,0,0,0,0,0
25420,"Harrisburg-Carlisle, PA",15,14,0,0,0,0,0,1,0,0
25500,"Harrisonburg, VA",1,1,0,0,0,0,0,0,0,0
25540,"Hartford-West Hartford-East Hartford, CT",4,2,0,0,0,0,0,2,0,0
25620,"Hattiesburg, MS",2,2,0,0,0,0,0,0,0,0
25860,"Hickory-Lenoir-Morganton, NC",1,0,0,0,0,0,0,1,0,0
25980,"Hinesville, GA",0,0,0,0,0,0,0,0,0,0
26300,"Hot Springs, AR",0,0,0,0,0,0,0,0,0,0
26380,"Houma-Thibodaux, LA",0,0,0,0,0,0,0,0,0,0
26420,"Houston-The Woodlands-Sugar Land, TX",49,31,7,4,0,0,0,7,0,0
26580,"Huntington-Ashland, WV-KY-OH",7,2,1,1,0,0,0,1,2,0
26620,"Huntsville, AL",6,3,1,0,0,0,0,2,0,0
26820,"Idaho Falls, ID",0,0,0,0,0,0,0,0,0,0
26900,"Indianapolis-Carmel-Anderson, IN",26,20,0,0,0,0,0,5,1,0
26980,"Iowa City, IA",0,0,0,0,0,0,0,0,0,0
27060,"Ithaca, NY",0,0,0,0,0,0,0,0,0,0
27100,"Jackson, MI",2,2,0,0,0,0,0,0,0,0
27140,"Jackson, MS",9,6,0,0,0,0,0,2,1,0
27180,"Jackson, TN",1,0,1,0,0,0,0,0,0,0
27260,"Jacksonville, FL",22,18,2,1,0,0,0,1,0,0
27340,"Jacksonville, NC",1,1,0,0,0,0,0,0,0,0
27500,"Janesville-Beloit, WI",0,0,0,0,0,0,0,0,0,0
27620,"Jefferson City, MO",3,0,1,2,0,0,0,0,0,0
27740,"Johnson City, TN",3,3,0,0,0,0,0,0,0,0
27780,"Johnstown, PA",1,1,0,0,0,0,0,0,0,0
27860,"Jonesboro, AR",4,3,0,0,0,0,0,0,1,0
27900,"Joplin, MO",1,1,0,0,0,0,0,0,0,0
28020,"Kalamazoo-Portage, MI",5,3,0,0,0,0,0,1,1,0
28100,"Kankakee, IL",3,3,0,0,0,0,0,0,0,0
28140,"Kansas City, MO-KS",74,56,6,3,0,0,1,5,3,0
28420,"Kennewick-Richland, WA",12,9,3,0,0,0,0,0,0,0
28660,"Killeen-Temple, TX",0,0,0,0,0,0,0,0,0,0
28700,"Kingsport-Bristol-Bristol, TN-VA",6,3,1,0,0,0,0,2,0,0
28740,"Kingston, NY",0,0,0,0,0,0,0,0,0,0
28940,"Knoxville, TN",9,4,2,0,0,0,0,2,1,0
29020,"Kokomo, IN",1,1,0,0,0,0,0,0,0,0
29100,"La Crosse-Onalaska, WI-MN",6,4,1,1,0,0,0,0,0,0
29180,"Lafayette, LA",7,2,1,3,0,0,0,1,0,0
29200,"Lafayette-West Lafayette, IN",5,5,0,0,0,0,0,0,0,0
29340,"Lake Charles, LA",4,1,0,2,0,1,0,0,0,0
29460,"Lakeland-Winter Haven, FL",4,3,0,0,0,0,0,0,1,0
29540,"Lancaster, PA",7,5,1,0,0,0,0,1,0,0
29620,"Lansing-East Lansing, MI",6,6,0,0,0,0,0,0,0,0
29700,"Laredo, TX",7,3,1,0,0,0,0,3,0,0
29740,"Las Cruces, NM",0,0,0,0,0,0,0,0,0,0
29820,"Las Vegas-Henderson-Paradise, NV",6,1,1,0,0,0,0,4,0,0
29940,"Lawrence, KS",1,1,0,0,0,0,0,0,0,0
30020,"Lawton, OK",1,1,0,0,0,0,0,0,0,0
30140,"Lebanon, PA",1,1,0,0,0,0,0,0,0,0
30300,"Lewiston, ID-WA",5,2,3,0,0,0,0,0,0,0
30340,"Lewiston-Auburn, ME",4,4,0,0,0,0,0,0,0,0
30460,"Lexington-Fayette, KY",11,6,0,0,0,0,0,4,1,0
30620,"Lima, OH",4,3,1,0,0,0,0,0,0,0
30700,"Lincoln, NE",5,4,1,0,0,0,0,0,0,0
30780,"Little Rock-North Little Rock-Conway, AR",9,5,0,0,1,0,0,2,1,0
30860,"Logan, UT-ID",0,0,0,0,0,0,0,0,0,0
30980,"Longview, TX",0,0,0,0,0,0,0,0,0,0
31020,"Longview, WA",5,2,3,0,0,0,0,0,0,0
31080,"Los Angeles-Long Beach-Anaheim, CA",64,42,7,0,0,1,0,12,2,0
31140,"Louisville/Jefferson County, KY-IN",26,20,3,0,0,0,0,3,0,0
31180,"Lubbock, TX",6,4,1,0,0,0,0,1,0,0
31340,"Lynchburg, VA",2,2,0,0,0,0,0,0,0,0
31420,"Macon-Bibb County, GA",7,6,0,0,0,0,0,0,1,0
31460,"Madera, CA",0,0,0,0,0,0,0,0,0,0
31540,"Madison, WI",3,1,1,0,0,0,0,0,1,0
31700,"Manchester-Nashua, NH",4,1,1,0,0,0,0,1,1,0
31900,"Mansfield, OH",3,1,1,0,0,0,0,1,0,0
32580,"McAllen-Edinburg-Mission, TX",2,0,0,0,0,0,0,1,1,0
32780,"Medford, OR",1,0,1,0,0,0,0,0,0,0
32820,"Memphis, TN-MS-AR",41,29,7,0,0,0,0,4,1,0
32900,"Merced, CA",2,2,0,0,0,0,0,0,0,0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",33,16,1,2,0,0,0,13,1,0
33140,"Michigan City-La Porte, IN",1,0,1,0,0,0,0,0,0,0
33260,"Midland, TX",0,0,0,0,0,0,0,0,0,0
33340,"Milwaukee-Waukesha-West Allis, WI",13,4,1,1,0,0,0,6,1,0
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",58,29,12,5,0,1,0,8,3,0
33540,"Missoula, MT",1,1,0,0,0,0,0,0,0,0
33660,"Mobile, AL",9,6,2,0,0,0,0,1,0,0
33700,"Modesto, CA",4,4,0,0,0,0,0,0,0,0
33740,"Monroe, LA",2,2,0,0,0,0,0,0,0,0
33780,"Monroe, MI",3,2,1,0,0,0,0,0,0,0
33860,"Montgomery, AL",4,4,0,0,0,0,0,0,0,0
34060,"Morgantown, WV",1,0,0,1,0,0,0,0,0,0
34100,"Morristown, TN",0,0,0,0,0,0,0,0,0,0
34580,"Mount Vernon-Anacortes, WA",2,1,0,1,0,0,0,0,0,0
34620,"Muncie, IN",1,0,0,0,0,0,0,0,1,0
34740,"Muskegon, MI",3,0,0,3,0,0,0,0,0,0
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0,0,0,0,0,0,0,0,0,0
34900,"Napa, CA",0,0,0,0,0,0,0,0,0,0
34940,"Naples-Immokalee-Marco Island, FL",0,0,0,0,0,0,0,0,0,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",11,5,3,1,0,0,0,2,0,0
35300,"New Haven-Milford, CT",6,4,1,0,0,0,0,0,1,0
35380,"New Orleans-Metairie, LA",30,21,3,1,0,1,0,3,1,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",92,42,15,0,0,0,0,26,9,0
35660,"Niles-Benton Harbor, MI",0,0,0,0,0,0,0,0,0,0
35840,"North Port-Sarasota-Bradenton, FL",2,0,0,1,0,0,0,1,0,0
35980,"Norwich-New London, CT",2,1,1,0,0,0,0,0,0,0
36100,"Ocala, FL",1,1,0,0,0,0,0,0,0,0
36140,"Ocean City, NJ",0,0,0,0,0,0,0,0,0,0
36220,"Odessa, TX",0,0,0,0,0,0,0,0,0,0
36260,"Ogden-Clearfield, UT",3,3,0,0,0,0,0,0,0,0
36420,"Oklahoma City, OK",13,10,1,0,0,0,0,2,0,0
36500,"Olympia-Tumwater, WA",2,0,2,0,0,0,0,0,0,0
36540,"Omaha-Council Bluffs, NE-IA",22,19,1,0,0,0,0,2,0,0
36740,"Orlando-Kissimmee-Sanford, FL",11,5,0,0,0,0,0,6,0,0
36780,"Oshkosh-Neenah, WI",3,3,0,0,0,0,0,0,0,0
36980,"Owensboro, KY",1,0,1,0,0,0,0,0,0,0
37100,"Oxnard-Thousand Oaks-Ventura, CA",2,1,0,1,0,0,0,0,0,0
37340,"Palm Bay-Melbourne-Titusville, FL",2,0,0,1,0,0,0,1,0,0
37460,"Panama City, FL",2,0,1,1,0,0,0,0,0,0
37620,"Parkersburg-Vienna, WV",1,0,0,0,0,0,0,1,0,0
37860,"Pensacola-Ferry Pass-Brent, FL",2,1,1,0,0,0,0,0,0,0
37900,"Peoria, IL",13,10,1,0,0,0,0,2,0,0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",63,48,4,3,0,1,0,5,2,0
38060,"Phoenix-Mesa-Scottsdale, AZ",23,14,0,0,0,0,0,9,0,0
38220,"Pine Bluff, AR",2,2,0,0,0,0,0,0,0,0
38300,"Pittsburgh, PA",24,19,2,0,0,0,0,3,0,0
38340,"Pittsfield, MA",0,0,0,0,0,0,0,0,0,0
38540,"Pocatello, ID",1,1,0,0,0,0,0,0,0,0
38860,"Portland-South Portland, ME",5,1,0,1,0,0,0,3,0,0
38900,"Portland-Vancouver-Hillsboro, OR-WA",43,32,4,3,0,0,0,3,1,0
38940,"Port St. Lucie, FL",4,3,1,0,0,0,0,0,0,0
39140,"Prescott, AZ",0,0,0,0,0,0,0,0,0,0
39300,"Providence-Warwick, RI-MA",8,2,4,0,0,0,0,1,1,0
39340,"Provo-Orem, UT",0,0,0,0,0,0,0,0,0,0
39380,"Pueblo, CO",1,1,0,0,0,0,0,0,0,0
39460,"Punta Gorda, FL",0,0,0,0,0,0,0,0,0,0
39540,"Racine, WI",1,1,0,0,0,0,0,0,0,0
39580,"Raleigh, NC",9,7,0,0,0,0,0,2,0,0
39660,"Rapid City, SD",5,3,1,0,0,0,0,0,1,0
39740,"Reading, PA",2,2,0,0,0,0,0,0,0,0
39820,"Redding, CA",0,0,0,0,0,0,0,0,0,0
39900,"Reno, NV",8,5,1,0,0,0,0,2,0,0
40060,"Richmond, VA",16,11,2,0,0,0,0,3,0,0
40140,"Riverside-San Bernardino-Ontario, CA",22,19,0,0,0,0,0,3,0,0
40220,"Roanoke, VA",9,7,1,0,0,0,0,1,0,0
40340,"Rochester, MN",2,1,0,0,0,0,0,0,1,0
40380,"Rochester, NY",9,6,1,0,0,0,0,2,0,0
40420,"Rockford, IL",10,7,0,0,0,0,0,3,0,0
40580,"Rocky Mount, NC",1,0,0,0,0,0,0,0,1,0
40660,"Rome, GA",0,0,0,0,0,0,0,0,0,0
40900,"Sacramento--Roseville--Arden-Arcade, CA",11,5,1,0,0,0,0,5,0,0
40980,"Saginaw, MI",4,4,0,0,0,0,0,0,0,0
41060,"St. Cloud, MN",3,2,0,0,0,0,0,0,1,0
41100,"St. George, UT",0,0,0,0,0,0,0,0,0,0
41140,"St. Joseph, MO-KS",5,3,1,0,0,0,0,1,0,0
41180,"St. Louis, MO-IL",56,43,6,0,0,0,0,5,2,0
41420,"Salem, OR",4,2,1,0,0,0,0,0,1,0
41500,"Salinas, CA",1,1,0,0,0,0,0,0,0,0
41540,"Salisbury, MD-DE",3,3,0,0,0,0,0,0,0,0
41620,"Salt Lake City, UT",10,5,1,0,0,0,0,4,0,0
41660,"San Angelo, TX",0,0,0,0,0,0,0,0,0,0
41700,"San Antonio-New Braunfels, TX",15,11,1,0,0,0,0,3,0,0
41740,"San Diego-Carlsbad, CA",11,5,0,1,0,0,0,4,1,0
41860,"San Francisco-Oakland-Hayward, CA",37,22,3,3,0,0,0,6,3,0
41940,"San Jose-Sunnyvale-Santa Clara, CA",6,3,0,0,0,0,0,3,0,0
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0,0,0,0,0,0,0,0,0,0
42100,"Santa Cruz-Watsonville, CA",0,0,0,0,0,0,0,0,0,0
42140,"Santa Fe, NM",2,1,1,0,0,0,0,0,0,0
42200,"Santa Maria-Santa Barbara, CA",1,1,0,0,0,0,0,0,0,0
42220,"Santa Rosa, CA",1,1,0,0,0,0,0,0,0,0
42340,"Savannah, GA",12,9,1,1,0,0,0,1,0,0
42540,"Scranton--Wilkes-Barre--Hazleton, PA",9,6,1,0,0,0,0,0,2,0
42660,"Seattle-Tacoma-Bellevue, WA",59,38,9,0,0,0,0,11,1,0
42680,"Sebastian-Vero Beach, FL",0,0,0,0,0,0,0,0,0,0
43100,"Sheboygan, WI",0,0,0,0,0,0,0,0,0,0
43300,"Sherman-Denison, TX",3,2,1,0,0,0,0,0,0,0
43340,"Shreveport-Bossier City, LA",6,4,0,0,0,0,1,1,0,0
43580,"Sioux City, IA-NE-SD",4,4,0,0,0,0,0,0,0,0
43620,"Sioux Falls, SD",8,4,1,0,0,0,0,2,1,0
43780,"South Bend-Mishawaka, IN-MI",5,3,0,0,0,0,0,1,1,0
43900,"Spartanburg, SC",6,4,1,0,0,0,0,1,0,0
44060,"Spokane-Spokane Valley, WA",10,8,1,0,0,0,0,1,0,0
44100,"Springfield, IL",0,0,0,0,0,0,0,0,0,0
44140,"Springfield, MA",17,15,0,0,0,0,0,0,2,0
44180,"Springfield, MO",5,3,0,0,0,0,0,1,1,0
44220,"Springfield, OH",2,2,0,0,0,0,0,0,0,0
44300,"State College, PA",0,0,0,0,0,0,0,0,0,0
44700,"Stockton-Lodi, CA",18,14,2,0,0,0,0,2,0,0
44940,"Sumter, SC",0,0,0,0,0,0,0,0,0,0
45060,"Syracuse, NY",8,3,1,1,0,0,0,2,1,0
45220,"Tallahassee, FL",2,1,0,0,0,0,0,0,1,0
45300,"Tampa-St. Petersburg-Clearwater, FL",13,5,1,2,0,0,0,5,0,0
45460,"Terre Haute, IN",6,4,0,0,0,0,0,1,1,0
45500,"Texarkana, TX-AR",2,1,1,0,0,0,0,0,0,0
45780,"Toledo, OH",24,17,2,3,0,0,0,2,0,0
45820,"Topeka, KS",5,5,0,0,0,0,0,0,0,0
45940,"Trenton, NJ",1,1,0,0,0,0,0,0,0,0
46060,"Tucson, AZ",5,2,0,0,0,0,0,3,0,0
46140,"Tulsa, OK",15,8,5,0,0,0,0,1,1,0
46220,"Tuscaloosa, AL",2,1,0,0,0,1,0,0,0,0
46340,"Tyler, TX",1,0,0,0,0,0,0,0,1,0
46520,"Urban Honolulu, HI",4,0,0,0,0,0,0,4,0,0
46540,"Utica-Rome, NY",1,0,0,0,0,0,0,0,1,0
46660,"Valdosta, GA",1,1,0,0,0,0,0,0,0,0
46700,"Vallejo-Fairfield, CA",3,2,1,0,0,0,0,0,0,0
47020,"Victoria, TX",1,0,1,0,0,0,0,0,0,0
47220,"Vineland-Bridgeton, NJ",7,7,0,0,0,0,0,0,0,0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",17,11,3,1,0,0,1,1,0,0
47300,"Visalia-Porterville, CA",0,0,0,0,0,0,0,0,0,0
47380,"Waco, TX",2,1,1,0,0,0,0,0,0,0
47580,"Warner Robins, GA",0,0,0,0,0,0,0,0,0,0
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",13,5,2,0,0,0,0,4,2,0
47940,"Waterloo-Cedar Falls, IA",3,3,0,0,0,0,0,0,0,0
48140,"Wausau, WI",2,1,0,0,0,0,0,0,1,0
48260,"Weirton-Steubenville, WV-OH",2,1,1,0,0,0,0,0,0,0
48300,"Wenatchee, WA",2,0,0,0,0,0,0,1,1,0
48540,"Wheeling, WV-OH",0,0,0,0,0,0,0,0,0,0
48620,"Wichita, KS",12,10,0,0,0,0,0,1,1,0
48660,"Wichita Falls, TX",0,0,0,0,0,0,0,0,0,0
48700,"Williamsport, PA",1,1,0,0,0,0,0,0,0,0
48900,"Wilmington, NC",2,1,1,0,0,0,0,0,0,0
49020,"Winchester, VA-WV",0,0,0,0,0,0,0,0,0,0
49180,"Winston-Salem, NC",8,8,0,0,0,0,0,0,0,0
49340,"Worcester, MA-CT",17,14,2,0,0,0,0,0,1,0
49420,"Yakima, WA",1,0,1,0,0,0,0,0,0,0
49620,"York-Hanover, PA",9,8,1,0,0,0,0,0,0,0
49660,"Youngstown-Warren-Boardman, OH-PA",7,4,1,0,0,0,0,1,1,0
49700,"Yuba City, CA",1,0,0,0,0,0,0,0,1,0
49740,"Yuma, AZ",2,1,0,0,0,0,0,1,0,0
