cbsa_fips,name,bldgs,strct,sites,objct,dists,hist_reg
43300,"Sherman-Denison, TX",0,0,0,0,0,0
43340,"Shreveport-Bossier City, LA",1,2,1,1,4,9
43580,"Sioux City, IA-NE-SD",1,4,0,0,2,7
43620,"Sioux Falls, SD",4,30,1,0,1,36
43780,"South Bend-Mishawaka, IN-MI",5,3,0,0,2,10
43900,"Spartanburg, SC",9,1,1,1,1,13
44060,"Spokane-Spokane Valley, WA",0,11,1,1,1,14
44100,"Springfield, IL",3,5,0,0,1,9
44140,"Springfield, MA",13,1,4,0,11,29
44180,"Springfield, MO",1,1,1,0,4,7
44220,"Springfield, OH",3,0,0,0,1,4
44300,"State College, PA",6,0,0,0,1,7
44700,"Stockton-Lodi, CA",1,2,0,0,0,3
44940,"Sumter, SC",7,0,1,0,0,8
45060,"Syracuse, NY",18,5,1,0,10,34
45220,"Tallahassee, FL",5,1,2,0,4,12
45300,"Tampa-St. Petersburg-Clearwater, FL",3,7,0,0,2,12
45460,"Terre Haute, IN",5,8,1,0,0,14
45500,"Texarkana, TX-AR",0,0,1,0,1,2
45780,"Toledo, OH",1,2,2,0,7,12
45820,"Topeka, KS",3,7,3,0,2,15
45940,"Trenton, NJ",9,2,0,2,2,15
46060,"Tucson, AZ",7,5,17,1,1,31
46140,"Tulsa, OK",2,6,8,0,2,18
46220,"Tuscaloosa, AL",5,1,0,0,5,11
46340,"Tyler, TX",0,1,0,0,0,1
46520,"Urban Honolulu, HI",1,15,7,0,0,23
46540,"Utica-Rome, NY",6,5,1,0,2,14
46660,"Valdosta, GA",3,0,0,0,2,5
46700,"Vallejo-Fairfield, CA",1,2,1,0,0,4
47020,"Victoria, TX",1,1,1,0,0,3
47220,"Vineland-Bridgeton, NJ",0,2,0,0,0,2
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",40,10,1,2,6,59
47300,"Visalia-Porterville, CA",0,2,0,2,4,8
47380,"Waco, TX",0,2,0,0,0,2
47580,"Warner Robins, GA",2,0,0,0,0,2
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",222,34,7,38,18,319
47940,"Waterloo-Cedar Falls, IA",0,2,0,0,1,3
48140,"Wausau, WI",0,0,0,0,0,0
48260,"Weirton-Steubenville, WV-OH",1,3,0,1,0,5
48300,"Wenatchee, WA",0,10,2,0,2,14
48540,"Wheeling, WV-OH",0,3,0,0,3,6
48620,"Wichita, KS",1,6,0,1,3,11
48660,"Wichita Falls, TX",0,2,0,0,0,2
48700,"Williamsport, PA",1,8,0,0,0,9
48900,"Wilmington, NC",3,2,2,0,1,8
49020,"Winchester, VA-WV",11,0,1,0,2,14
49180,"Winston-Salem, NC",24,1,12,0,2,39
49340,"Worcester, MA-CT",38,10,3,0,20,71
49420,"Yakima, WA",2,5,0,0,0,7
49620,"York-Hanover, PA",4,17,0,0,2,23
49660,"Youngstown-Warren-Boardman, OH-PA",4,6,0,0,6,16
49700,"Yuba City, CA",0,1,0,0,1,2
49740,"Yuma, AZ",0,6,0,2,0,8
