cbsa_fips,cbsa,population_2005
28660,"Killeen-Temple, TX",357533
28700,"Kingsport-Bristol-Bristol, TN-VA",302519
28740,"Kingston, NY",182438
28940,"Knoxville, TN",790669
29020,"Kokomo, IN",84382
29100,"La Crosse-Onalaska, WI-MN",129549
29180,"Lafayette, LA",436399
29200,"Lafayette-West Lafayette, IN",188023
29340,"Lake Charles, LA",192364
29420,"Lake Havasu City-Kingman, AZ",188773
29460,"Lakeland-Winter Haven, FL",547373
29540,"Lancaster, PA",494722
29620,"Lansing-East Lansing, MI",462743
29700,"Laredo, TX",223703
29740,"Las Cruces, NM",189199
29820,"Las Vegas-Henderson-Paradise, NV",1729522
29940,"Lawrence, KS",105681
30020,"Lawton, OK",121475
30140,"Lebanon, PA",126197
30300,"Lewiston, ID-WA",58979
30340,"Lewiston-Auburn, ME",107352
30460,"Lexington-Fayette, KY",436898
30620,"Lima, OH",106861
30700,"Lincoln, NE",285469
30780,"Little Rock-North Little Rock-Conway, AR",648784
30860,"Logan, UT-ID",112580
30980,"Longview, TX",203062
31020,"Longview, WA",96536
31080,"Los Angeles-Long Beach-Anaheim, CA",12726428
31140,"Louisville/Jefferson County, KY-IN",1172611
31180,"Lubbock, TX",270478
31340,"Lynchburg, VA",167504
31420,"Macon, GA",228125
31460,"Madera, CA",140313
31540,"Madison, WI",573036
31700,"Manchester-Nashua, NH",396381
31740,"Manhattan, KS",84195
31860,"Mankato-North Mankato, MN",91111
31900,"Mansfield, OH",127724
32580,"McAllen-Edinburg-Mission, TX",674982
32780,"Medford, OR",194701
32820,"Memphis, TN-MS-AR",1271965
32900,"Merced, CA",242554
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",5411148
33140,"Michigan City-La Porte, IN",109541
33220,"Midland, MI",83930
33260,"Midland, TX",126963
33340,"Milwaukee-Waukesha-West Allis, WI",1522391
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3199046
33540,"Missoula, MT",102298
33660,"Mobile, AL",396188
33700,"Modesto, CA",500020
33740,"Monroe, LA",172241
33780,"Monroe, MI",152374
33860,"Montgomery, AL",358659
34060,"Morgantown, WV",119937
34100,"Morristown, TN",107703
34580,"Mount Vernon-Anacortes, WA",110683
34620,"Muncie, IN",118170
34740,"Muskegon, MI",173608
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",317745
34900,"Napa, CA",130381
34940,"Naples-Immokalee-Marco Island, FL",307452
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1511310
35100,"New Bern, NC",117787
35300,"New Haven-Milford, CT",847162
35380,"New Orleans-Metairie, LA",1231358
35620,"New York-Newark-Jersey City, NY-NJ-PA",19227714
35660,"Niles-Benton Harbor, MI",158510
35840,"North Port-Sarasota-Bradenton, FL",674757
35980,"Norwich-New London, CT",269664
36100,"Ocala, FL",303558
36140,"Ocean City, NJ",99269
36220,"Odessa, TX",125378
36260,"Ogden-Clearfield, UT",532425
36420,"Oklahoma City, OK",1161308
36500,"Olympia-Tumwater, WA",227023
36540,"Omaha-Council Bluffs, NE-IA",814309
36740,"Orlando-Kissimmee-Sanford, FL",1955794
36780,"Oshkosh-Neenah, WI",161451
36980,"Owensboro, KY",111469
37100,"Oxnard-Thousand Oaks-Ventura, CA",794197
37340,"Palm Bay-Melbourne-Titusville, FL",529907
37460,"Panama City, FL",178698
37620,"Parkersburg-Vienna, WV",92655
37860,"Pensacola-Ferry Pass-Brent, FL",439471
37900,"Peoria, IL",369772
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5829139
38060,"Phoenix-Mesa-Scottsdale, AZ",3774696
38220,"Pine Bluff, AR",103917
38300,"Pittsburgh, PA",2374483
38340,"Pittsfield, MA",132563
38540,"Pocatello, ID",77419
38860,"Portland-South Portland, ME",510287
38900,"Portland-Vancouver-Hillsboro, OR-WA",2067325
38940,"Port St. Lucie, FL",383877
39140,"Prescott, AZ",195424
39300,"Providence-Warwick, RI-MA",1613353
39340,"Provo-Orem, UT",439623
39380,"Pueblo, CO",149825
39460,"Punta Gorda, FL",155262
39540,"Racine, WI",193251
39580,"Raleigh, NC",944725
39660,"Rapid City, SD",125998
39740,"Reading, PA",395933
39820,"Redding, CA",175615
39900,"Reno, NV",396546
40060,"Richmond, VA",1135074
40140,"Riverside-San Bernardino-Ontario, CA",3875709
40220,"Roanoke, VA",296405
40340,"Rochester, MN",197188
40380,"Rochester, NY",1070418
40420,"Rockford, IL",335903
40580,"Rocky Mount, NC",147027
40660,"Rome, GA",94332
40900,"Sacramento--Roseville--Arden-Arcade, CA",2034850
40980,"Saginaw, MI",207368
41060,"St. Cloud, MN",179222
41100,"St. George, UT",119000
41140,"St. Joseph, MO-KS",123484
41180,"St. Louis, MO-IL",2730316
41420,"Salem, OR",368046
41500,"Salinas, CA",405139
41540,"Salisbury, MD-DE",345704
41620,"Salt Lake City, UT",997221
41660,"San Angelo, TX",106587
41700,"San Antonio-New Braunfels, TX",1896328
41740,"San Diego-Carlsbad, CA",2938375
41860,"San Francisco-Oakland-Hayward, CA",4137858
41940,"San Jose-Sunnyvale-Santa Clara, CA",1729959
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",258615
42100,"Santa Cruz-Watsonville, CA",251377
42140,"Santa Fe, NM",137610
42200,"Santa Maria-Santa Barbara, CA",408079
42220,"Santa Rosa, CA",465938
42340,"Savannah, GA",314528
42540,"Scranton--Wilkes-Barre--Hazleton, PA",556652
42660,"Seattle-Tacoma-Bellevue, WA",3198265
42680,"Sebastian-Vero Beach, FL",127955
42700,"Sebring, FL",95614
43100,"Sheboygan, WI",114454
43300,"Sherman-Denison, TX",115666
43340,"Shreveport-Bossier City, LA",424302
43420,"Sierra Vista-Douglas, AZ",125786
43580,"Sioux City, IA-NE-SD",164840
43620,"Sioux Falls, SD",206605
43780,"South Bend-Mishawaka, IN-MI",317221
43900,"Spartanburg, SC",293722
44060,"Spokane-Spokane Valley, WA",494408
44100,"Springfield, IL",204988
44140,"Springfield, MA",616530
44180,"Springfield, MO",402883
44220,"Springfield, OH",141367
44300,"State College, PA",145543
44420,"Staunton-Waynesboro, VA",114085
44700,"Stockton-Lodi, CA",656985
44940,"Sumter, SC",106082
45060,"Syracuse, NY",655021
45220,"Tallahassee, FL",344257
45300,"Tampa-St. Petersburg-Clearwater, FL",2651580
45460,"Terre Haute, IN",170634
45500,"Texarkana, TX-AR",144534
45540,"The Villages, FL",69261
45780,"Toledo, OH",616819
45820,"Topeka, KS",228208
45940,"Trenton, NJ",362015
46060,"Tucson, AZ",920298
46140,"Tulsa, OK",882861
46220,"Tuscaloosa, AL",212545
46340,"Tyler, TX",191362
46520,"Urban Honolulu, HI",918181
46540,"Utica-Rome, NY",298574
46660,"Valdosta, GA",126411
46700,"Vallejo-Fairfield, CA",408181
47020,"Victoria, TX",91523
47220,"Vineland-Bridgeton, NJ",152022
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1649013
47300,"Visalia-Porterville, CA",407970
47380,"Waco, TX",240784
47460,"Walla Walla, WA",60543
47580,"Warner Robins, GA",161847
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5273577
47940,"Waterloo-Cedar Falls, IA",163260
48060,"Watertown-Fort Drum, NY",113486
48140,"Wausau, WI",128958
48260,"Weirton-Steubenville, WV-OH",127464
48300,"Wenatchee, WA",103369
48540,"Wheeling, WV-OH",149438
48620,"Wichita, KS",596270
48660,"Wichita Falls, TX",151152
48700,"Williamsport, PA",117530
48900,"Wilmington, NC",230897
49020,"Winchester, VA-WV",117847
49180,"Winston-Salem, NC",602805
49340,"Worcester, MA-CT",896901
49420,"Yakima, WA",228570
49620,"York-Hanover, PA",409066
49660,"Youngstown-Warren-Boardman, OH-PA",584222
49700,"Yuba City, CA",155049
49740,"Yuma, AZ",178816
