cbsa_fips,cbsa,lfpr,pop,lf,emp,unemp
36740,"Orlando-Kissimmee-Sanford, FL",0.5193686042599579,1955794,1015778,979207,36571
36780,"Oshkosh-Neenah, WI",0.5647843618187561,161451,91185,87160,4025
36980,"Owensboro, KY",0.4946397653159174,111469,55137,51846,3291
37100,"Oxnard-Thousand Oaks-Ventura, CA",0.5237466270962998,794197,415958,396225,19733
37340,"Palm Bay-Melbourne-Titusville, FL",0.49147303206034265,529907,260435,250969,9466
37460,"Panama City, FL",0.49651926714344874,178698,88727,85584,3143
37620,"Parkersburg-Vienna, WV",0.4689331390642707,92655,43449,41026,2423
37860,"Pensacola-Ferry Pass-Brent, FL",0.46221024823025864,439471,203128,195439,7689
37900,"Peoria, IL",0.5167292277403372,369772,191072,182174,8898
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.5003114525146852,5829139,2916385,2778245,138140
38060,"Phoenix-Mesa-Scottsdale, AZ",0.5148753700960289,3774696,1943498,1863495,80003
38220,"Pine Bluff, AR",0.4480595090312461,103917,46561,43106,3455
38300,"Pittsburgh, PA",0.5040318250330703,2374483,1196815,1134199,62616
38340,"Pittsfield, MA",0.5481469188235027,132563,72664,69494,3170
38540,"Pocatello, ID",0.5237603172347873,77419,40549,38984,1565
38860,"Portland-South Portland, ME",0.560341533294009,510287,285935,274785,11150
38900,"Portland-Vancouver-Hillsboro, OR-WA",0.5290861378834968,2067325,1093793,1029285,64508
38940,"Port St. Lucie, FL",0.4626481919989997,383877,177600,169596,8004
39140,"Prescott, AZ",0.4679159161617816,195424,91442,87403,4039
39300,"Providence-Warwick, RI-MA",0.5290627655571967,1613353,853565,807810,45755
39340,"Provo-Orem, UT",0.4755392688735576,439623,209058,200841,8217
39380,"Pueblo, CO",0.4627131653595862,149825,69326,64606,4720
39460,"Punta Gorda, FL",0.4256546997977612,155262,66088,63430,2658
39540,"Racine, WI",0.5097463919979716,193251,98509,92687,5822
39580,"Raleigh, NC",0.5300209055545264,944725,500724,479811,20913
39660,"Rapid City, SD",0.5565326433752916,125998,70122,67559,2563
39740,"Reading, PA",0.5018828943280808,395933,198712,189015,9697
39820,"Redding, CA",0.46549554423027645,175615,81748,75826,5922
39900,"Reno, NV",0.5315121070443277,396546,210769,202449,8320
40060,"Richmond, VA",0.5223756336591271,1135074,592935,570318,22617
40140,"Riverside-San Bernardino-Ontario, CA",0.43967387644428413,3875709,1704048,1614040,90008
40220,"Roanoke, VA",0.5041649094988276,296405,149437,144169,5268
40340,"Rochester, MN",0.5747256425340285,197188,113329,109202,4127
40380,"Rochester, NY",0.5119476690414398,1070418,547998,522666,25332
40420,"Rockford, IL",0.4912400306040732,335903,165009,154466,10543
40580,"Rocky Mount, NC",0.46529548994402387,147027,68411,63712,4699
40660,"Rome, GA",0.5315163465207989,94332,50139,47541,2598
40900,"Sacramento--Roseville--Arden-Arcade, CA",0.4973260928323955,2034850,1011984,962619,49365
40980,"Saginaw, MI",0.47434994791867596,207368,98365,90520,7845
41060,"St. Cloud, MN",0.5736181941949091,179222,102805,98294,4511
41100,"St. George, UT",0.47852100840336137,119000,56944,54639,2305
41140,"St. Joseph, MO-KS",0.5251287616209388,123484,64845,61107,3738
41180,"St. Louis, MO-IL",0.5224662639782355,2730316,1426498,1347532,78966
41420,"Salem, OR",0.49825293577433255,368046,183380,171788,11592
41500,"Salinas, CA",0.5098620473467131,405139,206565,191535,15030
41540,"Salisbury, MD-DE",0.5238469904889732,345704,181096,173065,8031
41620,"Salt Lake City, UT",0.5441311404392808,997221,542619,520747,21872
41660,"San Angelo, TX",0.4953324514246578,106587,52796,50523,2273
41700,"San Antonio-New Braunfels, TX",0.47182607650153346,1896328,894737,849881,44856
41740,"San Diego-Carlsbad, CA",0.5070145913983068,2938375,1489799,1425706,64093
41860,"San Francisco-Oakland-Hayward, CA",0.518831724046596,4137858,2146852,2043848,103004
41940,"San Jose-Sunnyvale-Santa Clara, CA",0.4854797136810757,1729959,839860,794572,45288
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",0.5083966513929973,258615,131479,125879,5600
42100,"Santa Cruz-Watsonville, CA",0.5688348576043154,251377,142992,134029,8963
42140,"Santa Fe, NM",0.557401351645956,137610,76704,73560,3144
42200,"Santa Maria-Santa Barbara, CA",0.5224625623960066,408079,213206,203962,9244
42220,"Santa Rosa, CA",0.5438706437337156,465938,253410,242205,11205
42340,"Savannah, GA",0.5260517346627327,314528,165458,158113,7345
42540,"Scranton--Wilkes-Barre--Hazleton, PA",0.49765742330935664,556652,277022,261635,15387
42660,"Seattle-Tacoma-Bellevue, WA",0.5399937153425373,3198265,1727043,1643548,83495
42680,"Sebastian-Vero Beach, FL",0.4648821851432144,127955,59484,56638,2846
42700,"Sebring, FL",0.4181709791453134,95614,39983,38293,1690
43100,"Sheboygan, WI",0.5639820364513254,114454,64550,61993,2557
43300,"Sherman-Denison, TX",0.4877492089291581,115666,56416,53380,3036
43340,"Shreveport-Bossier City, LA",0.47115969286027404,424302,199914,187877,12037
43420,"Sierra Vista-Douglas, AZ",0.44340387642503937,125786,55774,53097,2677
43580,"Sioux City, IA-NE-SD",0.5377153603494298,164840,88637,84638,3999
43620,"Sioux Falls, SD",0.5835483168364753,206605,120564,116483,4081
43780,"South Bend-Mishawaka, IN-MI",0.5101143997402442,317221,161819,153248,8571
43900,"Spartanburg, SC",0.4914919549778362,293722,144362,133163,11199
44060,"Spokane-Spokane Valley, WA",0.5000182035889387,494408,247213,232037,15176
44100,"Springfield, IL",0.546875914687689,204988,112103,107050,5053
44140,"Springfield, MA",0.5060289037029828,616530,311982,295361,16621
44180,"Springfield, MO",0.5274211123328609,402883,212489,203276,9213
44220,"Springfield, OH",0.4989070999596794,141367,70529,65964,4565
44300,"State College, PA",0.4973650398851199,145543,72388,69492,2896
44420,"Staunton-Waynesboro, VA",0.5024762238681685,114085,57325,55462,1863
44700,"Stockton-Lodi, CA",0.43165064651399954,656985,283588,261289,22299
44940,"Sumter, SC",0.43783111178145206,106082,46446,42505,3941
45060,"Syracuse, NY",0.5038601815819646,655021,330039,313962,16077
45220,"Tallahassee, FL",0.5211484443308342,344257,179409,173655,5754
45300,"Tampa-St. Petersburg-Clearwater, FL",0.4746660481675077,2651580,1258615,1208734,49881
45460,"Terre Haute, IN",0.47257287527690844,170634,80637,75006,5631
45500,"Texarkana, TX-AR",0.47339034414047904,144534,68421,64886,3535
45540,"The Villages, FL",0.36896666233522474,69261,25555,24685,870
45780,"Toledo, OH",0.5118778766542535,616819,315736,294712,21024
45820,"Topeka, KS",0.5413438617401669,228208,123539,116774,6765
45940,"Trenton, NJ",0.5351187105506678,362015,193721,186136,7585
46060,"Tucson, AZ",0.479823926597689,920298,441581,421815,19766
46140,"Tulsa, OK",0.5015670643510134,882861,442814,423536,19278
46220,"Tuscaloosa, AL",0.4696558375873344,212545,99823,95834,3989
46340,"Tyler, TX",0.49832255097668293,191362,95360,90560,4800
46520,"Urban Honolulu, HI",0.4783991391675498,918181,439257,427016,12241
46540,"Utica-Rome, NY",0.47862171521967756,298574,142904,135947,6957
46660,"Valdosta, GA",0.512843027901053,126411,64829,62216,2613
46700,"Vallejo-Fairfield, CA",0.5107685071083662,408181,208486,197341,11145
47020,"Victoria, TX",0.5167662773291959,91523,47296,45147,2149
47220,"Vineland-Bridgeton, NJ",0.4544210706345134,152022,69082,64663,4419
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.48045891694001197,1649013,792283,760770,31513
47300,"Visalia-Porterville, CA",0.44930999828418755,407970,183305,166019,17286
47380,"Waco, TX",0.4953734467406472,240784,119278,113199,6079
47460,"Walla Walla, WA",0.5057397221809292,60543,30619,28732,1887
47580,"Warner Robins, GA",0.48388292646758974,161847,78315,74297,4018
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.550758242460478,5273577,2904466,2803967,100499
47940,"Waterloo-Cedar Falls, IA",0.5642165870390787,163260,92114,88247,3867
48060,"Watertown-Fort Drum, NY",0.415073224891176,113486,47105,44219,2886
48140,"Wausau, WI",0.5766528637230727,128958,74364,71307,3057
48260,"Weirton-Steubenville, WV-OH",0.4513980418000377,127464,57537,53188,4349
48300,"Wenatchee, WA",0.5747951513509854,103369,59416,55838,3578
48540,"Wheeling, WV-OH",0.45844430466146496,149438,68509,64464,4045
48620,"Wichita, KS",0.5226055310513693,596270,311614,294782,16832
