cbsa_fips,cbsa,vacancy_msa,vacancy_city
10180,"Abilene, TX",0.10337795360105494,0.08873690210004823
10420,"Akron, OH",0.0575270812713076,0.07397626265221188
10500,"Albany, GA",0.09963140145870912,0.10735450065498098
10540,"Albany, OR",0.07008301780296794,0.07286750316564983
10580,"Albany-Schenectady-Troy, NY",0.09208225655688129,0.10110846140257905
10740,"Albuquerque, NM",0.08104891446507978,0.07673393293527826
10780,"Alexandria, LA",0.10526837160923905,0.10047460365545795
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.06984433834848293,0.0854656222802437
11020,"Altoona, PA",0.0643468153502479,0.07481204741478714
11100,"Amarillo, TX",0.06927896633444794,0.06503425035907634
11180,"Ames, IA",0.04071172053542279,0.035826624726768674
11260,"Anchorage, AK",0.09647055138335278,0.055256655507731546
11460,"Ann Arbor, MI",0.043808986106554565,0.0322970053793045
11500,"Anniston-Oxford-Jacksonville, AL",0.11720120026499357,0.18299835770704623
11540,"Appleton, WI",0.037411320369519725,0.031439284684164986
11700,"Asheville, NC",0.12000730047738278,0.08570917865761016
12020,"Athens-Clarke County, GA",0.06123597169168814,0.057502461989287344
12060,"Atlanta-Sandy Springs-Roswell, GA",0.05512085781789544,0.10045740270161829
12100,"Atlantic City-Hammonton, NJ",0.1671136821807345,0.21618279835798013
12220,"Auburn-Opelika, AL",0.091935067257446,0.08092600908047698
12260,"Augusta-Richmond County, GA-SC",0.10072448174449465,0.10156434437941875
12420,"Austin-Round Rock, TX",0.0486871073620374,0.04043100396616121
12540,"Bakersfield, CA",0.0989445682403137,0.054621467902381544
12580,"Baltimore-Columbia-Towson, MD",0.07058373392007602,0.14137854145242398
12620,"Bangor, ME",0.130910886053226,0.05991636388565161
12700,"Barnstable Town, MA",0.3553163859861439,0.21552482212806778
12940,"Baton Rouge, LA",0.09158581435767103,0.08640694952150162
12980,"Battle Creek, MI",0.07822323695285478,0.09253985122210415
13020,"Bay City, MI",0.0537018288348448,0.06464112184021158
13140,"Beaumont-Port Arthur, TX",0.09826371107371912,0.0912424459694766
13220,"Beckley, WV",0.11442733968652913,0.12369717099988546
13380,"Bellingham, WA",0.12784702204538995,0.05004410667028567
13460,"Bend-Redmond, OR",0.1646666544528516,0.06420224818945217
13740,"Billings, MT",0.06599236451980763,0.04499529178225129
13780,"Binghamton, NY",0.08848104366443793,0.12022860956989696
13820,"Birmingham-Hoover, AL",0.09235855244333514,0.11744261884978602
13900,"Bismarck, ND",0.05428085065573377,0.04261469215840112
13980,"Blacksburg-Christiansburg-Radford, VA",0.07555696275401531,0.04150888435770463
14010,"Bloomington, IL",0.0555803372290124,0.06292427280081601
14020,"Bloomington, IN",0.09092406794181124,0.06802816901408451
14100,"Bloomsburg-Berwick, PA",0.09502262443438914,0.07251648101841328
14260,"Boise City, ID",0.06004857316332726,0.04382787411689146
14460,"Boston-Cambridge-Newton, MA-NH",0.04106337973892218,0.049246829539365315
14500,"Boulder, CO",0.04353628023352794,0.027746402789372883
14540,"Bowling Green, KY",0.10876795940061036,0.0945514325974636
14740,"Bremerton-Silverdale, WA",0.06722507663745089,0.09229751668570742
14860,"Bridgeport-Stamford-Norwalk, CT",0.0448763646432927,0.07467765372376625
15180,"Brownsville-Harlingen, TX",0.1870977986527822,0.09803180303853697
15260,"Brunswick, GA",0.1786629812086222,0.12471231300345224
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.08378699057630921,0.15699232005715305
15500,"Burlington, NC",0.06993851757027207,0.06577400725711657
15540,"Burlington-South Burlington, VT",0.08148166058173553,0.03110704483074108
15680,"California-Lexington Park, MD",0.10090666353686804,0.15269978401727863
15940,"Canton-Massillon, OH",0.062326511409080215,0.08486845811503577
15980,"Cape Coral-Fort Myers, FL",0.23147857623112814,0.10700282566315467
