cbsa,access
"Gulfport-Biloxi-Pascagoula, MS",50.023348717019346
"Toledo, OH",49.80581130704391
"Wheeling, WV-OH",48.76594985248657
"Charleston, WV",48.42084072818822
"Hanford-Corcoran, CA",48.38825017027578
"Columbus, OH",48.32403929887295
"Kalamazoo-Portage, MI",48.06875672297661
"Cedar Rapids, IA",47.956167895644505
"Kennewick-Richland, WA",47.760245193922614
"Fort Collins, CO",47.64481415894629
"Savannah, GA",47.55664017020598
"Oshkosh-Neenah, WI",47.165056582538995
"Auburn-Opelika, AL",47.1643275923919
"Lynchburg, VA",47.07542085767463
"Santa Fe, NM",47.069747252753174
"Fayetteville, NC",46.990473397516446
"Hinesville, GA",46.809959421577936
"Mount Vernon-Anacortes, WA",46.7456492583358
"Houston-The Woodlands-Sugar Land, TX",46.47870256005774
"Ogden-Clearfield, UT",46.15906924288684
"Phoenix-Mesa-Scottsdale, AZ",45.902537117141094
"Fond du Lac, WI",45.772455361714364
"Louisville/Jefferson County, KY-IN",45.67208292640048
"Yuba City, CA",45.540083375135765
"Killeen-Temple, TX",45.467367475797694
"Fresno, CA",45.454451717454766
"Salisbury, MD-DE",45.15340847302211
"Green Bay, WI",45.057087048309235
"Vineland-Bridgeton, NJ",44.878026899319345
"Albuquerque, NM",44.831210470993426
"Charlotte-Concord-Gastonia, NC-SC",44.530439890604995
"Oxnard-Thousand Oaks-Ventura, CA",44.123531457535066
"Corpus Christi, TX",44.08526023400727
"Springfield, IL",43.781216525906125
"Decatur, IL",43.73026089644351
"Tallahassee, FL",43.56543364156833
"Riverside-San Bernardino-Ontario, CA",43.45927171031607
"Columbia, SC",43.091110569064114
"Pensacola-Ferry Pass-Brent, FL",43.04057174736507
"Bend-Redmond, OR",42.79800619566447
"Sheboygan, WI",42.760929314282016
"Yakima, WA",42.70267766335868
"Springfield, OH",42.70188703160767
"Akron, OH",42.680254437662306
"Dover, DE",42.669428484873634
"Abilene, TX",42.662753126816114
"Cape Girardeau, MO-IL",42.380000921353144
"Terre Haute, IN",42.278777551362886
"Clarksville, TN-KY",42.02992938157257
"Las Cruces, NM",42.02669703200235
"Albany, GA",41.92648613815725
"Pueblo, CO",41.75770680827316
"Naples-Immokalee-Marco Island, FL",41.66750117863932
"Waco, TX",41.65460701780752
"Peoria, IL",41.60909986661693
"Altoona, PA",41.206783240250154
"Roanoke, VA",41.1534156669361
"Richmond, VA",40.99819233109046
"Appleton, WI",40.88697622301162
"Glens Falls, NY",40.86687903999862
"Racine, WI",40.741966959859276
"Stockton-Lodi, CA",40.526906205001495
"Niles-Benton Harbor, MI",39.99171648133303
"Rapid City, SD",39.77697522009141
"Laredo, TX",39.741111558433516
"Redding, CA",39.28698346420792
"Grand Rapids-Wyoming, MI",39.02071177659319
"Huntington-Ashland, WV-KY-OH",38.81966394019392
"Bowling Green, KY",38.661506146339065
"Grand Junction, CO",38.4740493795709
"Winchester, VA-WV",37.840745297557746
"Shreveport-Bossier City, LA",37.71014256889329
"Orlando-Kissimmee-Sanford, FL",37.693812830331204
"Detroit-Warren-Dearborn, MI",37.67399231782944
"Prescott, AZ",37.620541460505734
"Lubbock, TX",37.359794138966286
"Brownsville-Harlingen, TX",37.076662788510646
"Fayetteville-Springdale-Rogers, AR-MO",37.06668070456482
"Des Moines-West Des Moines, IA",37.04536834824028
"Visalia-Porterville, CA",36.85808889639736
"St. George, UT",36.82676195630451
"Tampa-St. Petersburg-Clearwater, FL",36.715047846561234
"Omaha-Council Bluffs, NE-IA",36.57082663228762
"Bakersfield, CA",35.96767965749157
"St. Joseph, MO-KS",35.920338143360325
"Janesville-Beloit, WI",35.83830551221271
"Modesto, CA",35.792202419158585
"Alexandria, LA",35.78815113448957
"Davenport-Moline-Rock Island, IA-IL",35.255530567940845
"Merced, CA",34.96821629119469
"Hagerstown-Martinsburg, MD-WV",34.84460305346619
"Evansville, IN-KY",34.72709596426824
"Parkersburg-Vienna, WV",34.672938292760804
"York-Hanover, PA",34.54271966694722
"Manchester-Nashua, NH",34.50254641548593
"Greensboro-High Point, NC",34.37674029293148
"Greenville, NC",34.341345616276385
"Dallas-Fort Worth-Arlington, TX",34.20425580203036
"Bay City, MI",33.77971904004545
"Baton Rouge, LA",33.758074214604335
"Wausau, WI",33.69762201172109
"Augusta-Richmond County, GA-SC",33.684572589916186
"Indianapolis-Carmel-Anderson, IN",33.4881108810499
"Lima, OH",33.4404810614885
"Sioux City, IA-NE-SD",33.10717349960616
"Greeley, CO",33.082420274566616
"Sioux Falls, SD",32.99606314891696
"Lafayette, LA",32.769477291205206
"Hattiesburg, MS",32.741994170729384
"Jacksonville, FL",32.62382934022911
"Victoria, TX",32.13168913765081
"Memphis, TN-MS-AR",32.08846479745952
"Michigan City-La Porte, IN",31.975892454058055
"Deltona-Daytona Beach-Ormond Beach, FL",31.907557683695934
"Kansas City, MO-KS",31.62687925033162
"Chattanooga, TN-GA",31.30881265867402
"Greenville-Anderson-Mauldin, SC",31.05310040706025
"Amarillo, TX",30.92573237666842
"Winston-Salem, NC",30.870234596329176
"Monroe, LA",29.871682130407837
"Canton-Massillon, OH",29.774328203455163
"Nashville-Davidson--Murfreesboro--Franklin, TN",29.598160264529177
"Asheville, NC",29.54183921618731
"Jackson, MI",29.14124315979896
"Macon, GA",28.899092814730203
"Springfield, MO",28.82717692825805
"Raleigh, NC",28.576692688827798
"Topeka, KS",28.50234140838841
"Coeur d'Alene, ID",28.488889955516534
"Boise City, ID",28.388631084514255
"Youngstown-Warren-Boardman, OH-PA",28.145429423047624
"Mansfield, OH",28.030669085760465
"Casper, WY",27.564680901579788
"Cape Coral-Fort Myers, FL",27.497362454337637
"Cheyenne, WY",27.47613507417413
"Kokomo, IN",27.28978621066509
"Brunswick, GA",26.645239272467037
"North Port-Sarasota-Bradenton, FL",26.5464850460679
"Bismarck, ND",26.508779030228222
"Rockford, IL",26.031056498058774
"Flint, MI",25.90245617267515
"Goldsboro, NC",25.84924202330454
"Elkhart-Goshen, IN",25.825080131388653
"Panama City, FL",25.7754706216079
"Lake Havasu City-Kingman, AZ",25.745484981985108
"Carson City, NV",25.107373441153623
"Tuscaloosa, AL",24.99945081187225
"Saginaw, MI",24.84632691228336
"Columbus, IN",24.68853561238255
"Wilmington, NC",24.372901795672867
"Longview, WA",24.143232496767876
"Jackson, TN",24.11824459644332
"Sherman-Denison, TX",24.020670050703345
"Houma-Thibodaux, LA",23.92550552351772
"Oklahoma City, OK",23.77107091213353
"Madera, CA",23.690971062465636
"Owensboro, KY",23.135735966602752
"Pine Bluff, AR",23.003062853446142
"Sumter, SC",22.91914585051525
"Columbus, GA-AL",22.917292590215062
"Hot Springs, AR",22.063737845136387
"Little Rock-North Little Rock-Conway, AR",21.91930709451904
"Tulsa, OK",21.36492208533135
"Jefferson City, MO",21.232879585524238
"Beaumont-Port Arthur, TX",20.999044043029393
"Crestview-Fort Walton Beach-Destin, FL",20.902476576239266
"Wichita, KS",20.629274898550904
"Lake Charles, LA",20.136288315477223
"Fort Wayne, IN",20.032129980370193
"Birmingham-Hoover, AL",20.001711886221212
"Spartanburg, SC",19.55170891621814
"Johnson City, TN",19.52448452159032
"Rocky Mount, NC",19.491182466784807
"Joplin, MO",19.42035028183088
"Elizabethtown-Fort Knox, KY",19.006293018703893
"Lakeland-Winter Haven, FL",18.402869826329788
"Tyler, TX",18.348603492439857
"Farmington, NM",18.29570007725728
"Montgomery, AL",18.276016893043085
"Knoxville, TN",18.125344773715224
"Valdosta, GA",17.87471448480275
"Jonesboro, AR",17.714572440291754
"Odessa, TX",17.560972520603023
"Sebastian-Vero Beach, FL",17.549586473864757
"Fort Smith, AR-OK",17.462683047299635
"Florence, SC",17.216526158167603
"Mobile, AL",17.17543476290878
"Monroe, MI",16.86386299631883
"Palm Bay-Melbourne-Titusville, FL",16.81619699110091
"Muskegon, MI",16.73303381967252
"McAllen-Edinburg-Mission, TX",16.210189248065856
"Burlington, NC",16.17914715438698
"Morristown, TN",16.16693240734638
"Texarkana, TX-AR",16.13936399207794
"Jackson, MS",16.014862497373716
"Anniston-Oxford-Jacksonville, AL",15.557919935416319
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",15.35446814918717
"Gainesville, GA",15.31403852846898
"Longview, TX",15.186246523866712
"Cleveland, TN",14.774587208382314
"Huntsville, AL",14.636658287306478
"Ocala, FL",14.5268877734366
"Port St. Lucie, FL",14.5154169223072
"Dalton, GA",13.969526808644925
"Kingsport-Bristol-Bristol, TN-VA",12.507981489178793
"Punta Gorda, FL",11.609762444029682
"Dothan, AL",10.558320449605496
"Warner Robins, GA",10.285827508082951
"Florence-Muscle Shoals, AL",9.989150162748427
"Decatur, AL",9.739705491491488
"Gadsden, AL",9.130503839254454
"Midland, TX",9.113030163006908
"Hickory-Lenoir-Morganton, NC",8.744238963611082
