sankeymatic
Cluster 1 [245] Universe
Cluster 2 [75] Universe
Cluster 3 [31] Universe
Cluster-01 [96] Cluster 1
Cluster-02 [53] Cluster 2
Cluster-03 [25] Cluster 1
Cluster-04 [9] Cluster 2
Cluster-05 [84] Cluster 1
Cluster-06 [31] Cluster 3
Cluster-07 [16] Cluster 1
Cluster-08 [13] Cluster 2
Cluster-09 [15] Cluster 1
Cluster-10 [9] Cluster 1
Cluster 01 [66] Cluster-01
Cluster 02 [21] Cluster-02
Cluster 03 [25] Cluster-03
Cluster 04 [9] Cluster-04
Cluster 05 [31] Cluster-02
Cluster 06 [38] Cluster-05
Cluster 07 [6] Cluster-06
Cluster 08 [5] Cluster-06
Cluster 09 [46] Cluster-05
Cluster 10 [20] Cluster-06
Cluster 11 [16] Cluster-07
Cluster 12 [9] Cluster-08
Cluster 13 [14] Cluster-09
Cluster 14 [30] Cluster-01
Cluster 15 [4] Cluster-08
Cluster 16 [9] Cluster-10
Cluster 17 [1] Cluster-02
Cluster 18 [1] Cluster-09
