cbsa_fips,cbsa,pop_2005,pop_2015
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",5722444,7045370
19140,"Dalton, GA (Metropolitan Statistical Area)",133885,143127
19180,"Danville, IL (Metropolitan Statistical Area)",82728,79173
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",162183,202995
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",372876,383599
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",804766,800198
19460,"Decatur, AL (Metropolitan Statistical Area)",148399,152419
19500,"Decatur, IL (Metropolitan Statistical Area)",111083,107363
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",563305,621338
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",2332749,2813514
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",559060,659732
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",4431048,4309845
20020,"Dothan, AL (Metropolitan Statistical Area)",136643,148010
20100,"Dover, DE (Metropolitan Statistical Area)",144585,173129
20220,"Dubuque, IA (Metropolitan Statistical Area)",90769,96884
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",287696,289713
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",512402,607778
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",162045,166598
20740,"Eau Claire, WI (Metropolitan Statistical Area)",154809,165535
20940,"El Centro, CA (Metropolitan Statistical Area)",156113,179179
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",140177,148184
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",192242,203024
21300,"Elmira, NY (Metropolitan Statistical Area)",88860,86718
21340,"El Paso, TX (Metropolitan Statistical Area)",731511,837500
21420,"Enid, OK (Metropolitan Statistical Area)",57358,63285
21500,"Erie, PA (Metropolitan Statistical Area)",277211,278182
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",335831,362047
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",303844,315001
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",90431,99630
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",189303,232880
22140,"Farmington, NM (Metropolitan Statistical Area)",124809,128261
22180,"Fayetteville, NC (Metropolitan Statistical Area)",444221,512033
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",385269,491871
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",127025,139024
22420,"Flint, MI (Metropolitan Statistical Area)",442508,410470
22500,"Florence, SC (Metropolitan Statistical Area)",199167,206259
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",143717,146847
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",99297,101951
22660,"Fort Collins, CO (Metropolitan Statistical Area)",275116,333309
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",235912,248467
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",375420,400996
23420,"Fresno, CA (Metropolitan Statistical Area)",872470,970442
23460,"Gadsden, AL (Metropolitan Statistical Area)",103174,103003
23540,"Gainesville, FL (Metropolitan Statistical Area)",287912,316145
