cty_fips,county,year,labor_force,employed,unemployed
5049,"Fulton County, AR",2005,"5,096","4,825",271
5051,"Garland County, AR",2005,"41,936","39,562","2,374"
5053,"Grant County, AR",2005,"8,663","8,242",421
5055,"Greene County, AR",2005,"18,769","17,679","1,090"
5057,"Hempstead County, AR",2005,"10,907","10,278",629
5059,"Hot Spring County, AR",2005,"15,158","14,358",800
5061,"Howard County, AR",2005,"6,252","5,905",347
5063,"Independence County, AR",2005,"17,860","16,770","1,090"
5065,"Izard County, AR",2005,"5,254","4,917",337
5067,"Jackson County, AR",2005,"7,797","7,148",649
5069,"Jefferson County, AR",2005,"37,037","34,229","2,808"
5071,"Johnson County, AR",2005,"10,992","10,455",537
5073,"Lafayette County, AR",2005,"3,218","2,979",239
5075,"Lawrence County, AR",2005,"7,517","6,955",562
5077,"Lee County, AR",2005,"3,410","3,051",359
5079,"Lincoln County, AR",2005,"5,251","4,854",397
5081,"Little River County, AR",2005,"6,529","6,223",306
5083,"Logan County, AR",2005,"10,076","9,580",496
5085,"Lonoke County, AR",2005,"30,788","29,414","1,374"
5087,"Madison County, AR",2005,"7,835","7,544",291
5089,"Marion County, AR",2005,"6,801","6,450",351
5091,"Miller County, AR",2005,"19,724","18,778",946
5093,"Mississippi County, AR",2005,"20,201","18,456","1,745"
5095,"Monroe County, AR",2005,"3,864","3,607",257
5097,"Montgomery County, AR",2005,"4,343","4,130",213
5099,"Nevada County, AR",2005,"4,396","4,142",254
5101,"Newton County, AR",2005,"3,598","3,415",183
5103,"Ouachita County, AR",2005,"12,590","11,705",885
5105,"Perry County, AR",2005,"4,966","4,712",254
5107,"Phillips County, AR",2005,"8,837","8,033",804
5109,"Pike County, AR",2005,"5,156","4,907",249
5111,"Poinsett County, AR",2005,"11,483","10,722",761
5113,"Polk County, AR",2005,"8,701","8,264",437
5115,"Pope County, AR",2005,"29,572","28,246","1,326"
5117,"Prairie County, AR",2005,"4,310","4,053",257
5119,"Pulaski County, AR",2005,"190,594","181,400","9,194"
5121,"Randolph County, AR",2005,"7,872","7,256",616
5123,"St. Francis County, AR",2005,"10,805","9,882",923
5125,"Saline County, AR",2005,"47,337","45,291","2,046"
5127,"Scott County, AR",2005,"4,688","4,476",212
5129,"Searcy County, AR",2005,"3,422","3,251",171
5131,"Sebastian County, AR",2005,"59,664","57,117","2,547"
5133,"Sevier County, AR",2005,"7,655","7,330",325
5135,"Sharp County, AR",2005,"6,565","6,092",473
5137,"Stone County, AR",2005,"4,514","4,220",294
5139,"Union County, AR",2005,"20,130","18,747","1,383"
5141,"Van Buren County, AR",2005,"7,018","6,585",433
5143,"Washington County, AR",2005,"100,890","97,492","3,398"
5145,"White County, AR",2005,"32,508","30,453","2,055"
5147,"Woodruff County, AR",2005,"3,462","3,145",317
5149,"Yell County, AR",2005,"10,659","10,213",446
6001,"Alameda County, CA",2005,"734,258","696,792","37,466"
6003,"Alpine County, CA",2005,526,484,42
6005,"Amador County, CA",2005,"17,199","16,237",962
6007,"Butte County, CA",2005,"98,309","91,677","6,632"
6009,"Calaveras County, CA",2005,"20,528","19,247","1,281"
6011,"Colusa County, CA",2005,"9,880","8,627","1,253"
6013,"Contra Costa County, CA",2005,"509,864","485,198","24,666"
6015,"Del Norte County, CA",2005,"10,736","9,940",796
6017,"El Dorado County, CA",2005,"91,050","86,697","4,353"
6019,"Fresno County, CA",2005,"407,163","370,589","36,574"
6021,"Glenn County, CA",2005,"11,535","10,565",970
6023,"Humboldt County, CA",2005,"59,523","55,891","3,632"
6025,"Imperial County, CA",2005,"60,592","50,920","9,672"
6027,"Inyo County, CA",2005,"9,282","8,828",454
6029,"Kern County, CA",2005,"326,748","299,406","27,342"
6031,"Kings County, CA",2005,"53,840","48,757","5,083"
6033,"Lake County, CA",2005,"25,985","23,927","2,058"
6035,"Lassen County, CA",2005,"12,247","11,265",982
6037,"Los Angeles County, CA",2005,"4,781,604","4,525,223","256,381"
6039,"Madera County, CA",2005,"61,881","57,015","4,866"
6041,"Marin County, CA",2005,"129,095","124,094","5,001"
6043,"Mariposa County, CA",2005,"8,790","8,231",559
6045,"Mendocino County, CA",2005,"43,841","41,325","2,516"
6047,"Merced County, CA",2005,"98,738","88,880","9,858"
6049,"Modoc County, CA",2005,"4,001","3,683",318
6051,"Mono County, CA",2005,"8,340","7,937",403
6053,"Monterey County, CA",2005,"206,565","191,535","15,030"
6055,"Napa County, CA",2005,"71,328","68,214","3,114"
6057,"Nevada County, CA",2005,"49,237","46,884","2,353"
6059,"Orange County, CA",2005,"1,585,916","1,526,586","59,330"
6061,"Placer County, CA",2005,"164,249","157,181","7,068"
6063,"Plumas County, CA",2005,"10,131","9,278",853
6065,"Riverside County, CA",2005,"852,578","806,877","45,701"
6067,"Sacramento County, CA",2005,"664,327","631,504","32,823"
6069,"San Benito County, CA",2005,"24,499","22,526","1,973"
6071,"San Bernardino County, CA",2005,"851,470","807,163","44,307"
6073,"San Diego County, CA",2005,"1,489,799","1,425,706","64,093"
6075,"San Francisco County/city, CA",2005,"413,337","392,747","20,590"
6077,"San Joaquin County, CA",2005,"283,588","261,289","22,299"
6079,"San Luis Obispo County, CA",2005,"131,479","125,879","5,600"
6081,"San Mateo County, CA",2005,"360,298","345,017","15,281"
6083,"Santa Barbara County, CA",2005,"213,206","203,962","9,244"
6085,"Santa Clara County, CA",2005,"815,361","772,046","43,315"
6087,"Santa Cruz County, CA",2005,"142,992","134,029","8,963"
6089,"Shasta County, CA",2005,"81,748","75,826","5,922"
6091,"Sierra County, CA",2005,"1,580","1,449",131
6093,"Siskiyou County, CA",2005,"18,648","16,970","1,678"
6095,"Solano County, CA",2005,"208,486","197,341","11,145"
6097,"Sonoma County, CA",2005,"253,410","242,205","11,205"
6099,"Stanislaus County, CA",2005,"226,627","207,585","19,042"
6101,"Sutter County, CA",2005,"39,999","36,145","3,854"
6103,"Tehama County, CA",2005,"25,199","23,470","1,729"
6105,"Trinity County, CA",2005,"5,170","4,642",528
6107,"Tulare County, CA",2005,"183,305","166,019","17,286"
6109,"Tuolumne County, CA",2005,"25,983","24,312","1,671"
6111,"Ventura County, CA",2005,"415,958","396,225","19,733"
6113,"Yolo County, CA",2005,"92,358","87,237","5,121"
6115,"Yuba County, CA",2005,"25,684","23,368","2,316"
8001,"Adams County, CO",2005,"209,927","197,954","11,973"
8003,"Alamosa County, CO",2005,"8,138","7,694",444
8005,"Arapahoe County, CO",2005,"298,738","283,637","15,101"
8007,"Archuleta County, CO",2005,"5,984","5,676",308
8009,"Baca County, CO",2005,"2,268","2,181",87
8011,"Bent County, CO",2005,"2,380","2,231",149
8013,"Boulder County, CO",2005,"168,036","160,654","7,382"
8014,"Broomfield County/city, CO",2005,"24,506","23,324","1,182"
8015,"Chaffee County, CO",2005,"8,179","7,744",435
8017,"Cheyenne County, CO",2005,"1,349","1,308",41
8019,"Clear Creek County, CO",2005,"5,837","5,563",274
8021,"Conejos County, CO",2005,"3,777","3,484",293
8023,"Costilla County, CO",2005,"1,346","1,210",136
8025,"Crowley County, CO",2005,"1,604","1,478",126
8027,"Custer County, CO",2005,"2,015","1,920",95
8029,"Delta County, CO",2005,"15,256","14,492",764
8031,"Denver County/city, CO",2005,"302,009","284,892","17,117"
8033,"Dolores County, CO",2005,978,910,68
8035,"Douglas County, CO",2005,"142,904","137,000","5,904"
8037,"Eagle County, CO",2005,"28,407","27,325","1,082"
8039,"Elbert County, CO",2005,"12,895","12,309",586
8041,"El Paso County, CO",2005,"289,307","274,069","15,238"
8043,"Fremont County, CO",2005,"19,249","18,067","1,182"
8045,"Garfield County, CO",2005,"29,793","28,683","1,110"
8047,"Gilpin County, CO",2005,"3,337","3,177",160
8049,"Grand County, CO",2005,"8,387","8,047",340
8051,"Gunnison County, CO",2005,"9,008","8,655",353
8053,"Hinsdale County, CO",2005,597,580,17
8055,"Huerfano County, CO",2005,"3,257","3,005",252
8057,"Jackson County, CO",2005,"1,135","1,090",45
8059,"Jefferson County, CO",2005,"304,514","289,606","14,908"
8061,"Kiowa County, CO",2005,877,841,36
8063,"Kit Carson County, CO",2005,"4,341","4,193",148
8065,"Lake County, CO",2005,"3,925","3,732",193
8067,"La Plata County, CO",2005,"29,763","28,637","1,126"
8069,"Larimer County, CO",2005,"165,944","158,693","7,251"
8071,"Las Animas County, CO",2005,"8,121","7,713",408
8073,"Lincoln County, CO",2005,"3,025","2,902",123
8075,"Logan County, CO",2005,"10,613","10,189",424
8077,"Mesa County, CO",2005,"70,811","67,350","3,461"
8079,"Mineral County, CO",2005,459,436,23
8081,"Moffat County, CO",2005,"7,832","7,484",348
8083,"Montezuma County, CO",2005,"12,859","12,188",671
8085,"Montrose County, CO",2005,"19,741","18,813",928
8087,"Morgan County, CO",2005,"14,282","13,675",607
8089,"Otero County, CO",2005,"9,323","8,730",593
8091,"Ouray County, CO",2005,"2,934","2,833",101
8093,"Park County, CO",2005,"9,638","9,186",452
8095,"Phillips County, CO",2005,"2,277","2,198",79
8097,"Pitkin County, CO",2005,"11,083","10,641",442
8099,"Prowers County, CO",2005,"7,437","7,086",351
8101,"Pueblo County, CO",2005,"69,326","64,606","4,720"
8103,"Rio Blanco County, CO",2005,"3,979","3,840",139
8105,"Rio Grande County, CO",2005,"6,520","6,141",379
8107,"Routt County, CO",2005,"14,515","13,984",531
8109,"Saguache County, CO",2005,"3,074","2,844",230
8111,"San Juan County, CO",2005,508,471,37
8113,"San Miguel County, CO",2005,"5,210","4,989",221
8115,"Sedgwick County, CO",2005,"1,617","1,567",50
8117,"Summit County, CO",2005,"16,264","15,649",615
8119,"Teller County, CO",2005,"12,597","11,975",622
8121,"Washington County, CO",2005,"2,754","2,650",104
8123,"Weld County, CO",2005,"111,087","105,019","6,068"
8125,"Yuma County, CO",2005,"6,062","5,872",190
9001,"Fairfield County, CT",2005,"451,803","431,973","19,830"
9003,"Hartford County, CT",2005,"437,887","414,699","23,188"
9005,"Litchfield County, CT",2005,"102,186","97,509","4,677"
9007,"Middlesex County, CT",2005,"89,289","85,484","3,805"
9009,"New Haven County, CT",2005,"429,962","407,064","22,898"
9011,"New London County, CT",2005,"144,132","137,659","6,473"
9013,"Tolland County, CT",2005,"80,817","77,419","3,398"
9015,"Windham County, CT",2005,"60,903","57,577","3,326"
10001,"Kent County, DE",2005,"72,015","69,394","2,621"
10003,"New Castle County, DE",2005,"270,152","258,145","12,007"
10005,"Sussex County, DE",2005,"90,242","86,926","3,316"
11001,District of Columbia,2005,"315,616","295,484","20,132"
12001,"Alachua County, FL",2005,"123,550","119,924","3,626"
12003,"Baker County, FL",2005,"11,112","10,751",361
12005,"Bay County, FL",2005,"82,406","79,474","2,932"
12007,"Bradford County, FL",2005,"11,709","11,334",375
12009,"Brevard County, FL",2005,"260,435","250,969","9,466"
12011,"Broward County, FL",2005,"957,619","922,294","35,325"
12013,"Calhoun County, FL",2005,"5,247","5,050",197
12015,"Charlotte County, FL",2005,"66,088","63,430","2,658"
12017,"Citrus County, FL",2005,"51,324","49,126","2,198"
12019,"Clay County, FL",2005,"86,643","83,661","2,982"
12021,"Collier County, FL",2005,"145,136","140,087","5,049"
12023,"Columbia County, FL",2005,"28,740","27,757",983
12027,"DeSoto County, FL",2005,"13,556","12,937",619
12029,"Dixie County, FL",2005,"5,550","5,339",211
12031,"Duval County, FL",2005,"421,549","404,681","16,868"
12033,"Escambia County, FL",2005,"135,677","130,436","5,241"
12035,"Flagler County, FL",2005,"29,981","28,668","1,313"
12037,"Franklin County, FL",2005,"5,136","4,950",186
12039,"Gadsden County, FL",2005,"20,488","19,692",796
12041,"Gilchrist County, FL",2005,"7,489","7,251",238
12043,"Glades County, FL",2005,"4,295","4,085",210
12045,"Gulf County, FL",2005,"6,321","6,110",211
12047,"Hamilton County, FL",2005,"4,616","4,429",187
12049,"Hardee County, FL",2005,"11,378","10,834",544
12051,"Hendry County, FL",2005,"17,375","16,088","1,287"
12053,"Hernando County, FL",2005,"57,093","54,294","2,799"
12055,"Highlands County, FL",2005,"39,983","38,293","1,690"
12057,"Hillsborough County, FL",2005,"570,252","548,804","21,448"
12059,"Holmes County, FL",2005,"8,366","8,064",302
12061,"Indian River County, FL",2005,"59,484","56,638","2,846"
12063,"Jackson County, FL",2005,"21,058","20,313",745
12065,"Jefferson County, FL",2005,"6,814","6,599",215
12067,"Lafayette County, FL",2005,"2,798","2,713",85
12069,"Lake County, FL",2005,"118,339","113,846","4,493"
12071,"Lee County, FL",2005,"272,752","263,972","8,780"
12073,"Leon County, FL",2005,"137,708","133,367","4,341"
12075,"Levy County, FL",2005,"16,579","15,948",631
12077,"Liberty County, FL",2005,"3,297","3,204",93
12079,"Madison County, FL",2005,"7,438","7,091",347
12081,"Manatee County, FL",2005,"144,617","139,595","5,022"
12083,"Marion County, FL",2005,"127,862","123,011","4,851"
12085,"Martin County, FL",2005,"64,652","62,084","2,568"
12086,"Miami-Dade County, FL",2005,"1,147,797","1,111,437","36,360"
12087,"Monroe County, FL",2005,"45,496","44,259","1,237"
12089,"Nassau County, FL",2005,"32,720","31,631","1,089"
12091,"Okaloosa County, FL",2005,"96,570","93,848","2,722"
12093,"Okeechobee County, FL",2005,"17,220","16,386",834
12095,"Orange County, FL",2005,"553,951","533,969","19,982"
12097,"Osceola County, FL",2005,"116,456","111,999","4,457"
12099,"Palm Beach County, FL",2005,"604,861","578,769","26,092"
12101,"Pasco County, FL",2005,"177,737","169,875","7,862"
12103,"Pinellas County, FL",2005,"453,533","435,761","17,772"
12105,"Polk County, FL",2005,"258,158","247,679","10,479"
12107,"Putnam County, FL",2005,"31,351","29,994","1,357"
12109,"St. Johns County, FL",2005,"83,507","80,952","2,555"
12111,"St. Lucie County, FL",2005,"112,948","107,512","5,436"
12113,"Santa Rosa County, FL",2005,"67,451","65,003","2,448"
12115,"Sarasota County, FL",2005,"169,305","163,509","5,796"
12117,"Seminole County, FL",2005,"227,032","219,393","7,639"
12119,"Sumter County, FL",2005,"25,555","24,685",870
12121,"Suwannee County, FL",2005,"16,638","16,031",607
12123,"Taylor County, FL",2005,"8,813","8,456",357
12125,"Union County, FL",2005,"5,045","4,893",152
12127,"Volusia County, FL",2005,"244,688","235,627","9,061"
12129,"Wakulla County, FL",2005,"14,399","13,997",402
12131,"Walton County, FL",2005,"27,944","27,174",770
12133,"Washington County, FL",2005,"9,291","8,946",345
13001,"Appling County, GA",2005,"8,947","8,414",533
13003,"Atkinson County, GA",2005,"3,504","3,315",189
13005,"Bacon County, GA",2005,"4,726","4,474",252
13007,"Baker County, GA",2005,"1,791","1,697",94
13009,"Baldwin County, GA",2005,"20,216","19,103","1,113"
13011,"Banks County, GA",2005,"9,163","8,803",360
13013,"Barrow County, GA",2005,"30,504","29,050","1,454"
13015,"Bartow County, GA",2005,"44,608","42,034","2,574"
13017,"Ben Hill County, GA",2005,"8,090","7,635",455
13019,"Berrien County, GA",2005,"8,833","8,464",369
13021,"Bibb County, GA",2005,"72,845","68,652","4,193"
13023,"Bleckley County, GA",2005,"5,081","4,702",379
13025,"Brantley County, GA",2005,"7,559","7,148",411
13027,"Brooks County, GA",2005,"8,289","7,932",357
13029,"Bryan County, GA",2005,"15,280","14,673",607
13031,"Bulloch County, GA",2005,"30,251","28,835","1,416"
13033,"Burke County, GA",2005,"10,078","9,315",763
13035,"Butts County, GA",2005,"9,107","8,550",557
13037,"Calhoun County, GA",2005,"2,325","2,158",167
13039,"Camden County, GA",2005,"20,428","19,466",962
13043,"Candler County, GA",2005,"4,494","4,277",217
13045,"Carroll County, GA",2005,"50,679","47,869","2,810"
13047,"Catoosa County, GA",2005,"34,815","33,295","1,520"
13049,"Charlton County, GA",2005,"4,380","4,147",233
13051,"Chatham County, GA",2005,"124,569","118,847","5,722"
13053,"Chattahoochee County, GA",2005,"2,657","2,375",282
13055,"Chattooga County, GA",2005,"11,053","10,449",604
13057,"Cherokee County, GA",2005,"99,737","95,569","4,168"
13059,"Clarke County, GA",2005,"59,066","56,414","2,652"
13061,"Clay County, GA",2005,"1,384","1,309",75
13063,"Clayton County, GA",2005,"136,125","126,767","9,358"
13065,"Clinch County, GA",2005,"2,499","2,345",154
13067,"Cobb County, GA",2005,"369,291","351,402","17,889"
13069,"Coffee County, GA",2005,"17,335","16,333","1,002"
13071,"Colquitt County, GA",2005,"19,256","18,261",995
13073,"Columbia County, GA",2005,"56,828","54,198","2,630"
13075,"Cook County, GA",2005,"7,008","6,590",418
13077,"Coweta County, GA",2005,"55,824","53,100","2,724"
13079,"Crawford County, GA",2005,"6,269","5,899",370
13081,"Crisp County, GA",2005,"10,108","9,442",666
13083,"Dade County, GA",2005,"8,433","8,027",406
13085,"Dawson County, GA",2005,"10,287","9,846",441
13087,"Decatur County, GA",2005,"12,136","11,389",747
13089,"DeKalb County, GA",2005,"368,282","345,752","22,530"
13091,"Dodge County, GA",2005,"9,104","8,576",528
13093,"Dooly County, GA",2005,"4,852","4,548",304
13095,"Dougherty County, GA",2005,"41,217","38,622","2,595"
13097,"Douglas County, GA",2005,"59,500","56,134","3,366"
13099,"Early County, GA",2005,"5,618","5,304",314
13101,"Echols County, GA",2005,"2,314","2,236",78
13103,"Effingham County, GA",2005,"25,609","24,593","1,016"
13105,"Elbert County, GA",2005,"9,954","9,273",681
13107,"Emanuel County, GA",2005,"10,651","10,059",592
13109,"Evans County, GA",2005,"4,858","4,609",249
13111,"Fannin County, GA",2005,"10,068","9,550",518
13113,"Fayette County, GA",2005,"53,172","50,717","2,455"
13115,"Floyd County, GA",2005,"50,139","47,541","2,598"
13117,"Forsyth County, GA",2005,"75,083","72,207","2,876"
13119,"Franklin County, GA",2005,"10,389","9,795",594
13121,"Fulton County, GA",2005,"457,326","430,634","26,692"
13123,"Gilmer County, GA",2005,"13,412","12,776",636
13125,"Glascock County, GA",2005,"1,188","1,110",78
13127,"Glynn County, GA",2005,"38,916","37,168","1,748"
13129,"Gordon County, GA",2005,"26,657","25,363","1,294"
13131,"Grady County, GA",2005,"11,609","11,070",539
13133,"Greene County, GA",2005,"6,639","6,156",483
13135,"Gwinnett County, GA",2005,"398,300","379,383","18,917"
13137,"Habersham County, GA",2005,"19,726","18,855",871
13139,"Hall County, GA",2005,"82,801","79,099","3,702"
13141,"Hancock County, GA",2005,"3,301","3,030",271
13143,"Haralson County, GA",2005,"12,834","12,138",696
13145,"Harris County, GA",2005,"15,281","14,636",645
13147,"Hart County, GA",2005,"10,936","10,174",762
13149,"Heard County, GA",2005,"4,936","4,652",284
13151,"Henry County, GA",2005,"88,594","83,860","4,734"
13153,"Houston County, GA",2005,"62,594","59,586","3,008"
13155,"Irwin County, GA",2005,"4,623","4,356",267
13157,"Jackson County, GA",2005,"25,395","24,196","1,199"
13159,"Jasper County, GA",2005,"6,231","5,914",317
13161,"Jeff Davis County, GA",2005,"5,459","5,074",385
13163,"Jefferson County, GA",2005,"6,883","6,298",585
13165,"Jenkins County, GA",2005,"3,501","3,292",209
13167,"Johnson County, GA",2005,"3,712","3,484",228
13169,"Jones County, GA",2005,"13,664","13,001",663
13171,"Lamar County, GA",2005,"7,764","7,287",477
13173,"Lanier County, GA",2005,"3,810","3,658",152
13175,"Laurens County, GA",2005,"22,054","20,844","1,210"
13177,"Lee County, GA",2005,"16,403","15,749",654
13179,"Liberty County, GA",2005,"22,914","21,562","1,352"
13181,"Lincoln County, GA",2005,"3,615","3,357",258
13183,"Long County, GA",2005,"5,749","5,517",232
13185,"Lowndes County, GA",2005,"50,416","48,390","2,026"
13187,"Lumpkin County, GA",2005,"12,168","11,586",582
13189,"McDuffie County, GA",2005,"10,635","9,894",741
13191,"McIntosh County, GA",2005,"5,231","4,951",280
13193,"Macon County, GA",2005,"5,408","4,930",478
13195,"Madison County, GA",2005,"15,469","14,782",687
13197,"Marion County, GA",2005,"3,410","3,229",181
13199,"Meriwether County, GA",2005,"9,814","9,103",711
13201,"Miller County, GA",2005,"3,600","3,465",135
