Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,LAT,LON
95,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,804519,155303.5649N,321615.0161W
96,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,789795,103597.8410N,292445.6900W
97,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,776051,121247.0680N,284141.9570W
98,NE,ME,PWM,Portland,Portland International Jetport,P,S,734295,157124.3166N,253111.0189W
99,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,725573,122179.8160N,292030.3300W
100,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,722219,116320.2000N,324273.2000W
101,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,718457,135539.8000N,350759.0000W
102,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,715627,121786.8000N,419424.1000W
103,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,711540,147294.2000N,293197.1000W
104,NE,VT,BTV,Burlington,Burlington International,P,S,690641,160099.0380N,263351.7940W
105,SO,FL,SRQ,Sarasota/Bradenton,Sarasota/Bradenton International,P,S,656007,098623.6000N,297195.8000W
106,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,647468,144695.4864N,276345.4342W
107,WP,HI,ITO,Hilo,Hilo International,P,S,637753,070992.9468N,558174.4925W
108,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,619499,124693.9000N,312390.2000W
109,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,575507,066014.3000N,233904.0000W
110,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,574012,132395.6000N,430987.8000W
111,SO,FL,TLH,Tallahassee,Tallahassee Regional,P,S,573723,109428.3150N,303663.1280W
112,SW,AR,XNA,Cave Springs,Northwest Arkansas Regional,P,S,561045,130613.6850N,339507.9560W
113,WP,MP,GSN,Saipan,Francisco C. Ada/Saipan International,P,S,555647,054432.9180N,524627.9427E
114,GL,MI,FNT,Flint,Bishop International,P,S,553468,154675.7000N,301481.1000W
115,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,552023,121189.2000N,366554.0000W
116,SO,KY,LEX,Lexington,Blue Grass,P,S,536000,136932.3000N,304591.1000W
117,SW,LA,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,S,515991,109918.5000N,328139.6000W
118,EA,VA,PHF,Newport News,Newport News/Williamsburg International,P,S,514361,133674.8000N,275374.7000W
119,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,501351,150784.8789N,330158.8750W
120,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,467148,142047.3000N,268477.8000W
121,EA,NY,HPN,White Plains,Westchester County,P,S,462256,147841.0299N,265347.2396W
122,SW,TX,AMA,Amarillo,Rick Husband Amarillo International,P,S,446395,126789.7000N,366141.3000W
123,SW,TX,MAF,Midland,Midland International,P,S,446161,114993.1000N,367926.9000W
124,CE,MO,SGF,Springfield,Springfield-Branson National,P,S,434362,134084.4000N,336199.1000W
125,NE,ME,BGR,Bangor,Bangor International,P,S,433816,161306.8000N,247781.3000W
126,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,431079,123934.2889N,431429.3737W
127,GL,IL,MLI,Moline,Quad City International,P,S,430992,149213.8000N,325827.1000W
128,SW,TX,HRL,Harlingen,Valley International,P,S,429396,094417.6000N,351558.5000W
129,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,420597,233334.4000N,532283.2000W
130,GL,WI,GRB,Green Bay,Austin Straubel International,P,S,419308,160144.6810N,317266.9680W
131,EA,PA,ABE,Allentown,Lehigh Valley International,P,S,419122,146348.5060N,271585.4610W
132,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,S,417022,099979.9000N,351008.7000W
133,NM,MT,BIL,Billings,Billings Logan International,P,S,404427,164908.2569N,390756.7568W
134,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,S,393803,109466.2000N,320652.3000W
135,AL,AK,JNU,Juneau,Juneau International,P,S,393453,210076.9625N,484482.4939W
136,SO,FL,VPS,Valparaiso,Eglin AFB,P,S,388778,109739.5899N,311493.7596W
137,WP,AZ,GCN,Grand Canyon,Grand Canyon National Park,P,S,385920,129428.5000N,403729.1000W
138,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,N,359187,158848.5000N,443563.1000W
139,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,N,356459,156895.2480N,348270.8990W
140,SW,TX,MFE,McAllen,McAllen Miller International,P,N,352216,094233.0000N,353659.0000W
141,GL,IN,SBN,South Bend,South Bend Regional,P,N,349847,150149.6000N,310742.4000W
142,SO,NC,ILM,Wilmington,Wilmington International,P,N,339520,123376.1000N,280450.4000W
143,NM,MT,BZN,Bozeman,Gallatin Field,P,N,336516,164798.0488N,400140.9370W
144,EA,VA,ROA,Roanoke,Roanoke Regional/Woodrum Field,P,N,326202,134371.7000N,287911.5000W
145,SO,AL,MOB,Mobile,Mobile Regional,P,N,323209,110489.1000N,317674.2000W
146,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,319960,116807.8000N,337772.2000W
147,EA,WV,CRW,Charleston,Yeager,P,N,317093,138153.6455N,293734.4144W
148,SO,NC,AVL,Asheville,Asheville Regional,P,N,315624,127564.0000N,297153.8240W
149,GL,MI,LAN,Lansing,Capital City,P,N,314593,154003.1000N,304510.3000W
150,SO,FL,EYW,Key West,Key West International,P,N,314075,088402.0310N,294335.8410W
151,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,307682,147522.5000N,306702.6000W
152,GL,WI,ATW,Appleton,Outagamie County Regional,P,N,299179,159329.1000N,318668.7000W
153,SO,FL,PIE,Clearwater,St Petersburg-Clearwater International,P,N,298647,100471.3000N,297671.4000W
154,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,297565,105047.7000N,291809.0000W
155,NM,OR,MFR,Medford,Rogue Valley International - Medford,P,N,286905,152547.2000N,442344.6000W
156,GL,ND,FAR,Fargo,Hector International,P,N,285298,168914.3000N,348536.7000W
157,NM,MT,MSO,Missoula,Missoula International,P,N,271499,168898.7000N,410726.0000W
158,WP,NV,VGT,Las Vegas,North Las Vegas,P,N,263553,130358.5310N,414699.9940W
159,GL,IL,PIA,Peoria,Greater Peoria Regional,P,N,255578,146391.1000N,322895.7000W
160,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,252757,148510.7102N,252215.6811W
161,SO,TN,CHA,Chattanooga,Lovell Field,P,N,249396,126126.7000N,306732.8000W
162,NM,WY,JAC,Jackson,Jackson Hole,P,N,247116,156986.4000N,398655.9000W
163,SO,TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities Regional TN/VA,P,N,244815,131310.7480N,296666.6950W
164,GL,IN,EVV,Evansville,Evansville Regional,P,N,244352,136946.9000N,315102.6000W
165,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,244174,158563.2000N,371006.5000W
166,NM,WA,PSC,Pasco,Tri-Cities,P,N,240767,166552.9000N,428828.5000W
167,GL,MI,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,235948,152043.8000N,307985.6000W
168,GL,OH,TOL,Toledo,Toledo Express,P,N,234335,149712.5000N,301708.2000W
169,GL,IL,BMI,Bloomington/Normal,Central IL Regional Airport at Bloomington-Normal,P,N,227881,145717.6000N,320097.3000W
170,SO,FL,MLB,Melbourne,Melbourne International,P,N,226207,101169.9000N,290322.9000W
171,EA,PA,AVP,Wilkes-Barre/Scranton,Wilkes-Barre/Scranton International,P,N,221866,148818.5000N,272604.2000W
172,GL,MI,TVC,Traverse City,Cherry Capital,P,N,219188,161069.7000N,308094.7000W
173,GL,MI,MBS,Saginaw,MBS International,P,N,213669,156718.5000N,302686.7000W
174,NM,CO,EGE,Eagle,Eagle County Regional,P,N,213233,142713.9000N,384897.4000W
175,CE,NE,LNK,Lincoln,Lincoln,P,N,203586,147063.2000N,348332.8000W
176,SO,AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,203557,116282.3000N,311018.3000W
177,EA,NY,SWF,Newburgh,Stewart International,P,N,199741,149414.8000N,266777.4000W
178,EA,VA,CHO,Charlottesville,Charlottesville-Albemarle,P,N,198133,137302.7140N,282428.4390W
179,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,193961,141198.8000N,384725.6000W
180,WP,CA,MRY,Monterey,Monterey Peninsula,P,N,193728,131713.0280N,438634.0190W
181,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,192887,111842.1000N,352184.1000W
182,NM,MT,GPI,Kalispell,Glacier Park International,P,N,192507,173917.8000N,411321.6000W
183,SO,FL,PFN,Panama City,Panama City-Bay County International,P,N,188318,108763.5000N,308458.1000W
184,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,187997,151499.1000N,288626.2000W
185,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,187461,063725.4160N,233286.9945W
186,NM,OR,RDM,Redmond,Roberts Field,P,N,180637,159314.6480N,436139.8970W
187,NE,MA,HYA,Hyannis,Barnstable Municipal-Boardman/Polando Field,P,N,177761,150009.6000N,253009.3000W
188,SW,LA,LFT,Lafayette,Lafayette Regional,P,N,176448,108738.1000N,331155.9000W
189,WP,CA,SBP,San Luis Obispo,San Luis County Regional,P,N,174878,126854.2000N,434313.4000W
190,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,174567,168381.8000N,362684.7000W
191,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,171036,106884.2000N,296178.4000W
192,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,163557,161199.4452N,322800.4009W
193,NM,MT,GTF,Great Falls,Great Falls International,P,N,156859,170936.2774N,400933.0059W
194,NM,CO,GJT,Grand Junction,Walker Field,P,N,156815,140840.7000N,390696.3000W
195,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,156170,120131.8000N,295072.2000W
196,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,153524,125968.4000N,283969.0000W
197,WP,CA,BFL,Bakersfield,Meadows Field,P,N,146607,127561.9000N,428607.6000W
198,GL,MN,DLH,Duluth,Duluth International,P,N,146394,168631.4511N,331895.6540W
199,EA,PA,UNV,State College,University Park,P,N,143800,147060.0000N,280251.3000W
200,AL,AK,BET,Bethel,Bethel,P,N,143670,218802.8000N,582613.8000W
201,GL,MN,RST,Rochester,Rochester International,P,N,142267,158069.8000N,333000.1000W
202,SW,LA,AEX,Alexandria,Alexandria International,P,N,138494,112778.5380N,333174.8020W
203,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,135058,156649.4000N,403454.7000W
204,GL,IL,CMI,Champaign/Urbana,University of Illinois-Willard,P,N,132077,144139.8000N,317800.1000W
205,NM,CO,HDN,Hayden,Yampa Valley,P,N,129755,145732.3000N,385983.6000W
206,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,P,N,122443,151950.4000N,273526.6000W
207,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,122293,066581.5000N,241666.0000W
208,GL,WI,LSE,La Crosse,La Crosse Municipal,P,N,122068,157965.4000N,328523.9000W
209,SW,LA,MLU,Monroe,Monroe Regional,P,N,112086,117039.1000N,331335.6000W
210,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,110211,199274.7000N,474160.4000W
211,WP,CA,ACV,Arcata/Eureka,Arcata,P,N,108698,147520.2000N,446790.5000W
212,NM,CO,DRO,Durango,Durango-La Plata County,P,N,101742,133745.5000N,387913.6000W
213,NM,WA,BLI,Bellingham,Bellingham International,P,N,101228,175653.7000N,441135.1000W
214,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,100546,127211.7000N,339722.8000W
215,SO,NC,EWN,New Bern,Craven County Regional,P,N,93768,126262.2691N,277354.8723W
216,NM,MT,HLN,Helena,Helena Regional,P,N,93204,167784.2000N,403139.8000W
217,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,92327,125385.0000N,279403.7000W
218,SW,TX,LRD,Laredo,Laredo International,P,N,92316,099159.1000N,358061.7000W
219,NM,WY,CPR,Casper,Natrona County International,P,N,88731,154461.1000N,383269.1000W
220,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,88102,126556.6000N,412413.6000W
221,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,88065,172610.2000N,349825.6000W
222,AL,AK,ENA,Kenai,Kenai Municipal,P,N,87924,218063.8000N,544481.4000W
223,SW,TX,CLL,College Station,Easterwood Field,P,N,87484,110116.9508N,346905.1600W
224,EA,NY,ELM,Elmira/Corning,Elmira/Corning Regional,P,N,86925,151775.4821N,276810.2844W
225,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,85997,116472.8000N,343450.7000W
226,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,82282,151903.3000N,320750.0000W
227,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,82218,143439.2000N,322841.1000W
228,EA,NY,ITH,Ithaca,Ithaca Tompkins Regional,P,N,79953,152968.9000N,275251.4000W
229,NM,CO,MTJ,Montrose,Montrose Regional,P,N,78669,138635.3000N,388419.3000W
230,SW,TX,ABI,Abilene,Abilene Regional,P,N,78269,116680.8000N,358854.8000W
231,AL,AK,ADQ,Kodiak,Kodiak,P,N,78128,207899.2580N,548978.1970W
232,SW,TX,BRO,Brownsville,Brownsville/South Padre Island International,P,N,76573,093262.1000N,350733.6000W
233,GL,ND,MOT,Minot,Minot International,P,N,76467,173727.5000N,364600.9000W
234,WP,NV,EKO,Elko,Elko Regional,P,N,75618,146970.0000N,416848.8000W
235,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,73882,205368.6037N,487299.8473W
236,SW,TX,ACT,Waco,Waco Regional,P,N,71684,113803.9000N,350029.1000W
238,NM,ID,SUN,Hailey,Friedman Memorial,P,N,69892,156613.6100N,411464.0100W
240,SO,AL,DHN,Dothan,Dothan Regional,P,N,68330,112755.7000N,307618.1000W
241,SO,SC,HXD,Hilton Head Island,Hilton Head,P,N,67282,116008.1820N,290510.6430W
242,NM,ID,LWS,Lewiston,Lewiston-Nez Perce County,P,N,66444,166948.2000N,421255.4000W
243,EA,VA,LYH,Timberlake,Lynchburg Regional/Preston Glenn Field,P,N,65895,134371.4000N,285124.4000W
244,WP,AZ,YUM,Yuma,Yuma MCAS/Yuma International,P,N,65824,117563.7000N,412581.5000W
245,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,65705,112887.9000N,361786.7000W
246,WP,HI,MKK,Kaunakakai,Molokai,P,N,65240,076150.3890N,565546.5220W
247,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,65142,148549.4980N,262392.4820W
248,EA,MD,SBY,Salisbury,Salisbury-Ocean City Wicomico Regional,P,N,64564,138024.6820N,271834.1210W
249,GL,MI,SAW,Gwinn,Sawyer International,P,N,62951,166856.9700N,314626.9380W
250,WP,CA,RDD,Redding,Redding Municipal,P,N,62509,145832.3000N,440256.2000W
251,AL,AK,OME,Nome,Nome,P,N,60357,232245.2000N,595599.8000W
252,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,58140,240785.3000N,585353.3000W
253,NM,WA,YKM,Yakima,Yakima Air Terminal/McAllister Field,P,N,58094,167645.4000N,433958.6000W
254,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,56705,051593.9760S,614561.4110W
255,SO,SC,FLO,Florence,Florence Regional,P,N,54142,123067.3000N,287006.0000W
258,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,50968,124443.7720N,354299.8920W
259,SO,GA,CSG,Columbus,Columbus Metropolitan,P,N,50889,117058.8000N,305779.9000W
260,EA,WV,HTS,Huntington,Tri-State/Milton J. Ferguson Field,P,N,50289,138126.6281N,297217.2968W
261,NM,UT,SGU,St. George,St George Municipal,P,N,49667,133331.0000N,408637.1000W
262,NE,MA,MVY,Vineyard Haven,Marthas Vineyard,P,N,48977,149016.3194N,254209.9829W
263,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,48927,119261.7000N,422208.3000W
264,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,48784,128288.5000N,278582.7000W
265,SW,TX,SPS,Wichita Falls,Sheppard AFB/Wichita Falls Municipal,P,N,48490,122359.6900N,354570.8500W
266,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,46399,108453.9000N,335604.3000W
267,SW,TX,BPT,Beaumont/Port Arthur,Southeast Texas Regional,P,N,46253,107823.0000N,338474.5000W
268,WP,HI,LNY,Lanai City,Lanai,P,N,45890,074828.2000N,565025.1050W
269,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,44865,138723.6000N,384954.3000W
270,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,44405,152934.5000N,412155.9000W
271,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,43076,164271.2390N,322079.8615W
272,AL,AK,DLG,Dillingham,Dillingham,P,N,42979,212560.8000N,570619.8000W
273,NM,MT,BTM,Butte,Bert Mooney,P,N,42751,165437.3000N,404990.9000W
274,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,42200,110812.9400N,299794.3900W
275,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,41738,152649.4000N,346983.7000W
276,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,40777,152647.2000N,326554.1000W
277,WP,AZ,FLG,Flagstaff,Flagstaff Pulliam,P,N,40189,126505.1370N,402009.2690W
278,AL,AK,AKN,King Salmon,King Salmon,P,N,40160,211235.3765N,563935.2876W
279,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,40140,153205.5000N,332641.2000W
280,WP,MP,GRO,Rota Island,Rota International,P,N,39747,051027.6787N,522868.0511E
281,NM,WA,EAT,East Wenatchee,Pangborn Memorial,P,N,39022,170635.7000N,432744.6000W
282,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,38527,113527.9000N,303100.1000W
283,AL,AK,HOM,Homer,Homer,P,N,38485,214721.9819N,545348.9103W
284,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,38411,154475.3000N,405345.3000W
286,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,38191,164055.3000N,305268.2000W
287,WP,CA,SMX,Santa Maria,Santa Maria Public/Capt G Allan Hancock Field,P,N,38128,125639.8000N,433649.1000W
288,GL,MI,MKG,Muskegon,Muskegon County,P,N,37975,155403.6182N,310447.5794W
290,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,37269,112532.5249N,293278.7370W
292,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,36740,256625.5000N,564366.9000W
293,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,36083,156301.0000N,447289.3000W
294,GL,OH,LCK,Columbus,Rickenbacker International,P,N,34948,143329.6000N,298540.1000W
295,NM,CO,FNL,Fort Collins/Loveland,Fort Collins-Loveland Municipal,P,N,34669,145626.5780N,378040.8080W
296,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,34549,120433.4000N,338367.7000W
297,SO,KY,PAH,Paducah,Barkley Regional,P,N,33981,133417.0380N,319582.6530W
298,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,33629,120413.8000N,318929.0000W
299,SO,FL,APF,Naples,Naples Municipal,P,N,32898,094148.7895N,294392.2996W
300,SO,PR,PSE,Ponce,Mercedita,P,N,30996,064831.6100N,239632.2750W
301,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,30818,148470.0000N,276918.5000W
302,AL,AK,DUT,Unalaska,Unalaska,P,N,30561,194036.2000N,599562.1000W
303,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,30318,123368.4000N,319571.6000W
304,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,29699,171038.6000N,341765.0000W
305,GL,IL,BLV,Belleville,Scott AFB/Midamerica,P,N,29449,138762.6000N,323406.7000W
307,SW,NM,FMN,Farmington,Four Corners Regional,P,N,29226,132268.5000N,389627.8000W
308,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,29010,151762.1000N,438239.5000W
309,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,28924,163608.4730N,354320.7870W
310,NM,WY,COD,Cody,Yellowstone Regional,P,N,28483,160272.7000N,392485.7000W
311,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,27729,169806.3020N,318560.6190W
312,SO,MS,MEI,Meridian,Key Field,P,N,26605,116397.4000N,319506.7000W
313,WP,AZ,PGA,Page,Page Municipal,P,N,26594,132933.9000N,401214.1000W
314,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,25954,053997.2300N,524229.6630E
315,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,25945,129550.0000N,409740.9000W
316,WP,CA,VCV,Victorville,Southern California Logistics,P,N,25836,124550.9000N,422578.8000W
317,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,25694,161516.9000N,329343.3000W
319,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,24793,165933.1500N,425822.6970W
320,SO,NC,ISO,Kinston,Kinston Regional Jetport at Stallings Field,P,N,24726,127193.2000N,279391.8000W
321,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,24556,163966.4000N,338613.8000W
322,SO,PR,VQS,Isla De Vieques,Antonio Rivera Rodriguez,P,N,24112,065285.3200N,235777.0200W
323,NM,UT,ENV,Wendover,Wendover,P,N,23620,146587.4110N,410503.2250W
324,SW,TX,GGG,Longview,East Texas Regional,P,N,23437,116582.4000N,340961.4000W
325,AL,AK,ANI,Aniak,Aniak,P,N,23116,221693.7490N,574354.9540W
326,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,23016,171107.9000N,440287.0000W
327,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,22874,168270.0890N,421601.8290W
328,WP,CA,OXR,Oxnard,Oxnard,P,N,22783,123122.9050N,429146.0150W
329,CE,MO,COU,Columbia,Columbia Regional,P,N,22005,139742.4000N,331984.9000W
330,GL,MN,INL,International Falls,Falls International,P,N,21861,174836.1000N,336247.8000W
332,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,21172,174679.1000N,442887.7000W
333,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,20718,167055.2000N,338881.7000W
335,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,19657,204485.3000N,478606.4000W
336,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,19590,217770.4000N,523719.2000W
337,NM,WA,CLM,Port Angeles,William R Fairchild International,P,N,19347,173232.7000N,444598.9000W
338,NM,CO,TEX,Telluride,Telluride Regional,P,N,18134,136633.7000N,388471.5000W
339,NE,MA,EWB,New Bedford,New Bedford Regional,P,N,17960,150035.6376N,255448.2096W
341,GL,IN,GYY,Gary,Gary/Chicago International,P,N,17935,149822.1000N,314692.3000W
342,WP,CA,CIC,Chico,Chico Municipal,P,N,17811,143263.4000N,438690.3000W
343,AL,AK,MRI,Anchorage,Merrill Field,P,N,17745,220368.7622N,539441.0069W
344,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,17735,135453.0000N,435435.9000W
345,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,16954,117694.2000N,301137.2000W
346,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,16479,168080.2700N,244961.2490W
