Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,LAT,LON
416,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,8229,153184.3000N,339090.6000W
417,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville Regional Airport at Forney Field,CS,None,8216,135869.9000N,331706.6000W
418,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,8205,134290.8000N,391061.0000W
419,WP,AZ,HII,Lake Havasu City,Lake Havasu City,CS,None,8174,124456.0460N,411689.7970W
421,AL,AK,HNS,Haines,Haines,CS,None,8054,213277.7850N,487884.7350W
423,AL,AK,ILI,Iliamna,Iliamna,CS,None,7947,215120.0812N,557703.9081W
424,CE,KS,HYS,Hays,Hays Regional,CS,None,7933,139832.0000N,357383.4000W
426,CE,NE,LBF,North Platte,North Platte Regional Airport Lee Bird Field,CS,None,7749,148054.4000N,362461.2000W
427,SO,GA,AHN,Athens,Athens/Ben Epps,CS,None,7680,122215.1000N,299973.3000W
428,CE,NE,GRI,Grand Island,Central Nebraska Regional,CS,None,7617,147483.1530N,353914.7000W
429,CE,KS,FOE,Topeka,Forbes Field,CS,None,7530,140223.4170N,344389.0090W
430,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,7463,065720.5000N,241734.5000W
432,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,CS,None,7312,155080.6000N,254963.8000W
433,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7249,215118.3400N,582643.3200W
434,EA,NY,JHW,Jamestown,Chautauqua County/Jamestown,CS,None,7086,151752.2180N,285328.8830W
435,CE,MO,CGI,Scott City,Cape Girardeau Regional,CS,None,7019,134011.1000N,322454.7000W
436,NM,OR,PDT,Pendleton,Eastern Oregon Regional at Pendleton,CS,None,6977,164501.1560N,427834.8290W
438,EA,PA,AOO,Altoona,Altoona-Blair County,CS,None,6859,145066.9000N,281952.1000W
439,CE,NE,EAR,Kearney,Kearney Municipal,CS,None,6789,146617.3000N,356424.4000W
441,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,6723,146819.6000N,328051.8000W
442,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,6380,221485.9340N,598127.8420W
443,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,6157,125083.1000N,315396.8000W
444,EA,PA,LNS,Lancaster,Lancaster,CS,None,6101,144440.5000N,274659.7000W
445,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6100,215753.8000N,590501.2000W
447,CE,KS,LBL,Liberal,Liberal Municipal,CS,None,6018,133358.1000N,363455.9000W
448,WP,CA,IPL,Imperial,Imperial County,CS,None,5977,118203.2000N,416083.5000W
449,AL,AK,WLK,Selawik,Selawik,CS,None,5842,239760.5000N,575948.7000W
452,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,5599,223541.2000N,589258.3000W
453,GL,ND,ISN,Williston,Sloulin Field International,CS,None,5569,173440.5790N,373112.4480W
454,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,CS,None,5443,134766.4500N,381124.3510W
455,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,5390,240543.1000N,579680.1000W
456,EA,PA,BFD,Bradford,Bradford Regional,CS,None,5379,150490.6356N,283103.8775W
457,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,None,5307,137749.8000N,284027.2000W
459,NE,ME,AUG,Augusta,Augusta State,CS,None,5225,159554.3390N,251270.3450W
460,AL,AK,MBA,Manokotak,Manokotak,CS,None,5194,212155.4000N,572046.8000W
461,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,5166,135947.2000N,359875.5000W
462,AL,AK,MCG,McGrath,McGrath,CS,None,5141,226630.0221N,560185.3730W
463,EA,MD,HGR,Hagerstown,Hagerstown Regional-Richard A Henson Field,CS,None,5063,142950.6000N,279815.4000W
464,AL,AK,VAK,Chevak,Chevak,CS,None,5021,221547.0000N,596163.2000W
465,WP,AZ,PRC,Prescott,Ernest A. Love Field,CS,None,5020,124757.4000N,404709.2000W
466,GL,ND,DIK,Dickinson,Dickinson - Theodore Roosevelt Regional,CS,None,5010,168470.4000N,370086.7000W
467,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,4952,217948.8000N,594313.9000W
468,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,4860,123355.7000N,396020.4000W
469,AL,AK,WTK,Noatak,Noatak,CS,None,4859,243220.2000N,586729.5000W
470,NM,WA,MWH,Moses Lake,Grant County International,CS,None,4822,169950.9000N,429548.9000W
471,WP,AZ,SDL,Scottsdale,Scottsdale,CS,None,4798,121042.4000N,402877.9000W
472,AL,AK,SVA,Savoonga,Savoonga,CS,None,4637,229270.6000N,613775.4000W
473,WP,NV,61B,Boulder City,Boulder City Municipal,CS,None,4617,129410.9290N,413499.9480W
474,EA,NY,ART,Watertown,Watertown International,CS,None,4612,158370.6000N,273669.9000W
475,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,4611,173036.4000N,346266.0000W
476,AL,AK,PHO,Point Hope,Point Hope,CS,None,4580,246055.5000N,600477.4000W
479,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,4395,238498.5000N,597921.7000W
480,NM,MT,WYS,West Yellowstone,Yellowstone,CS,None,4372,160878.2000N,400023.5000W
481,AL,AK,GAM,Gambell,Gambell,CS,None,4360,229559.8000N,618238.0000W
482,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,4273,116414.8000N,375348.1000W
483,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4149,222640.3500N,596065.5000W
484,AL,AK,BVK,Buckland,Buckland,CS,None,4117,237533.6000N,580136.9000W
485,AL,AK,KLG,Kalskag,Kalskag,CS,None,4105,221529.5000N,577244.1000W
486,AL,AK,SDP,Sand Point,Sand Point,CS,None,4090,199129.3000N,577877.1000W
487,AL,AK,AWI,Wainwright,Wainwright,CS,None,4049,254296.8000N,575981.1000W
488,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,4033,137843.8110N,376192.9010W
489,AL,AK,2A9,Kotlik,Kotlik,CS,None,4030,226910.1000N,588717.5000W
491,WP,CA,VIS,Visalia,Visalia Municipal,CS,None,4008,130747.1000N,429814.3000W
494,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,None,3954,252755.4000N,543623.3000W
495,WP,HI,HNM,Hana,Hana,CS,None,3898,074864.2938N,561651.9764W
496,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,3867,252407.2000N,517153.0000W
497,SW,AR,HRO,Harrison,Boone County,CS,None,3853,130541.4740N,335357.0240W
499,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,3821,198471.7630N,473681.0430W
498,AL,AK,KVL,Kivalina,Kivalina,CS,None,3821,243850.1000N,592428.6000W
500,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3740,241113.4000N,577571.5000W
