cbsa_fips,cbsa,city_fips,city,median_value
10180,"Abilene, TX",4801000,Abilene city,60000
10420,"Akron, OH",3901000,Akron city,76800
10500,"Albany, GA",1301052,Albany city,69200
10540,"Albany, OR",4101000,Albany city,124500
10580,"Albany-Schenectady-Troy, NY",3601000,Albany city,97000
10740,"Albuquerque, NM",3502000,Albuquerque city,123700
10780,"Alexandria, LA",2200975,Alexandria city,70700
10900,"Allentown-Bethlehem-Easton, PA-NJ",4202000,Allentown city,77000
11020,"Altoona, PA",4202184,Altoona city,57600
11100,"Amarillo, TX",4803000,Amarillo city,71600
11180,"Ames, IA",1901855,Ames city,125300
11260,"Anchorage, AK",0203000,Anchorage municipality,152300
11460,"Ann Arbor, MI",2603000,Ann Arbor city,178500
11500,"Anniston-Oxford-Jacksonville, AL",0101852,Anniston city,67200
11540,"Appleton, WI",5502375,Appleton city,97600
11700,"Asheville, NC",3702140,Asheville city,105200
12020,"Athens-Clarke County, GA",1303440,Athens-Clarke County (balance),103000
12060,"Atlanta-Sandy Springs-Roswell, GA",1304000,Atlanta city,144100
12100,"Atlantic City-Hammonton, NJ",3402080,Atlantic City city,88700
12220,"Auburn-Opelika, AL",0103076,Auburn city,116100
12260,"Augusta-Richmond County, GA-SC",1304204,Augusta-Richmond County (balance),73700
12420,"Austin-Round Rock, TX",4805000,Austin city,120800
12540,"Bakersfield, CA",0603526,Bakersfield city,103500
12580,"Baltimore-Columbia-Towson, MD",2404000,Baltimore city,69900
12620,"Bangor, ME",2302795,Bangor city,83800
12700,"Barnstable Town, MA",2503600,Barnstable Town city,170600
12940,"Baton Rouge, LA",2205000,Baton Rouge city,93100
12980,"Battle Creek, MI",2605920,Battle Creek city,70800
13020,"Bay City, MI",2606020,Bay City city,65800
13140,"Beaumont-Port Arthur, TX",4807000,Beaumont city,62000
13220,"Beckley, WV",5405332,Beckley city,71300
13380,"Bellingham, WA",5305280,Bellingham city,148900
13460,"Bend-Redmond, OR",4105800,Bend city,138100
13740,"Billings, MT",3006550,Billings city,96700
13780,"Binghamton, NY",3606607,Binghamton city,66100
13820,"Birmingham-Hoover, AL",0107000,Birmingham city,62200
13900,"Bismarck, ND",3807200,Bismarck city,90300
13980,"Blacksburg-Christiansburg-Radford, VA",5107784,Blacksburg town,136200
14010,"Bloomington, IL",1706613,Bloomington city,108200
14020,"Bloomington, IN",1805860,Bloomington city,119300
14100,"Bloomsburg-Berwick, PA",4207128,Bloomsburg town,85200
14260,"Boise City, ID",1608830,Boise City city,118100
14460,"Boston-Cambridge-Newton, MA-NH",2507000,Boston city,210100
14500,"Boulder, CO",0807850,Boulder city,272200
14540,"Bowling Green, KY",2108902,Bowling Green city,97000
14740,"Bremerton-Silverdale, WA",5307695,Bremerton city,101500
14860,"Bridgeport-Stamford-Norwalk, CT",0908000,Bridgeport city,107700
15180,"Brownsville-Harlingen, TX",4810768,Brownsville city,49400
15260,"Brunswick, GA",1311560,Brunswick city,61500
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",3611000,Buffalo city,58800
15500,"Burlington, NC",3709060,Burlington city,94600
15540,"Burlington-South Burlington, VT",5010675,Burlington city,127600
15680,"California-Lexington Park, MD",2446725,Lexington Park CDP,112100
15940,"Canton-Massillon, OH",3912000,Canton city,66400
15980,"Cape Coral-Fort Myers, FL",1210275,Cape Coral city,106500
16020,"Cape Girardeau, MO-IL",2911242,Cape Girardeau city,88800
16060,"Carbondale-Marion, IL",1711163,Carbondale city,70100
16180,"Carson City, NV",3209700,Carson City,136300
16220,"Casper, WY",5613150,Casper city,83100
16300,"Cedar Rapids, IA",1912000,Cedar Rapids city,92900
16540,"Chambersburg-Waynesboro, PA",4212536,Chambersburg borough,86500
16580,"Champaign-Urbana, IL",1712385,Champaign city,89500
16620,"Charleston, WV",5414600,Charleston city,100800
16700,"Charleston-North Charleston, SC",4513330,Charleston city,137800
16740,"Charlotte-Concord-Gastonia, NC-SC",3712000,Charlotte city,131500
16820,"Charlottesville, VA",5114968,Charlottesville city,117800
16860,"Chattanooga, TN-GA",4714000,Chattanooga city,83300
16940,"Cheyenne, WY",5613900,Cheyenne city,100400
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1714000,Chicago city,144300
17020,"Chico, CA",0613014,Chico city,138600
17140,"Cincinnati, OH-KY-IN",3915000,Cincinnati city,93200
17300,"Clarksville, TN-KY",4715160,Clarksville city,83500
17420,"Cleveland, TN",4715400,Cleveland city,96400
17460,"Cleveland-Elyria, OH",3916000,Cleveland city,71100
17660,"Coeur d'Alene, ID",1616750,Coeur d'Alene city,105300
17780,"College Station-Bryan, TX",4815976,College Station city,114000
17820,"Colorado Springs, CO",0816000,Colorado Springs city,143300
17860,"Columbia, MO",2915670,Columbia city,110700
17900,"Columbia, SC",4516000,Columbia city,96800
17980,"Columbus, GA-AL",1319007,Columbus city (balance),83200
18020,"Columbus, IN",1814734,Columbus city,104000
18140,"Columbus, OH",3918000,Columbus city,99100
18580,"Corpus Christi, TX",4817000,Corpus Christi city,70500
18700,"Corvallis, OR",4115800,Corvallis city,154700
18880,"Crestview-Fort Walton Beach-Destin, FL",1224475,Fort Walton Beach city,87300
19060,"Cumberland, MD-WV",2421325,Cumberland city,60500
19100,"Dallas-Fort Worth-Arlington, TX",4819000,Dallas city,87400
19140,"Dalton, GA",1321380,Dalton city,99600
19180,"Danville, IL",1718563,Danville city,51800
19300,"Daphne-Fairhope-Foley, AL",0119648,Daphne city,122500
19340,"Davenport-Moline-Rock Island, IA-IL",1919000,Davenport city,78900
19380,"Dayton, OH",3921000,Dayton city,66700
19460,"Decatur, AL",0120104,Decatur city,88700
19500,"Decatur, IL",1718823,Decatur city,60600
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1217200,Deltona city,82000
19740,"Denver-Aurora-Lakewood, CO",0820000,Denver city,160100
19780,"Des Moines-West Des Moines, IA",1921000,Des Moines city,79900
19820,"Detroit-Warren-Dearborn, MI",2622000,Detroit city,62800
20020,"Dothan, AL",0121184,Dothan city,83600
20100,"Dover, DE",1021200,Dover city,107700
20220,"Dubuque, IA",1922395,Dubuque city,86400
20260,"Duluth, MN-WI",2717000,Duluth city,80700
20500,"Durham-Chapel Hill, NC",3719000,Durham city,125600
20700,"East Stroudsburg, PA",4221872,East Stroudsburg borough,113800
20740,"Eau Claire, WI",5522300,Eau Claire city,91700
20940,"El Centro, CA",0621782,El Centro city,97700
21060,"Elizabethtown-Fort Knox, KY",2124274,Elizabethtown city,95900
21140,"Elkhart-Goshen, IN",1820728,Elkhart city,74200
21300,"Elmira, NY",3624229,Elmira city,52500
21340,"El Paso, TX",4824000,El Paso city,69900
21500,"Erie, PA",4224000,Erie city,64700
21660,"Eugene, OR",4123850,Eugene city,145000
21780,"Evansville, IN-KY",1822000,Evansville city,69300
21820,"Fairbanks, AK",0224230,Fairbanks city,127000
22020,"Fargo, ND-MN",3825700,Fargo city,94100
22140,"Farmington, NM",3525800,Farmington city,92200
22180,"Fayetteville, NC",3722920,Fayetteville city,87200
22220,"Fayetteville-Springdale-Rogers, AR-MO",0523290,Fayetteville city,97700
22380,"Flagstaff, AZ",0423620,Flagstaff city,149000
22420,"Flint, MI",2629000,Flint city,49100
22500,"Florence, SC",4525810,Florence city,89500
22520,"Florence-Muscle Shoals, AL",0126896,Florence city,82700
22540,"Fond du Lac, WI",5526275,Fond du Lac city,89900
22660,"Fort Collins, CO",0827425,Fort Collins city,164000
22900,"Fort Smith, AR-OK",0524550,Fort Smith city,72900
23060,"Fort Wayne, IN",1825000,Fort Wayne city,73100
23420,"Fresno, CA",0627000,Fresno city,94900
23460,"Gadsden, AL",0128696,Gadsden city,49000
23540,"Gainesville, FL",1225175,Gainesville city,83700
23580,"Gainesville, GA",1331908,Gainesville city,129500
23900,"Gettysburg, PA",4228960,Gettysburg borough,112500
24020,"Glens Falls, NY",3629333,Glens Falls city,81800
24140,"Goldsboro, NC",3726880,Goldsboro city,83400
24220,"Grand Forks, ND-MN",3832060,Grand Forks city,90100
24260,"Grand Island, NE",3119595,Grand Island city,81000
24300,"Grand Junction, CO",0831660,Grand Junction city,114000
24340,"Grand Rapids-Wyoming, MI",2634000,Grand Rapids city,91100
24420,"Grants Pass, OR",4130550,Grants Pass city,109300
24500,"Great Falls, MT",3032800,Great Falls city,89700
24540,"Greeley, CO",0832155,Greeley city,129600
24580,"Green Bay, WI",5531000,Green Bay city,96300
24660,"Greensboro-High Point, NC",3728000,Greensboro city,104700
24780,"Greenville, NC",3728080,Greenville city,92100
24860,"Greenville-Anderson-Mauldin, SC",4530850,Greenville city,112500
25060,"Gulfport-Biloxi-Pascagoula, MS",2829700,Gulfport city,77900
25180,"Hagerstown-Martinsburg, MD-WV",2436075,Hagerstown city,89100
25220,"Hammond, LA",2232755,Hammond city,76100
25260,"Hanford-Corcoran, CA",0631960,Hanford city,100800
25420,"Harrisburg-Carlisle, PA",4232800,Harrisburg city,56900
25500,"Harrisonburg, VA",5135624,Harrisonburg city,119300
25540,"Hartford-West Hartford-East Hartford, CT",0937000,Hartford city,95300
25620,"Hattiesburg, MS",2831020,Hattiesburg city,65400
25860,"Hickory-Lenoir-Morganton, NC",3731060,Hickory city,116600
25940,"Hilton Head Island-Bluffton-Beaufort, SC",4534045,Hilton Head Island town,280100
25980,"Hinesville, GA",1338964,Hinesville city,76300
26140,"Homosassa Springs, FL",1232400,Homosassa Springs CDP,50300
26300,"Hot Springs, AR",0533400,Hot Springs city,69200
26380,"Houma-Thibodaux, LA",2236255,Houma city,79300
26420,"Houston-The Woodlands-Sugar Land, TX",4835000,Houston city,77500
26580,"Huntington-Ashland, WV-KY-OH",5439460,Huntington city,65600
26620,"Huntsville, AL",0137000,Huntsville city,95600
