zip,cbsa,tot_ratio
1464,15764,0.005061461
1467,49340,1
1468,49340,1
1469,14460,0.990202939
1469,15764,0.009797061
1472,14460,1
1473,49340,1
1474,15764,0.006105006
1474,14460,0.993894994
1475,49340,1
1501,49340,1
1503,49340,1
1504,49340,0.998561496
1504,14460,0.001438504
1505,49340,1
1506,49340,1
1507,49340,1
1508,49340,1
1509,49340,1
1510,49340,1
1515,49340,1
1516,49340,1
1518,49340,1
1519,49340,1
1520,49340,1
1521,44140,1
1522,49340,1
1523,49340,1
1524,49340,1
1525,49340,1
1526,49340,1
1527,49340,1
1529,49340,1
1531,49340,1
1532,49340,0.997697621
1532,14460,0.002302379
1534,49340,1
1535,49340,1
1536,49340,1
1537,49340,1
1538,49340,1
1540,49340,1
1541,49340,1
1542,49340,1
1543,49340,1
1545,49340,1
1546,49340,1
1550,49340,1
1560,49340,1
1561,49340,1
1562,49340,1
1564,49340,1
1566,49340,1
1568,49340,1
1569,49340,1
1570,49340,1
1571,49340,1
1581,49340,1
1583,49340,1
1585,49340,1
1586,49340,1
1588,49340,1
1590,49340,1
1601,49340,1
1602,49340,1
1603,49340,1
1604,49340,1
1605,49340,1
1606,49340,1
1607,49340,1
1608,49340,1
1609,49340,1
1610,49340,1
1611,49340,1
1612,49340,1
1613,49340,1
1614,49340,1
1653,49340,1
1655,49340,1
1701,14460,0.987442573
1701,15764,0.012557427
1702,14460,0.954580846
1702,15764,0.045419154
1703,14460,1
1704,14460,1
1718,14460,1
1719,15764,0.004705031
1719,14460,0.995294969
1720,15764,0.008966028
1720,14460,0.991033972
1721,15764,0.001379469
1721,14460,0.998620531
1730,15764,0.075670498
1730,14460,0.924329502
1731,15764,0.00125
1731,14460,0.99875
1740,49340,1
1741,14460,0.996521067
1741,15764,0.003478933
1742,15764,0.004483868
1742,14460,0.995516132
1745,49340,1
1746,15764,0.002185195
1746,14460,0.997814805
1747,49340,1
1748,49340,0.000116306
1748,14460,0.976389858
1748,15764,0.023493836
1749,15764,0.002687923
1749,49340,0.000648809
1749,14460,0.996663268
1752,15764,0.002796469
1752,14460,0.997203531
1754,14460,0.942383454
1754,15764,0.057616546
1756,14460,0.000981354
1756,49340,0.999018646
1757,49340,1
1760,15764,0.027814781
1760,14460,0.972185219
1770,14460,0.998820059
1770,15764,0.001179941
1772,49340,1
1773,14460,1
1775,15764,0.001565354
1775,14460,0.998434646
1776,14460,0.995588937
1776,15764,0.004411063
1778,14460,0.998488411
1778,15764,0.001511589
1784,14460,1
1801,14460,0.974490023
1801,15764,0.025509977
1803,15764,0.027548605
1803,14460,0.972451395
1805,14460,1
1810,15764,0.017405887
1810,14460,0.982594113
1812,14460,1
1821,14460,0.994241988
1821,15764,0.005758012
1822,14460,1
1824,14460,0.992131733
1824,15764,0.007868267
1826,15764,0.011463845
1826,14460,0.988536155
1827,14460,1
1830,15764,0.004696306
1830,14460,0.995303694
1831,14460,1
1832,14460,0.991321464
1832,15764,0.008678536
1833,14460,1
1834,15764,0.002921841
1834,14460,0.997078159
1835,15764,0.012391005
1835,14460,0.987608995
1840,14460,0.827322404
1840,15764,0.172677596
1841,14460,0.869179728
1841,15764,0.130820272
1842,14460,1
1843,14460,0.976538531
1843,15764,0.023461469
1844,14460,0.970531973
1844,15764,0.029468027
1845,14460,0.979508197
1845,15764,0.020491803
1850,14460,0.939503932
1850,15764,0.060496068
1851,14460,0.936356287
1851,15764,0.063643713
1852,14460,0.950123728
1852,15764,0.049876272
1853,14460,1
1854,14460,0.964548878
1854,15764,0.035451122
1860,14460,0.966013072
1860,15764,0.033986928
1862,14460,0.993015366
1862,15764,0.006984634
1863,14460,0.993855607
1863,15764,0.006144393
1864,15764,0.018408304
1864,14460,0.981591696
1865,14460,1
1866,14460,1
1867,14460,0.989798587
1867,15764,0.010201413
1876,14460,0.997083362
1876,15764,0.002916638
1879,14460,1
1880,15764,0.032871483
1880,14460,0.967128517
1885,14460,1
1886,14460,0.971770744
1886,15764,0.028229256
1887,14460,0.992422789
1887,15764,0.007577211
1888,14460,1
1889,14460,1
1890,14460,1
1899,14460,1
1901,15764,0.007472527
1901,14460,0.992527473
1902,15764,0.158865317
1902,14460,0.841134683
1903,14460,1
1904,15764,0.058554217
1904,14460,0.941445783
1905,15764,0.15192276
1905,14460,0.84807724
1906,15764,0.027636087
1906,14460,0.972363913
1907,14460,0.968325792
1907,15764,0.031674208
1908,15764,0.025931929
1908,14460,0.974068071
1910,14460,1
1913,14460,0.999071399
1913,15764,0.000928601
1915,14460,0.998002042
1915,15764,0.001997958
1921,15764,0.000305904
1921,14460,0.999694096
1922,14460,0.99034283
1922,15764,0.00965717
1923,14460,0.974524001
1923,15764,0.025475999
1929,15764,0.001180638
1929,14460,0.998819362
1930,14460,0.965421931
1930,15764,0.034578069
1931,14460,1
1936,14460,1
1937,14460,1
1938,15764,0.021056388
1938,14460,0.978943612
1940,14460,0.995997438
1940,15764,0.004002562
1944,15764,0.05026362
1944,14460,0.94973638
1945,15764,0.042140933
1945,14460,0.957859067
1949,15764,0.005242189
1949,14460,0.994757811
1950,15764,0.033084848
1950,14460,0.966915152
1951,14460,0.986062718
1951,15764,0.013937282
1952,14460,0.967027639
1952,15764,0.032972361
1960,15764,0.049089499
1960,14460,0.950910501
1961,14460,1
1965,14460,1
1966,14460,0.977486559
1966,15764,0.022513441
1969,14460,0.984834969
1969,15764,0.015165031
1970,14460,0.909958848
1970,15764,0.090041152
1971,14460,1
1982,15764,0.009324009
1982,14460,0.990675991
1983,14460,0.985683608
1983,15764,0.014316392
1984,14460,0.997419355
1984,15764,0.002580645
1985,15764,0.006132461
1985,14460,0.993867539
2018,14460,1
2019,14454,0.009527089
2019,14460,0.990472911
2020,14460,1
2021,14460,0.992976856
2021,14454,0.007023144
2025,14460,0.998151998
2025,14454,0.001848002
2026,14460,0.985337972
2026,14454,0.014662028
2027,14460,1
2030,14460,1
2032,14454,0.04039924
2032,14460,0.95960076
2035,14460,0.98255814
2035,14454,0.01744186
2038,14460,0.982043177
2038,14454,0.017956823
2041,14460,1
2043,14460,0.987073934
2043,14454,0.012926066
2044,14460,1
2045,14460,0.982739683
2045,14454,0.017260317
2047,14460,1
2048,39300,0.999175394
2048,14460,0.000824606
2050,14460,0.996610953
2050,14454,0.003389047
2051,14460,1
2052,14460,0.995802728
2052,14454,0.004197272
2053,14454,0.004801477
2053,14460,0.995198523
2054,14460,0.898004435
2054,14454,0.101995565
2056,14460,0.990781479
2056,14454,0.009218521
2059,14460,1
2060,14460,1
2061,14460,0.989530564
2061,14454,0.010469436
2062,14454,0.055468432
2062,14460,0.944531568
2065,14460,1
2066,14460,0.997822774
2066,14454,0.002177226
2067,14454,0.003225373
2067,14460,0.996774627
2070,14460,1
2071,14454,0.017045455
2071,14460,0.982954545
2072,14454,0.005049127
2072,14460,0.994950873
2081,14460,0.980755377
2081,14454,0.019244623
2090,14460,0.983802817
2090,14454,0.016197183
2093,14454,0.019136408
2093,14460,0.980863592
2108,14454,0.005248196
2108,14460,0.994751804
2109,14454,0.025849178
2109,14460,0.974150822
2110,14460,0.988926554
2110,14454,0.011073446
2111,14460,0.984669979
2111,14454,0.015330021
2112,14460,1
2113,14460,0.987152983
2113,14454,0.012847017
2114,14454,0.00342131
2114,14460,0.99657869
2115,14454,0.016505608
2115,14460,0.983494392
2116,14454,0.029117868
2116,14460,0.970882132
2117,14460,1
2118,14454,0.031581672
2118,14460,0.968418328
2119,14460,0.813347802
2119,14454,0.186652198
2120,14460,0.851204594
2120,14454,0.148795406
2121,14460,0.732960556
2121,14454,0.267039444
2122,14460,0.655381166
2122,14454,0.344618834
2123,14460,1
2124,14454,0.22132017
2124,14460,0.77867983
2125,14460,0.748528894
2125,14454,0.251471106
2126,14460,0.817249912
2126,14454,0.182750088
2127,14454,0.26796
2127,14460,0.73204
2128,14460,0.711666033
2128,14454,0.288333967
2129,14454,0.141465054
2129,14460,0.858534946
2130,14454,0.208560909
2130,14460,0.791439091
2131,14460,0.869914821
2131,14454,0.130085179
2132,14454,0.002684764
2132,14460,0.997315236
2133,14460,1
2134,14454,0.073053368
2134,14460,0.926946632
2135,14460,0.894648708
2135,14454,0.105351292
2136,14454,0.073946958
2136,14460,0.926053042
2137,14460,1
2138,15764,0.02328496
2138,14460,0.97671504
2139,15764,0.088189194
2139,14460,0.911810806
2140,15764,0.078466305
2140,14460,0.921533695
2141,14460,0.886599074
2141,15764,0.113400926
2142,14460,0.941480611
2142,15764,0.058519389
2143,14460,0.82621851
2143,15764,0.17378149
2144,14460,0.861188229
2144,15764,0.138811771
2145,15764,0.152751294
2145,14460,0.847248706
2148,14460,0.921707609
2148,15764,0.078292391
2149,15764,0.120815277
2149,14460,0.879184723
2150,14454,0.004386202
2150,14460,0.995613798
2151,14454,0.08264716
2151,14460,0.91735284
2152,14460,0.995861784
2152,14454,0.004138216
2155,15764,0.030571924
2155,14460,0.969428076
2163,14460,1
2169,14454,0.010584542
2169,14460,0.989415458
2170,14460,0.971777355
2170,14454,0.028222645
2171,14460,0.97005633
2171,14454,0.02994367
2176,14460,0.984178556
2176,15764,0.015821444
2180,14460,0.981495437
2180,15764,0.018504563
2184,14460,0.985236769
2184,14454,0.014763231
2185,14460,1
2186,14460,0.996845719
2186,14454,0.003154281
2188,14460,0.965066057
2188,14454,0.034933943
2189,14460,0.98121634
2189,14454,0.01878366
2190,14454,0.018206693
2190,14460,0.981793307
2191,14454,0.009274287
2191,14460,0.990725713
2196,14460,1
2199,14454,0.00141844
2199,14460,0.99858156
2201,14460,1
2203,14460,0.925
2203,14454,0.075
2205,14460,0.999285204
2205,14454,0.000714796
2210,14454,0.089906832
2210,14460,0.910093168
2215,14460,0.993395166
2215,14454,0.006604834
2217,14460,1
2222,14454,0.02247191
