cbsa05,mburg05,mlarc05,mmoto05
23340,171,824,55
23380,467,1740,86
23420,7590,26165,8135
23460,972,3488,323
23500,537,1957,183
23540,2525,6637,784
23580,1123,4151,676
23620,423,923,120
23660,0,0,0
23700,485,1904,176
23780,220,1168,64
23820,259,785,65
23860,470,1381,154
23900,272,964,79
23940,115,1027,46
23980,173,374,49
24020,424,1799,62
24100,308,1145,67
24140,1339,3388,257
24180,248,1066,95
24220,481,2564,235
24260,494,2479,138
24300,1004,3877,431
24340,5228,17291,1485
24380,238,272,51
24420,435,2149,318
24460,186,721,37
24500,304,3086,160
24540,2277,6585,970
24580,1291,5250,407
24620,732,1910,186
24660,9091,19963,2290
24700,135,424,24
24740,1195,2169,187
24780,2377,4519,344
24820,232,558,48
24860,5957,15872,2159
24900,619,1115,101
24940,658,2680,186
24980,305,598,86
25060,3041,7824,842
25100,99,303,18
25180,1084,4061,431
25220,1853,3552,223
25260,835,2508,633
25300,250,1229,28
25340,608,1388,170
25380,0,0,0
25420,2194,9303,587
25460,341,531,71
25500,349,1316,102
25540,5141,22989,3809
25580,231,835,24
25620,1245,2755,294
25660,73,514,41
25700,115,630,37
25720,26,82,11
25740,213,1206,133
25780,998,1734,133
25820,147,399,15
25860,4115,7889,995
25900,1837,5211,759
25940,1659,4493,458
25980,684,2058,124
26020,637,2608,111
26100,1010,3596,208
26140,545,1798,140
46520,6209,29376,6798
26220,105,353,52
26260,322,897,66
26300,1809,4794,507
26340,146,540,34
26380,1444,5496,367
26420,52893,139328,30041
26460,198,779,24
26480,437,994,119
26500,192,404,24
26540,71,422,27
26580,2056,5889,653
26620,4176,12373,1541
26660,437,1306,112
26700,55,241,14
26740,569,2326,115
26780,148,552,42
26820,549,2170,191
26860,366,1302,107
26900,14850,44076,10300
26940,514,923,60
26980,589,2173,126
27020,127,473,17
27060,442,2172,80
27100,1089,3357,355
27140,5321,12609,2495
27180,1638,3991,618
27220,98,472,36
27260,11947,38688,5907
27300,0,0,0
27340,876,1811,173
27380,399,827,99
27420,76,309,13
27460,813,2693,107
27500,1072,4369,287
27540,164,673,52
27620,856,2748,207
27660,277,779,57
27700,248,748,88
27740,1587,5131,394
27780,810,2329,191
27860,2060,3237,248
27900,1423,5957,640
27940,125,1124,47
27980,1523,5678,1162
28020,2644,8279,725
28060,118,1303,90
28100,371,868,50
28140,16621,61391,12610
28180,504,1439,139
28260,201,1045,48
28300,354,1003,88
28340,214,755,68
28380,291,753,55
28420,1525,5917,692
28500,258,906,38
28540,58,445,33
28580,637,2547,257
28620,507,1188,41
28660,3785,8714,491
28700,2201,7768,696
28740,585,2867,171
28780,571,1341,42
28820,885,2406,152
28860,105,463,21
28900,554,1296,188
28940,6049,16653,2353
28980,16,238,17
29020,1110,2968,209
29060,244,1163,78
29100,427,2457,118
29200,1154,4214,352
29180,2279,7473,752
29220,376,1006,105
29260,117,309,38
29300,622,2975,225
29340,3131,5516,597
29380,489,1396,142
29420,2410,6233,1057
29460,5079,14432,1774
29500,94,171,17
29540,2096,8166,639
29580,657,1735,123
29620,2753,10001,845
29660,110,915,43
29700,1660,10219,987
29740,1387,4221,444
29780,321,631,88
29820,18299,36675,24075
29860,676,2105,145
29900,707,836,92
29940,720,3402,186
29980,460,911,120
30020,1452,3276,247
30060,229,765,44
30100,807,2585,142
30140,486,2004,184
30220,198,396,32
30260,76,208,16
30280,147,413,28
30300,353,1700,125
30340,506,2241,135
30380,219,822,53
30420,164,676,37
30460,3108,11157,1010
30500,415,1401,142
30580,243,879,61
30620,1225,3269,240
30660,0,0,0
30700,2092,11144,458
30740,681,1288,158
30780,8629,25800,2629
30820,222,893,51
30860,340,1696,73
30900,188,747,52
30940,281,661,122
30980,2178,6621,906
31020,1464,3872,598
31060,65,178,18
31080,72263,202208,83698
31140,10390,27556,4370
31180,3248,10264,917
31260,725,1182,162
31300,3563,3702,722
31340,831,3599,326
31380,0,0,0
31420,3251,9642,1618
31460,1133,2170,813
31500,206,484,45
31540,2409,11752,860
31580,245,717,67
31620,423,539,34
31660,251,423,23
31700,1431,6281,528
31740,569,2325,95
31820,292,1263,74
31860,478,2112,130
31900,1386,4082,289
31940,396,928,53
31980,439,1887,128
32020,564,1630,62
32060,0,0,0
32100,244,1150,81
32140,72,379,16
32180,108,295,11
32220,729,1385,124
32260,221,906,82
32270,324,1355,78
32280,188,515,44
32300,323,1308,112
32340,78,338,15
32380,406,1423,91
32460,143,209,28
32500,204,419,40
32540,335,784,46
32580,6828,25900,2414
32620,472,987,91
32660,230,761,125
32700,146,339,28
32740,422,1149,127
32780,1241,5897,488
32820,21234,45492,10203
32860,176,636,52
32900,2308,5730,1413
32940,1196,1742,176
32980,148,454,23
33020,116,340,20
33060,260,685,69
33100,51812,164870,30650
33140,569,3453,305
33180,133,431,37
33220,337,1221,59
33260,893,3127,205
33300,387,1324,77
33340,7587,38565,7811
33380,182,407,34
33420,208,675,50
33460,20091,79238,11410
33500,168,995,102
33540,513,3716,244
33580,37,317,17
33620,207,564,31
33660,5110,12119,1562
33700,4836,15988,6356
33740,2043,6330,292
33780,831,2433,349
33820,81,410,18
33860,4686,11366,1285
33940,138,660,37
33980,453,1265,93
34020,574,1922,150
34060,680,1944,118
34100,830,3156,426
34140,113,479,23
34180,1225,3043,362
34220,607,1539,163
34260,109,898,44
34300,95,406,47
34340,791,1390,196
34380,316,1248,56
34420,200,549,66
34460,244,640,66
34500,0,0,0
34540,340,958,87
34580,1592,6229,587
34620,699,2820,229
34660,264,694,38
34700,270,674,52
34740,1409,6409,569
34780,868,1378,161
34820,3000,10801,1453
34860,437,1260,69
34900,652,2272,348
34940,1413,4569,422
34980,11099,42561,5290
35020,429,1636,74
35060,459,1000,101
35100,996,2755,177
35140,147,974,39
35220,564,2027,111
35260,759,1707,158
35300,4158,18975,3356
35340,445,952,82
35380,11311,33140,8756
35420,291,906,99
35460,403,752,181
35500,127,466,40
35580,71,258,16
35620,59469,264230,46938
35660,907,3975,302
35700,369,880,243
35740,222,955,45
35820,289,1402,65
35860,171,495,41
35900,482,1160,103
35940,379,883,79
35980,680,2801,262
36020,620,1399,171
36060,264,682,67
36100,2502,5407,615
36140,899,3429,154
