variable,mean,median,sd,psd,pct_diff_mean_median,pct_diff_sd_psd
population_2005,696968.0847457628,238719.5,1576257.3143516243,305172.16456634545,1.9196110277784713,4.165141180525135
chartbl_per_cap,2983.517622881356,508.76855,8264.292904726282,1231.2311712379542,4.8641942841815915,5.712218710655987
