cluster,pop_chg_gross,emp_chg_gross,gdppk_chg_gross,inc_chg_gross,pop_chg_avg,emp_chg_avg,gdppk_chg_avg,inc_chg_avg
1,0.11973078585148006,0.1116806496752366,0.012395205569347709,0.11892797086697751,0.0996822317335263,0.08891776597254339,0.024949005000827133,0.11901999763728055
2,0.00468351112915458,0.035870267251743734,0.04984550684995448,0.12259036408116164,-0.005380524802523353,-0.004536701793388097,0.05032429846720218,0.12202496278785863
3,0.18747114754294686,0.18542319381003347,0.046835466245557095,0.09274391842872783,0.190636105374746,0.18259993268874697,0.03796050974375658,0.08842676146553875
4,0.04521011974372009,0.0222628907561341,-0.02950110117777661,0.08673461290819903,0.050187411856334734,0.012057145304481078,-0.020715353158517354,0.08735324129159093
5,0.09415356184634475,0.07876262936085626,0.05133830064563983,0.1497137559585755,0.08562566408334998,0.07022492655244578,0.0536156221217033,0.15090004644718746
6,0.12909468842307703,0.11949773691895724,0.06863753854977346,0.14580539306118914,0.12449837855333365,0.11547240076825717,0.06815842056267249,0.14703581141451422
7,0.13950977394789021,0.15559121432309866,0.04856912366590231,0.16566844368642678,0.12044353444708195,0.1470711605295287,0.048435718475326885,0.16711471403161063
8,0.05807695242830993,0.12791546549772925,0.04853477039452713,0.14418298246421715,0.05205349481690483,0.09651336564694596,0.05170523351756174,0.14131179056983725
9,0.13608266466842214,0.07280880898437646,-0.09731706403720179,0.0729996779793389,0.12220723841183687,0.07358796413594124,-0.09962755862161801,0.06426393836283223
10,0.09781679873269378,0.1361231073562514,0.1868986575581717,0.18679577464788732,0.08336326991802603,0.11064438484711893,0.16071071412309995,0.18047347809247644
