cbsa_fips,cbsa,percapita_income_2015
47260,"Virginia Beach-Norfolk-Newport News, VA-NC ",46641
47300,"Visalia, CA ",37366
47380,"Waco, TX ",37183
47460,"Walla Walla, WA ",41663
47580,"Warner Robins, GA ",38984
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV ",66050
47940,"Waterloo-Cedar Falls, IA ",41933
48060,"Watertown-Fort Drum, NY ",43179
48140,"Wausau-Weston, WI ",44418
48260,"Weirton-Steubenville, WV-OH ",36578
48300,"Wenatchee, WA ",43991
48540,"Wheeling, WV-OH ",40290
48620,"Wichita, KS ",47384
48660,"Wichita Falls, TX ",40878
48700,"Williamsport, PA ",40489
48900,"Wilmington, NC ",40521
49020,"Winchester, VA-WV ",43333
49180,"Winston-Salem, NC ",41170
49340,"Worcester, MA-CT ",50445
49420,"Yakima, WA ",39322
49620,"York-Hanover, PA ",44790
49660,"Youngstown-Warren-Boardman, OH-PA ",38906
49700,"Yuba City, CA ",39833
49740,"Yuma, AZ ",31602
