stage,clusters,aggcoeff,slope,accel
334,20,15.0396801471124,0.07104991480766691,0.4682493524477087
335,19,15.2989832087493,0.017241261722356963,-0.7573359268757845
336,18,15.3317350553243,0.00214078583707898,-0.8758335746215722
337,17,15.6854883422065,0.023073271590311747,9.777944804508955
338,16,15.7730201926902,0.005580435149613358,-0.7581428742009637
339,15,16.1484974513221,0.023805032520398978,3.2658021968140454
340,14,16.8552757182989,0.04376743217796607,0.8385789702434112
341,13,16.9648723654115,0.00650221621670774,-0.8514371098978668
342,12,17.0324939709773,0.003985977855257339,-0.3869816501925624
343,11,18.046946852466,0.05955985560407589,13.94234483152457
344,10,18.7502073408987,0.038968391395057755,-0.34572723523542237
345,9,18.9393155476891,0.010085659499770463,-0.7411835813923384
346,8,21.291165514342,0.12417819222299524,11.312352229006084
347,7,23.3982198106112,0.09896378358666455,-0.20305021505749946
348,6,27.3394322257675,0.16844069536302683,0.7020438109616127
349,5,27.5305142723669,0.006989247070731264,-0.9585061848879934
350,4,32.6115135175002,0.1845588206186628,25.406109091712644
351,3,36.3528365139307,0.11472399140330622,-0.3783879252222248
352,2,43.4876786084459,0.19626644792301343,0.7107707422159759
353,1,49.5334532527842,0.13902270339084344,-0.29166342560305647
