stage,clusters,aggcoeff,slope,accel
334,20,17.7786360895891,0.040661450690699985,2.590901070992116
335,19,19.2032968790115,0.0801333005661025,0.970743768481198
336,18,20.6412131959951,0.07487861725218599,-0.06557427781951762
337,17,22.0037048602398,0.06600831314067611,-0.11846244544868278
338,16,22.0337415735402,0.001365075267605347,-0.9793196462285574
339,15,22.9810256984293,0.042992431481844604,30.494550155657805
340,14,23.249189269956,0.01166891221678707,-0.728582175639106
341,13,25.4834956989791,0.09610255235482162,7.235776443374651
342,12,26.4838516020627,0.03925505020583473,-0.5915295770615895
343,11,27.3847934804399,0.03401853672624528,-0.13339719226269423
344,10,30.7900003798053,0.12434663426611679,2.6552611085762376
345,9,31.4287882513864,0.020746601614206953,-0.833155101168185
346,8,33.742298845827,0.07361119289537184,2.548108469242694
347,7,34.6026493841159,0.02549768592294061,-0.6536167270216359
348,6,35.9965511698737,0.04028309423028338,0.5798725559655649
349,5,38.1135691539055,0.05881168932104759,0.45995957968976176
350,4,39.668874979575,0.040807141923367395,-0.3061389258756883
351,3,50.4663622497854,0.272190408116436,5.6701659387856225
352,2,60.2957350006912,0.19477078023287883,-0.28443187406677123
353,1,78.9347310500702,0.3091262764964276,0.5871286038224981
