cbsa_fips,csa_fips,cbsa,cbsa_type,csa
33860,,"Montgomery, AL",Metropolitan Statistical Area,
19300,380,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,"Mobile-Daphne-Fairhope, AL"
13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
11500,,"Anniston-Oxford-Jacksonville, AL",Metropolitan Statistical Area,
46740,194,"Valley, AL",Micropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL"
13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
21460,222,"Enterprise, AL",Micropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL"
22520,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,
45180,142,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
18980,142,"Cullman, AL",Micropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
37120,222,"Ozark, AL",Micropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL"
42820,,"Selma, AL",Micropolitan Statistical Area,
33860,,"Montgomery, AL",Metropolitan Statistical Area,
23460,,"Gadsden, AL",Metropolitan Statistical Area,
20020,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL"
46220,,"Tuscaloosa, AL",Metropolitan Statistical Area,
20020,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL"
20020,222,"Dothan, AL",Metropolitan Statistical Area,"Dothan-Enterprise-Ozark, AL"
42460,174,"Scottsboro, AL",Micropolitan Statistical Area,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
22520,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,
19460,290,"Decatur, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL"
12220,194,"Auburn-Opelika, AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL"
26620,290,"Huntsville, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL"
33860,,"Montgomery, AL",Metropolitan Statistical Area,
26620,290,"Huntsville, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL"
10700,290,"Albertville, AL",Micropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL"
33660,380,"Mobile, AL",Metropolitan Statistical Area,"Mobile-Daphne-Fairhope, AL"
33860,,"Montgomery, AL",Metropolitan Statistical Area,
19460,290,"Decatur, AL",Metropolitan Statistical Area,"Huntsville-Decatur-Albertville, AL"
46220,,"Tuscaloosa, AL",Metropolitan Statistical Area,
45980,,"Troy, AL",Micropolitan Statistical Area,
17980,194,"Columbus, GA-AL",Metropolitan Statistical Area,"Columbus-Auburn-Opelika, GA-AL"
13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
45180,142,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
46220,,"Tuscaloosa, AL",Metropolitan Statistical Area,
13820,142,"Birmingham-Hoover, AL",Metropolitan Statistical Area,"Birmingham-Hoover-Talladega, AL"
11260,,"Anchorage, AK",Metropolitan Statistical Area,
21820,,"Fairbanks, AK",Metropolitan Statistical Area,
27940,,"Juneau, AK",Micropolitan Statistical Area,
28540,,"Ketchikan, AK",Micropolitan Statistical Area,
11260,,"Anchorage, AK",Metropolitan Statistical Area,
43420,,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area,
22380,,"Flagstaff, AZ",Metropolitan Statistical Area,
37740,,"Payson, AZ",Micropolitan Statistical Area,
40940,,"Safford, AZ",Micropolitan Statistical Area,
38060,,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,
29420,332,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,"Las Vegas-Henderson, NV-AZ"
43320,,"Show Low, AZ",Micropolitan Statistical Area,
46060,536,"Tucson, AZ",Metropolitan Statistical Area,"Tucson-Nogales, AZ"
38060,,"Phoenix-Mesa-Scottsdale, AZ",Metropolitan Statistical Area,
35700,536,"Nogales, AZ",Micropolitan Statistical Area,"Tucson-Nogales, AZ"
39140,,"Prescott, AZ",Metropolitan Statistical Area,
49740,,"Yuma, AZ",Metropolitan Statistical Area,
34260,,"Mountain Home, AR",Micropolitan Statistical Area,
22220,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,
25460,,"Harrison, AR",Micropolitan Statistical Area,
15780,,"Camden, AR",Micropolitan Statistical Area,
11660,,"Arkadelphia, AR",Micropolitan Statistical Area,
38220,340,"Pine Bluff, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
31620,,"Magnolia, AR",Micropolitan Statistical Area,
27860,308,"Jonesboro, AR",Metropolitan Statistical Area,"Jonesboro-Paragould, AR"
22900,,"Fort Smith, AR-OK",Metropolitan Statistical Area,
32820,368,"Memphis, TN-MS-AR",Metropolitan Statistical Area,"Memphis-Forrest City, TN-MS-AR"
30780,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
26300,284,"Hot Springs, AR",Metropolitan Statistical Area,"Hot Springs-Malvern, AR"
30780,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
37500,308,"Paragould, AR",Micropolitan Statistical Area,"Jonesboro-Paragould, AR"
31680,284,"Malvern, AR",Micropolitan Statistical Area,"Hot Springs-Malvern, AR"
12900,,"Batesville, AR",Micropolitan Statistical Area,
38220,340,"Pine Bluff, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
38220,340,"Pine Bluff, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
45500,,"Texarkana, TX-AR",Metropolitan Statistical Area,
30780,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
22220,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,
45500,,"Texarkana, TX-AR",Metropolitan Statistical Area,
14180,,"Blytheville, AR",Micropolitan Statistical Area,
25460,,"Harrison, AR",Micropolitan Statistical Area,
15780,,"Camden, AR",Micropolitan Statistical Area,
30780,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
25760,,"Helena-West Helena, AR",Micropolitan Statistical Area,
27860,308,"Jonesboro, AR",Metropolitan Statistical Area,"Jonesboro-Paragould, AR"
40780,,"Russellville, AR",Micropolitan Statistical Area,
30780,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
22620,368,"Forrest City, AR",Micropolitan Statistical Area,"Memphis-Forrest City, TN-MS-AR"
30780,340,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,"Little Rock-North Little Rock, AR"
22900,,"Fort Smith, AR-OK",Metropolitan Statistical Area,
20980,,"El Dorado, AR",Micropolitan Statistical Area,
22220,,"Fayetteville-Springdale-Rogers, AR-MO",Metropolitan Statistical Area,
42620,340,"Searcy, AR",Micropolitan Statistical Area,"Little Rock-North Little Rock, AR"
40780,,"Russellville, AR",Micropolitan Statistical Area,
41860,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
17020,,"Chico, CA",Metropolitan Statistical Area,
41860,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
18860,,"Crescent City, CA",Micropolitan Statistical Area,
40900,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,"Sacramento-Roseville, CA"
23420,260,"Fresno, CA",Metropolitan Statistical Area,"Fresno-Madera, CA"
21700,,"Eureka-Arcata-Fortuna, CA",Micropolitan Statistical Area,
20940,,"El Centro, CA",Metropolitan Statistical Area,
12540,,"Bakersfield, CA",Metropolitan Statistical Area,
25260,546,"Hanford-Corcoran, CA",Metropolitan Statistical Area,"Visalia-Porterville-Hanford, CA"
17340,,"Clearlake, CA",Micropolitan Statistical Area,
45000,,"Susanville, CA",Micropolitan Statistical Area,
31080,348,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,"Los Angeles-Long Beach, CA"
31460,260,"Madera, CA",Metropolitan Statistical Area,"Fresno-Madera, CA"
41860,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
46380,,"Ukiah, CA",Micropolitan Statistical Area,
32900,382,"Merced, CA",Metropolitan Statistical Area,"Modesto-Merced, CA"
41500,,"Salinas, CA",Metropolitan Statistical Area,
34900,488,"Napa, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
46020,472,"Truckee-Grass Valley, CA",Micropolitan Statistical Area,"Sacramento-Roseville, CA"
31080,348,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan Statistical Area,"Los Angeles-Long Beach, CA"
40900,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,"Sacramento-Roseville, CA"
40140,348,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,"Los Angeles-Long Beach, CA"
40900,472,"Sacramento--Roseville--Arden-Arcade, CA",Metropolitan Statistical Area,"Sacramento-Roseville, CA"
41940,488,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,"San Jose-San Francisco-Oakland, CA"
40140,348,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,"Los Angeles-Long Beach, CA"
41740,,"San Diego-Carlsbad, CA",Metropolitan Statistical Area,
