cbsa_fips,name,clusterz_5,clusterz_13,clusterz_11,clusterz_8,clusterm_5,clusterm_13,clusterm_11,clusterm_8
30700,"Lincoln, NE",1,1,1,1,1,5,5,1
30780,"Little Rock-North Little Rock-Conway, AR",1,1,1,1,1,1,1,1
30860,"Logan, UT-ID",4,9,8,5,1,1,1,1
30980,"Longview, TX",1,3,3,1,1,3,3,1
31020,"Longview, WA",1,3,3,1,1,3,3,1
31080,"Los Angeles-Long Beach-Anaheim, CA",5,11,10,7,3,10,8,5
31140,"Louisville/Jefferson County, KY-IN",1,1,1,1,1,1,1,1
31180,"Lubbock, TX",1,1,1,1,1,1,1,1
31340,"Lynchburg, VA",1,3,3,1,1,3,3,1
31420,"Macon-Bibb County, GA",1,3,3,1,1,3,3,1
31460,"Madera, CA",4,9,8,5,1,5,5,1
31540,"Madison, WI",3,8,7,4,1,1,1,1
31700,"Manchester-Nashua, NH",2,6,6,3,1,4,4,2
31900,"Mansfield, OH",2,7,2,2,1,2,2,2
32580,"McAllen-Edinburg-Mission, TX",4,9,8,5,1,5,5,1
32780,"Medford, OR",1,1,1,1,1,1,1,1
32820,"Memphis, TN-MS-AR",1,1,1,1,2,6,6,3
32900,"Merced, CA",4,9,8,5,1,5,5,1
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",3,5,5,4,2,6,6,3
33140,"Michigan City-La Porte, IN",2,7,2,2,1,2,2,2
33260,"Midland, TX",4,9,8,5,1,5,5,1
33340,"Milwaukee-Waukesha-West Allis, WI",2,2,2,2,1,4,4,2
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3,5,5,4,2,6,6,3
33540,"Missoula, MT",3,8,7,4,1,1,1,1
33660,"Mobile, AL",1,3,3,1,1,3,3,1
33700,"Modesto, CA",4,9,8,5,1,5,5,1
33740,"Monroe, LA",1,3,3,1,1,5,5,1
33780,"Monroe, MI",2,6,6,3,1,2,2,2
33860,"Montgomery, AL",1,1,1,1,1,3,3,1
34060,"Morgantown, WV",3,8,7,4,1,1,1,1
34100,"Morristown, TN",1,3,3,1,1,3,3,1
34580,"Mount Vernon-Anacortes, WA",1,1,1,1,1,1,1,1
34620,"Muncie, IN",2,7,2,2,1,2,2,2
34740,"Muskegon, MI",2,12,6,3,1,4,4,2
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1,1,1,1,1,8,3,1
34900,"Napa, CA",3,8,7,4,1,1,1,1
34940,"Naples-Immokalee-Marco Island, FL",1,10,9,6,1,8,3,1
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1,1,1,1,1,1,1,1
35300,"New Haven-Milford, CT",2,4,4,3,1,4,4,2
35380,"New Orleans-Metairie, LA",2,2,2,2,1,2,2,2
35620,"New York-Newark-Jersey City, NY-NJ-PA",5,11,10,7,4,12,10,7
35660,"Niles-Benton Harbor, MI",2,7,2,2,1,2,2,2
35840,"North Port-Sarasota-Bradenton, FL",1,10,9,6,1,8,3,1
35980,"Norwich-New London, CT",2,4,4,3,1,7,4,2
36100,"Ocala, FL",1,10,9,6,1,8,3,1
36140,"Ocean City, NJ",1,10,9,6,1,8,3,1
36220,"Odessa, TX",4,9,8,5,1,1,1,1
36260,"Ogden-Clearfield, UT",4,9,8,5,1,1,1,1
36420,"Oklahoma City, OK",1,1,1,1,1,5,5,1
36500,"Olympia-Tumwater, WA",1,1,1,1,1,1,1,1
36540,"Omaha-Council Bluffs, NE-IA",1,1,1,1,1,5,5,1
36740,"Orlando-Kissimmee-Sanford, FL",3,5,5,4,1,1,1,1
36780,"Oshkosh-Neenah, WI",2,6,6,3,1,7,4,2
36980,"Owensboro, KY",1,3,3,1,1,3,3,1
37100,"Oxnard-Thousand Oaks-Ventura, CA",3,8,7,4,1,1,1,1
37340,"Palm Bay-Melbourne-Titusville, FL",1,10,9,6,1,8,3,1
37460,"Panama City, FL",1,1,1,1,1,1,1,1
37620,"Parkersburg-Vienna, WV",2,7,2,2,1,2,2,2
37860,"Pensacola-Ferry Pass-Brent, FL",1,1,1,1,1,2,2,2
37900,"Peoria, IL",2,6,6,3,1,1,1,1
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5,11,10,7,3,11,9,6
38060,"Phoenix-Mesa-Scottsdale, AZ",3,5,5,4,2,6,6,3
38220,"Pine Bluff, AR",1,3,3,1,1,3,3,1
38300,"Pittsburgh, PA",2,2,2,2,2,6,6,3
38340,"Pittsfield, MA",2,4,4,3,1,7,4,2
38540,"Pocatello, ID",1,1,1,1,1,5,5,1
