cbsa_fips,name,gmp,pop,a1,a2,b1,b2,quadrant
10180,"Abilene, TX",0.12944305901911887,0.031245904708415238,0,0,0,4,4
10420,"Akron, OH",0.04941576156895043,0.011856797513525958,0,0,0,4,4
10500,"Albany, GA",-0.048364823300483334,6.37361065043347e-4,0,0,3,0,3
10540,"Albany, OR",-0.06474869306727714,0.13197954768165016,0,0,3,0,3
10580,"Albany-Schenectady-Troy, NY",0.019271948608137045,0.05429514151657333,0,0,0,4,4
10740,"Albuquerque, NM",-0.009636255217650566,0.21575853595358865,0,0,3,0,3
10780,"Alexandria, LA",0.10315281040129685,0.06127486468783397,0,0,0,4,4
10900,"Allentown-Bethlehem-Easton, PA-NJ",-0.07001114298584604,0.1091012229958333,0,0,3,0,3
11020,"Altoona, PA",0.09771398843223061,-0.015912469801152202,0,2,0,0,2
11100,"Amarillo, TX",0.22349742415569548,0.10155351607078052,0,0,0,4,4
11180,"Ames, IA",0.05567844753908803,0.09079610187844263,0,0,0,4,4
11460,"Ann Arbor, MI",-0.04618732590529248,0.06781151767602471,0,0,3,0,3
11500,"Anniston-Oxford-Jacksonville, AL",0.019497442167240437,0.05633012320822457,0,0,0,4,4
11540,"Appleton, WI",0.0033989870568373664,0.11936389519945238,0,0,0,4,4
11700,"Asheville, NC",0.005260743232910231,0.1508433761048403,0,0,0,4,4
12020,"Athens-Clarke County, GA",-0.035251758401250416,0.15933381101764824,0,0,3,0,3
12060,"Atlanta-Sandy Springs-Roswell, GA",-0.10888137248064719,0.24001521776556853,0,0,3,0,3
12100,"Atlantic City-Hammonton, NJ",-0.038124566273421236,0.08709889448509614,0,0,3,0,3
12220,"Auburn-Opelika, AL",0.08919978973757632,0.21856427901157335,0,0,0,4,4
12260,"Augusta-Richmond County, GA-SC",-0.014437582832811663,0.11188468442932728,0,0,3,0,3
12420,"Austin-Round Rock, TX",0.1124281685362285,0.3732915760828253,0,0,0,4,4
12540,"Bakersfield, CA",0.10457901594589564,0.2690052822888407,0,0,0,4,4
12580,"Baltimore-Columbia-Towson, MD",0.15736405454246755,0.06169031341240912,0,0,0,4,4
12620,"Bangor, ME",-0.04918546365914787,0.06213125953118639,0,0,3,0,3
12700,"Barnstable Town, MA",0.04981572037674945,-0.02853800116995905,0,2,0,0,2
12940,"Baton Rouge, LA",0.21083185053380782,0.1323679220578013,0,0,0,4,4
12980,"Battle Creek, MI",0.07313555247603157,-0.013327535601695837,0,2,0,0,2
13020,"Bay City, MI",0.00328757225433526,-0.021659994371669527,0,2,0,0,2
13140,"Beaumont-Port Arthur, TX",0.16283351051417014,0.00949128775091537,0,0,0,4,4
13220,"Beckley, WV",0.19009731944681577,-0.014992231799935331,0,2,0,0,2
13380,"Bellingham, WA",0.11625915181654925,0.20577409569940172,0,0,0,4,4
13460,"Bend-Redmond, OR",-0.12530137403150676,0.3672280634843586,0,0,3,0,3
13740,"Billings, MT",0.20520967294550774,0.13642512865485149,0,0,0,4,4
13780,"Binghamton, NY",0.19195723075888504,-0.002358116677235257,0,2,0,0,2
13820,"Birmingham-Hoover, AL",0.025354543242107126,0.08099538982705484,0,0,0,4,4
13900,"Bismarck, ND",0.15227405767224048,0.14300917507025954,0,0,0,4,4
13980,"Blacksburg-Christiansburg-Radford, VA",0.029436111387040165,0.07725157332487176,0,0,0,4,4
14010,"Bloomington, IL",0.03019147236993319,0.12722607406619557,0,0,0,4,4
14020,"Bloomington, IN",0.10217812749458319,0.12082979156860954,0,0,0,4,4
14100,"Bloomsburg-Berwick, PA",0.15440753414287012,0.038537633364487116,0,0,0,4,4
14260,"Boise City, ID",-0.011333366839221993,0.32639402805266327,0,0,3,0,3
14460,"Boston-Cambridge-Newton, MA-NH",0.13280612565116426,0.036676243081844646,0,0,0,4,4
14500,"Boulder, CO",0.10738484703305728,0.011256900387245613,0,0,0,4,4
14540,"Bowling Green, KY",0.058074407835038644,0.17501629919393077,0,0,0,4,4
14740,"Bremerton-Silverdale, WA",0.03901638400184284,0.08261448728062802,0,0,0,4,4
14860,"Bridgeport-Stamford-Norwalk, CT",0.04778277144768185,0.03882084872876507,0,0,0,4,4
15180,"Brownsville-Harlingen, TX",0.03408067260534481,0.21177590110581784,0,0,0,4,4
15260,"Brunswick, GA",-0.05862187178608159,0.20770818107562014,0,0,3,0,3
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.17291723202170964,-0.029571553468004316,0,2,0,0,2
15500,"Burlington, NC",-0.10476904619076184,0.15543577981651377,0,0,3,0,3
15540,"Burlington-South Burlington, VT",0.24440968068464158,0.062205551840473834,0,0,0,4,4
15680,"California-Lexington Park, MD",0.1556216240751668,0.21969354258737284,0,0,0,4,4
15940,"Canton-Massillon, OH",-0.029713652533970958,-0.006172991197589781,1,0,0,0,1
15980,"Cape Coral-Fort Myers, FL",-0.10809538316669898,0.40342672061838836,0,0,3,0,3
16020,"Cape Girardeau, MO-IL",0.09997877951920453,0.06602666312339446,0,0,0,4,4
16060,"Carbondale-Marion, IL",0.16327550034966198,0.040146203638646794,0,0,0,4,4
16180,"Carson City, NV",0.04616790805313004,0.05370112663705511,0,0,0,4,4
16220,"Casper, WY",0.436973297282362,0.13402371755369516,0,0,0,4,4
16300,"Cedar Rapids, IA",0.32323121729038473,0.08729924545799435,0,0,0,4,4
16540,"Chambersburg-Waynesboro, PA",0.06221231825820121,0.15702210914602555,0,0,0,4,4
16580,"Champaign-Urbana, IL",0.12913149798848308,0.11108277135598926,0,0,0,4,4
