stage,clusters,aggcoeff,slope,accel
326,25,11.1582328581458,0.013956234276367262,-0.4998510268840374
327,24,11.9657218204158,0.07236710082461777,4.185288480515144
328,23,12.2509634050785,0.02383822630541379,-0.6705930452680989
329,22,12.4723583868656,0.018071638488065738,-0.24190507059824445
330,21,12.706557097005,0.018777419865197997,0.03905464231139566
331,20,13.5048667841942,0.06282659268712255,2.3458586503444563
332,19,13.7405234578947,0.017449759221342915,-0.7222552031710044
333,18,13.9915303845862,0.01826763932689065,0.04687056681833061
334,17,14.0007898316688,6.617894417612167e-4,-0.963772580029701
335,16,14.2264488431141,0.01611759151864956,23.3545612872818
336,15,15.1204797098903,0.06284286940721188,2.8990235814387533
337,14,15.4585368263008,0.02235756555986626,-0.6442306697520006
338,13,16.1461688637785,0.044482349474872465,0.989588238297379
339,12,16.8771157042873,0.045270605471528856,0.017720646637643705
340,11,17.0729139941365,0.011601407093479952,-0.7437320094873439
341,10,18.2772426236357,0.0705403090481692,5.080323574526852
342,9,21.3333724568963,0.167209567449112,1.3704116087006533
343,8,23.7403181068287,0.11282537042821479,-0.3252457251732818
344,7,24.9489145540754,0.05090902496791142,-0.5487803428015128
345,6,25.3320892843919,0.015358372785556951,-0.6983172866650358
346,5,26.5570186920287,0.04835485118835136,2.148435831289651
347,4,31.032235459097,0.16851352250663484,2.4849351898580467
348,3,33.5878867487788,0.08235472733024203,-0.5112871293340895
349,2,39.9915342965363,0.19065348158559953,1.3150277800214194
350,1,45.9197606836619,0.14823703294722168,-0.222479276463324
