cbsa_fips,name,cluster,age,land_use_mix,r1,st_cap,gmp_mfg_lq,chrasts,flights,transp,hist_prop,med_value_c,home_oldr1940_c,vacan_c,prop_crp1k,inf_mr,pct_smoke,pct_obese,pop_mmntm,decds_snc_peak,decl_snc_peak,poverty,gini,bad_bridge,sfund,h2o_viol,below_dipl,bach_plus,civ_lfpr,pct_undr18,pct_65ovr,low_inc_hsing,hsng_stock_age,density,immigrant
10180,"Abilene, TX",1,5,0.492150782580544,0,0,0.607837155996077,33.3053815943106,0.43946148674946,2,11.1940298507463,97300,0.085634328358209,0.122139303482587,34.9284728777867,83.7218934911243,0.166119207364643,0.285322866281791,0.0312459047084152,0,0,0.176243276307358,0.4627,0.0189189189189189,0,0.289,0.152840623428859,0.216255442670537,0.567472427859193,0.215860607676667,0.15926417144,0.0303142223989999,46,60234.6663167448,0.0482777099645717
10420,"Akron, OH",2,10,0.479750356584187,0,0,1.48789133490753,75.45708938534,1.29318431280112,12,11.6836797441889,81200,0.349034559094822,0.142335916041487,31.3102929754067,13.0202291183295,0.208415107756952,0.281427673850463,0.011856797513526,5,-0.319330741068569,0.149505750500644,0.4633,0.104622871046229,0.00222190128092609,0.018,0.0898624900184227,0.294148961811166,0.649590461288321,0.20608478319,0.149058862165,0.0362752048643712,64,781220.490373613,0.0439932702801019
10500,"Albany, GA",3,5,0.498482810810639,0,0,1.20627701862399,108.844000364759,0.218165001367847,5,5.63430401518297,98200,0.0381946503766087,0.137773560287053,45.6606444783144,140.235294117647,0.188161882558648,0.353318322462308,-0.00332630058352816,2,-0.0553109239394793,0.261447062728178,0.4976,0.0454545454545455,0.0015523531085871,0,0.195615362263659,0.176277266214442,0.577200422428303,0.240947761898,0.147111807816,0.0249155914626794,43,81399.1876018732,0.0240576717099482
10580,"Albany-Schenectady-Troy, NY",4,16,0.522185928370444,1,1,0.629352729252486,948.074346529376,1.38622070013495,54,35.1761988514759,171400,0.544976796423047,0.146383844377106,26.3541728876006,23.8713161549144,0.176728328772929,0.258326368872986,0.0542951415165733,6,-0.273224934256824,0.113470570659587,0.4344,0.196779964221825,0.00177837847450694,0.107,0.0780539108886886,0.347250531300319,0.65302168649229,0.204245456912,0.15710229345,0.143600371578299,78,309692.518361758,0.0700874640882342
10740,"Albuquerque, NM",5,6,0.444584497039153,1,0,0.713493770405471,90.4448490633208,2.89934652336986,18,4.84821361975088,185300,0.0296569785269718,0.0796764542568973,39.179236977173296,18.491680085883,0.17890576638724,0.212412946982438,0.215758535953589,0,0,0.191717219376292,0.467,0.090458488228005,3.23188796121734e-4,0.043,0.123158159749828,0.303721444850798,0.614240000224265,0.2406112760725,0.1493974063225,0.0197353826651878,37,95564.4492324266,0.0961637519925648
10780,"Alexandria, LA",3,3,0.497045516729252,0,0,0.823521297831471,20.928736956578,1.22650889412496,2,30.9907504529417,130100,0.048393248784209,0.171307332888338,45.180501679163,67.8977459420385,0.242306759874651,0.357401615069389,0.061274864687834,3,-0.0738847583643123,0.204509327065473,0.4641,0.208776595744681,0,0.252,0.172336155841613,0.168861044491214,0.540374880058234,0.2362639158,0.14066219024,0.0423906758771796,46,78491.9861906486,0.029284480583749
10900,"Allentown-Bethlehem-Easton, PA-NJ",6,10,0.540578485056133,0,0,1.15273964773668,89.8086052717261,0.420587100983147,27,6.95259201320992,126900,0.391018120192934,0.103897796897406,23.1800302258027,21.1998181618673,0.195553937256708,0.292259965415623,0.109101222995833,0,0,0.10940088777606399,0.4377,0.328828828828829,0.00619314350201621,0.079,0.112989870453125,0.27113998099069,0.646514907302704,0.2142517460575,0.1680143933525,0.0307056306253925,65,565071.358775684,0.084659853760782
11020,"Altoona, PA",7,10,0.533057330650174,0,0,1.24510170721,154.058227767471,0.0259250117442851,10,6.26023307329288,85400,0.478811518828855,0.097804102860445,18.0346056700423,39.209726443769,0.232,0.331,-0.0159124698011522,7,-0.44412446705064,0.150227593021561,0.4383,0.346268656716418,0.00190186382655002,0.023,0.0945082151699302,0.195554805311726,0.593285753073969,0.2056304131,0.18935351584,0.0364469158245558,75,241705.971852415,0.0114829811464001
11100,"Amarillo, TX",1,7,0.439040420332078,0,0,1.12299870144929,28.6793853222212,1.48549928259609,6,2.42280342584404,118000,0.0727689008952259,0.0942470532653333,47.8187617305838,67.7383344496539,0.177140045148632,0.290882908922129,0.103120226732944,0,0,0.157681989341097,0.458,0.0773993808049536,2.74029660970503e-4,0.166,0.156079098909855,0.22964881146403,0.650144553797182,0.2485229734,0.15704436491,0.0339730779382376,46,69037.1145772818,0.0880424047898278
11180,"Ames, IA",8,1,0.551614566270577,1,0,1.32558289798983,75.155320190375,0.00288478561981233,1,9.57663301544232,174300,0.100714257212402,0.0421770879055106,25.1055370664046,33.8528769118718,0.107,0.254,0.119540890961603,0,0,0.226710801063022,0.464,0.418367346938776,0,0.004,0.0411858874404873,0.482920642840807,0.676052774720757,0.17428521957,0.10598878861,0,36,156317.865996299,0.0887098497638536
11260,"Anchorage, AK",5,3,0.382845503097256,0,0,0.0693736166800591,1570.73079116536,5.67846869606543,28,2.19138697264273,290500,0.00382177888028891,0.0780835006092056,31.9063468380581,17.610745376064,0.18156675289007,0.275019072254306,0.191536427778039,0,0,0.0863780151280604,0.4187,0.146551724137931,7.60092700905802e-5,0.223,0.0719137259294223,0.30171924126179,0.685702732290739,0.264030760485,0.0881153189075,0.0373566546970926,37,14472.9631225824,0.0847515084053278
