ID,NAME,IMMIGRANT,GINI,PCT_UNDR18,PCT_65OVR,PCT_BLK,PCT_AZN,PCT_HISP,PCT_WHT,PCT_NOT_ENGL,PCT_RURL,HOUSING_UNTS,AREA_TOTAL,AREA_LAND,POP_10,POP_EST_15,AGE,LAND_USE_MIX,DORMS,R1,R_UNIV,ST_CAP,TXMPT_HOSP,HOSP_ASSTS,HIST_BLDGS,HIST_DISTRICT,TOT_HOUSING_UNTS,PCT_BUILT_PRE1940,MED_YR_BUILT,MED_VALUE,EMP2007,EMP2007_MFG,EMP_MFG_LQ,GMP2007,GMP_LQ_33,GMP2007_MFG,GMP_MFG_LQ,TXMPT_CHRTY,CHRTY_ASSTS,TXMPT_ARTSORG,ARTSORG_ASSTS,X_ENPLANE,INTRMDL_FREIGHT,INTERMODAL_BUS,INTERCITY_RAIL,LOCAL_RAIL,BIKESHARE,VIO_CRP1K,PROP_CRP1K,X_MSA_POP,AY,AZ,POP_MMNTM,DECDS_SNC_PEAK,DECL_SNC_PEAK,PEAK_POP_YR,PEAK_POP,SUPERFUND,POLLUTE,H2O_VIOL,FOOD_DES,HH_WDISAB,PCT_WDISAB,INF_MR,PCT_SMOKE,PCT_OBESE,DRUG_DEATH,BELOW_DIPL,BACH_PLUS,UNDR18_POP,FREE_LUNCH_RATIO,PUB_SCHLS,TOT_BRDG,POOR_BRDG,DEFIC_BRDG,MED_HHINC,PCT_WLFR,PCI,PCT_FOODSTMPS,CIV_LFPR,UNEMP_RT,POVERTY,VACANCY,PCT_RENT,MED_GR_RENT,LOW_RENT_UNTS,SEC8_UNTS,PCT_NO_DIPLOMA_C,PCT_BCHLRS_PLUS_C,HOME_NEWR2000_C,HOME_OLDR1940_C,MED_VALUE_C,HSNG_UNITS_C,OCCUPIED_C,VACANT_C,OWNR_OCC_C,RNTR_OCC_C,MED_GR_RENT_C,HIST_BLDG_C,HIST_DIST_C,MED_AGE_C,BAD_BRIDGE,HIST_PROP,DENSITY,TRANSP,CHRASTS,SFUND,FLIGHTS,VACAN_C,LOW_INC_HSING,HSNG_STOCK_AGE
10180,"Abilene, TX",0.04827771,0.4627,0.215860608,0.159264171,0.067075828,0.010391775,0.194196534,0.711242016,0.019579783,0.57787679,69721,2757.7,2743.47,165252,169578,5,0.492150783,0,0,0,0,0,0,77,5,70396,0.096852094,1973,94000,74.983,3.283,0.451987759,5774092.489,0.433749301,452237.1277,0.607837156,19,5647860,0,0,74523,1,1,0,0,0,4.084670685,34.92847288,160245,165252,170364,0.031245905,0,0,2016,122225,0,9.6,0.289,0.167,0.307,0.163,83.72189349,0.166119207,0.285322866,19,0.152840623,0.216255443,39321,0.330942753,86,740,5,9,44799,0.019539161,22717,0.120721139,0.567472428,0.057493144,0.176243276,0.144297971,0.365965005,769,493,1641,0.16454554,0.223856275,0.114324212,0.085634328,97300,48240,42348,5892,23563,18785,778,54,5,1971,0.018918919,11.19402985,60234.66632,2,33.30538159,0,0.439461487,0.122139303,0.030314222,46
10420,"Akron, OH",0.04399327,0.4633,0.206084783,0.149058862,0.094462616,0.021219287,0.016974896,0.846983893,0.007010814,0.183450101,312581,924.12,900.13,703200,704243,10,0.479750357,9222,0,2,0,2,330642,154,38,313134,0.187922742,1966,137900,344.069,46.541,1.396396553,32505043.97,1.741556715,6231853.084,1.487891335,87,53140127,9,988545,910716,11,1,0,0,0,3.079101458,31.31029298,694960,703200,702221,0.011856798,5,-0.319330741,1960,290351,2,13.8,0.018,0.153,0.24,0.123,13.02022912,0.208415108,0.281427674,241,0.08986249,0.294148962,150223,0.250713939,216,822,43,43,51160,0.045350887,28309,0.141709551,0.649590461,0.08503698,0.149505751,0.099564404,0.331983246,755,4596,6763,0.136966781,0.203871966,0.04389579,0.349034559,81200,97572,83684,13888,43763,39921,680,114,31,1953,0.104622871,11.68367974,781220.4904,12,75.45708939,0.002221901,1.293184313,0.142335916,0.036275205,64
10500,"Albany, GA",0.024057672,0.4976,0.240947762,0.147111808,0.442181531,0.010629946,0.027489041,0.506874478,0.004792685,0.542815899,66060,1957.96,1932.55,157308,153526,5,0.498482811,0,0,0,0,0,0,34,9,66344,0.049288557,1979,106100,68.081,6.743,1.022458845,5489026.337,0.309096737,853173.981,1.206277019,18,16710384,2,18578,33494,4,1,0,0,0,5.739466485,45.66064448,157833,157308,152219,-0.003326301,2,-0.055310924,1990,78122,3,12.3,0,0.211,0.293,0.148,140.2352941,0.188161883,0.353318322,0,0.195615362,0.176277266,39023,0.571304103,42,330,7,8,37404,0.017483663,20516,0.247064503,0.577200422,0.14365557,0.261447063,0.125813939,0.44602307,700,1591,62,0.200885051,0.176513761,0.112419192,0.03819465,98200,33722,29076,4646,11135,17941,684,19,2,1974,0.045454545,5.634304015,81399.1876,5,108.8440004,0.001552353,0.218165001,0.13777356,0.024915591,43
10580,"Albany-Schenectady-Troy, NY",0.070087464,0.4344,0.204245457,0.157102293,0.062259651,0.030272736,0.044201563,0.841876493,0.009942653,0.322342846,393297,2878.22,2811.55,870716,881830,16,0.522185928,11450,1,2,1,6,112624925,370,95,396148,0.303007967,1963,197400,451.086,23.077,0.528127284,44895584.54,0.339507312,3640767.823,0.629352729,164,836040401,13,12253092,1222411,12,39,3,0,0,3.034284428,26.35417289,825875,870716,881839,0.054295142,6,-0.273224934,1950,134995,5,11.1,0.107,0.11,0.226,0.119,23.87131615,0.176728329,0.258326369,103,0.078053911,0.347250531,179502,0.205563169,224,1118,109,111,62283,0.024896817,32272,0.107422801,0.653021686,0.068139755,0.113470571,0.126619344,0.34991387,909,5389,51498,0.104311683,0.364014222,0.029327626,0.544976796,171400,47191,40283,6908,15094,25189,857,166,31,1939,0.196779964,35.17619885,309692.5184,54,948.0743465,0.001778378,1.3862207,0.146383844,0.143600372,78
10740,"Albuquerque, NM",0.096163752,0.467,0.240611276,0.149397406,0.017302901,0.014243478,0.463264702,0.438056021,0.041506055,0.341926016,374404,9297.15,9282.5,887077,907301,6,0.444584497,2280,1,1,0,2,1249108,137,30,378660,0.032530502,1983,177100,407.079,23.673,0.600334362,42537697.02,1.096878628,3910744.049,0.71349377,82,82060702,28,2972415,2630580,8,2,1,7,15,6.633020583,39.17923698,729649,887077,909906,0.215758536,0,0,2016,559277,3,9.5,0.043,0.162,0.262,0.135,18.49168009,0.178905766,0.212412947,244,0.12315816,0.303721445,213648,0.344917809,286,807,36,37,48495,0.024968407,25992,0.153010477,0.61424,0.088080525,0.191717219,0.093028046,0.334489305,814,1077,6396,0.110320122,0.335149225,0.186337154,0.029656979,185300,241326,222098,19228,131264,90834,799,117,16,1980,0.090458488,4.84821362,95564.44923,18,90.44484906,3.23E-04,2.899346523,0.079676454,0.019735383,37
10780,"Alexandria, LA",0.029284481,0.4641,0.236263916,0.14066219,0.236448642,0.008728228,0.036286963,0.694351199,0.010740945,0.625602543,64570,2026.31,1960.99,153922,154484,3,0.497045517,0,0,0,0,0,0,69,6,65722,0.045114269,1977,120100,67.624,4.579,0.69901805,5683570.426,0.44075993,603102.7586,0.823521298,10,3233155,2,144077,189476,1,1,0,0,0,6.329409722,45.18050168,145035,153922,154789,0.061274865,3,-0.073884758,1980,51648,0,10,0.252,0.141,0.359,0.189,67.89774594,0.24230676,0.357401615,15,0.172336156,0.168861044,38597,0.426665285,64,752,75,82,40591,0.025204571,21138,0.184396129,0.54037488,0.086319592,0.204509327,0.165104531,0.355306082,733,999,1787,0.182654697,0.201827509,0.110327072,0.048393249,130100,20974,17381,3593,9214,8167,762,65,6,1971,0.208776596,30.99075045,78491.98619,2,20.92873696,0,1.226508894,0.171307333,0.042390676,46
10900,"Allentown-Bethlehem-Easton, PA-NJ",0.084659854,0.4377,0.214251746,0.168014393,0.03902278,0.023933011,0.110339676,0.813186529,0.020181318,0.263553371,342200,1475.89,1453.22,821173,832327,10,0.540578485,2510,0,1,0,1,8029,91,40,343976,0.26891411,1966,199800,349.66,39.968,1.180008312,34456905.66,1.001864799,5118028.952,1.152739648,77,74750127,6,1328368,350066,7,19,0,1,0,2.286764405,23.18003023,740395,821173,835652,0.109101223,0,0,2016,120443,9,11.7,0.079,0.117,0.266,0.134,21.19981816,0.195553937,0.292259965,200,0.11298987,0.271139981,179935,0.231294634,213,1110,180,185,58699,0.029608183,29675,0.108741509,0.646514907,0.081386134,0.109400888,0.086258925,0.298385326,941,4158,6404,0.227211924,0.154732331,0.052796246,0.39101812,126900,46026,41244,4782,19006,22238,884,32,6,1952,0.328828829,6.952592013,565071.3588,27,89.80860527,0.006193144,0.420587101,0.103897797,0.030705631,65
11020,"Altoona, PA",0.011482981,0.4383,0.205630413,0.189353516,0.017567332,0.006436341,0.010830153,0.951937236,0.004189898,0.234308241,56276,527.07,525.8,127089,125593,10,0.533057331,0,0,0,0,0,0,13,13,56109,0.331764957,1957,110600,63.79,7.638,1.236077368,4934892.637,0.661615028,791731.2208,1.245101707,16,19348635,2,556867,3256,5,3,2,0,0,2.423498493,18.03460567,129144,127089,124650,-0.01591247,7,-0.444124467,1940,80214,1,13.3,0.023,0.127,0.315,0.163,39.20972644,0.232,0.331,39,0.094508215,0.195554805,25974,0.296642797,32,335,58,58,43981,0.035878042,23865,0.158678528,0.593285753,0.064218234,0.150227593,0.090448948,0.282497943,638,618,1427,0.109367939,0.171056879,0.010786863,0.478811519,85400,20766,18735,2031,12209,6526,569,13,13,1942,0.346268657,6.260233073,241705.9719,10,154.0582278,0.001901864,0.025925012,0.097804103,0.036446916,75
11100,"Amarillo, TX",0.088042405,0.458,0.248522973,0.157044365,0.036294853,0.016818848,0.186181483,0.741128444,0.028013227,0.546419005,102546,3682.36,3649.24,251933,262056,7,0.43904042,0,0,0,0,0,0,26,8,106084,0.070048264,1973,122200,116.048,12.769,1.135894063,10447117.22,1.154489486,1511718.596,1.122998701,26,7515605,3,242343,389284,5,1,0,0,0,5.150451615,47.81876173,226522,249881,263342,0.103120227,0,0,2016,199582,1,9.9,0.166,0.152,0.236,0.115,67.73833445,0.177140045,0.290882909,37,0.156079099,0.229648811,66498,0.352221119,95,323,12,13,50383,0.013884823,25549,0.121596755,0.650144554,0.044638638,0.157681989,0.098412579,0.356070428,766,44,3560,0.165650595,0.222966715,0.141467492,0.072768901,118000,82549,74769,7780,45667,29102,766,20,6,1971,0.077399381,2.422803426,69037.11458,6,28.67938532,2.74E-04,1.485499283,0.094247053,0.033973078,46
11180,"Ames, IA",0.08870985,0.464,0.17428522,0.105988789,0.025799191,0.065039067,0.031848581,0.861654005,0.006966743,0.169350696,36789,573.65,572.82,89542,96021,1,0.551614566,12450,1,1,0,0,0,24,4,37688,0.144449162,1978,166000,49.19,4.853,1.018478984,4161356.253,1.060556368,710782.986,1.325582898,17,7216489,0,0,277,0,1,0,0,0,2.97067298,25.10553707,79981,89542,97090,0.119540891,0,0,2016,66191,0,10.8,0.004,0.152,0.146,0.07,33.85287691,0.107,0.254,0,0.041185887,0.482920643,16105,0.144303011,28,294,59,64,50438,0.008857692,25589,0.077658004,0.676052775,0.054730185,0.226710801,0.047415623,0.465585917,772,0,0,0.025931576,0.61552989,0.22193847,0.100714257,174300,25061,24004,1057,9837,14167,785,24,4,1981,0.418367347,9.576633015,156317.866,1,75.15532019,0,0.002884786,0.042177088,0,36
