stage,clusters,aggcoeff,slope,accel
334,20,13.3842576787622,0.06298705933254284,43.397971287787016
335,19,13.7887328108655,0.030220214061263278,-0.5202155112256569
336,18,14.1643070519166,0.02723776333929304,-0.09869058888610548
337,17,14.7359846982232,0.04036043868656784,0.48178241303477765
338,16,15.0673241282392,0.022485055244116193,-0.442893685603092
339,15,15.5477528141581,0.03188546830412177,0.41807382538966376
340,14,16.3618902830904,0.052363674587811146,0.6422426068317209
341,13,16.7901568767152,0.026174640351145997,-0.5001374415148713
342,12,16.8528788059495,0.003735636879086194,-0.8572802976862054
343,11,17.2312042707608,0.02244871449961051,5.009340636208164
344,10,18.262882923735,0.0598726958814382,1.6670879476184262
345,9,18.7044904857613,0.02418060521279341,-0.5961330142762136
346,8,19.4564911483305,0.04020428480217919,0.662666606082631
347,7,21.4656775362474,0.10326560799681005,1.5685224474186579
348,6,22.5722603264343,0.05155126309515734,-0.5007896230393589
349,5,26.6179319584472,0.17923201192549726,2.4767724622897567
350,4,28.8472174401834,0.08375126532054773,-0.5327215020307797
351,3,31.6792122392669,0.09817219996888181,0.1721876629939824
352,2,33.5111460947508,0.05782763288580731,-0.4109571456671312
353,1,45.1952482499637,0.34866316186789864,5.029352136138903
