cbsa_fips,cbsa,cbsa_type,city,city_fips
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Norwalk,955990
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Stamford,973000
14860,"Bridgeport-Stamford-Norwalk, CT",Metropolitan Statistical Area,Stratford,974260
15020,"Brookhaven, MS",Micropolitan Statistical Area,Brookhaven,2808820
15060,"Brookings, OR",Micropolitan Statistical Area,Brookings,4108650
15100,"Brookings, SD",Micropolitan Statistical Area,Brookings,4607580
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Brownsville,4810768
15180,"Brownsville-Harlingen, TX",Metropolitan Statistical Area,Harlingen,4832372
15220,"Brownwood, TX",Micropolitan Statistical Area,Brownwood,4810780
15260,"Brunswick, GA",Metropolitan Statistical Area,Brunswick,1311560
15340,"Bucyrus, OH",Micropolitan Statistical Area,Bucyrus,3910030
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan Statistical Area,Buffalo,3611000
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan Statistical Area,Cheektowaga,3615000
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Metropolitan Statistical Area,Niagara Falls,3651055
15420,"Burley, ID",Micropolitan Statistical Area,Burley,1611260
15460,"Burlington, IA-IL",Micropolitan Statistical Area,Burlington,1909550
15500,"Burlington, NC",Metropolitan Statistical Area,Burlington,3709060
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,Burlington,5010675
15540,"Burlington-South Burlington, VT",Metropolitan Statistical Area,South Burlington,5066175
15580,"Butte-Silver Bow, MT",Micropolitan Statistical Area,Butte-Silver Bow (balance),3011397
15620,"Cadillac, MI",Micropolitan Statistical Area,Cadillac,2612320
15660,"Calhoun, GA",Micropolitan Statistical Area,Calhoun,1312456
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,California,2412150
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,Lexington Park,2446725
15700,"Cambridge, MD",Micropolitan Statistical Area,Cambridge,2412400
15740,"Cambridge, OH",Micropolitan Statistical Area,Cambridge,3910996
15780,"Camden, AR",Micropolitan Statistical Area,Camden,510720
15820,"Campbellsville, KY",Micropolitan Statistical Area,Campbellsville,2112160
15860,"Cañon City, CO",Micropolitan Statistical Area,Cañon City,811810
15900,"Canton, IL",Micropolitan Statistical Area,Canton,1711007
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Canton,3912000
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Massillon,3948244
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Cape Coral,1210275
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Fort Myers,1224125
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Cape Girardeau,2911242
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Carbondale,1711163
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Marion,1746916
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Artesia,3505220
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Carlsbad,3512150
16180,"Carson City, NV",Metropolitan Statistical Area,Carson City,3209700
16220,"Casper, WY",Metropolitan Statistical Area,Casper,5613150
16260,"Cedar City, UT",Micropolitan Statistical Area,Cedar City,4911320
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Cedar Rapids,1912000
16340,"Cedartown, GA",Micropolitan Statistical Area,Cedartown,1314500
16380,"Celina, OH",Micropolitan Statistical Area,Celina,3912868
16460,"Centralia, IL",Micropolitan Statistical Area,Centralia,1712164
16500,"Centralia, WA",Micropolitan Statistical Area,Centralia,5311160
16540,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,Chambersburg,4212536
16540,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,Waynesboro,4281824
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Champaign,1712385
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Urbana,1777005
16620,"Charleston, WV",Metropolitan Statistical Area,Charleston,5414600
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Charleston,1712567
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Mattoon,1747553
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,Charleston,4513330
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,North Charleston,4550875
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Charlotte,3712000
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Concord,3714100
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Gastonia,3725580
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Rock Hill,4561405
16820,"Charlottesville, VA",Metropolitan Statistical Area,Charlottesville,5114968
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,Chattanooga,4714000
16940,"Cheyenne, WY",Metropolitan Statistical Area,Cheyenne,5613900
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Arlington Heights,1702154
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Chicago,1714000
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Des Plaines,1719642
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Elgin,1723074
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Evanston,1724582
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Hoffman Estates,1735411
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Naperville,1751622
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Schaumburg,1768003
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Skokie,1770122
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Gary,1827000
17020,"Chico, CA",Metropolitan Statistical Area,Chico,613014
17060,"Chillicothe, OH",Micropolitan Statistical Area,Chillicothe,3914184
17140,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,Cincinnati,3915000
17200,"Claremont-Lebanon, NH-VT",Micropolitan Statistical Area,Claremont,3312900
17200,"Claremont-Lebanon, NH-VT",Micropolitan Statistical Area,Lebanon,3341300
17220,"Clarksburg, WV",Micropolitan Statistical Area,Clarksburg,5415628
17260,"Clarksdale, MS",Micropolitan Statistical Area,Clarksdale,2813820
17300,"Clarksville, TN-KY",Metropolitan Statistical Area,Clarksville,4715160
17340,"Clearlake, CA",Micropolitan Statistical Area,Clearlake,613945
17380,"Cleveland, MS",Micropolitan Statistical Area,Cleveland,2814260
17420,"Cleveland, TN",Metropolitan Statistical Area,Cleveland,4715400
17460,"Cleveland-Elyria, OH",Metropolitan Statistical Area,Cleveland,3916000
17460,"Cleveland-Elyria, OH",Metropolitan Statistical Area,Elyria,3925256
17500,"Clewiston, FL",Micropolitan Statistical Area,Clewiston,1213000
17540,"Clinton, IA",Micropolitan Statistical Area,Clinton,1914430
17580,"Clovis, NM",Micropolitan Statistical Area,Clovis,3516420
17620,"Coamo, PR",Micropolitan Statistical Area,Coamo,7218719
17640,"Coco, PR",Micropolitan Statistical Area,Coco,7218891
17660,"Coeur d'Alene, ID",Metropolitan Statistical Area,Coeur d'Alene,1616750
17700,"Coffeyville, KS",Micropolitan Statistical Area,Coffeyville,2014600
17740,"Coldwater, MI",Micropolitan Statistical Area,Coldwater,2617020
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,Bryan,4810912
17780,"College Station-Bryan, TX",Metropolitan Statistical Area,College Station,4815976
17820,"Colorado Springs, CO",Metropolitan Statistical Area,Colorado Springs,816000
17860,"Columbia, MO",Metropolitan Statistical Area,Columbia,2915670
17900,"Columbia, SC",Metropolitan Statistical Area,Columbia,4516000
17980,"Columbus, GA-AL",Metropolitan Statistical Area,Columbus,1319007
18020,"Columbus, IN",Metropolitan Statistical Area,Columbus,1814734
18060,"Columbus, MS",Micropolitan Statistical Area,Columbus,2815380
18100,"Columbus, NE",Micropolitan Statistical Area,Columbus,3110110
18140,"Columbus, OH",Metropolitan Statistical Area,Columbus,3918000
18180,"Concord, NH",Micropolitan Statistical Area,Concord,3314200
18220,"Connersville, IN",Micropolitan Statistical Area,Connersville,1814932
18260,"Cookeville, TN",Micropolitan Statistical Area,Cookeville,4716920
18300,"Coos Bay, OR",Micropolitan Statistical Area,Coos Bay,4115250
18380,"Cordele, GA",Micropolitan Statistical Area,Cordele,1319616
18420,"Corinth, MS",Micropolitan Statistical Area,Corinth,2815700
18460,"Cornelia, GA",Micropolitan Statistical Area,Cornelia,1319728
18500,"Corning, NY",Micropolitan Statistical Area,Corning,3618256
18580,"Corpus Christi, TX",Metropolitan Statistical Area,Corpus Christi,4817000
18620,"Corsicana, TX",Micropolitan Statistical Area,Corsicana,4817060
18660,"Cortland, NY",Micropolitan Statistical Area,Cortland,3618388
18700,"Corvallis, OR",Metropolitan Statistical Area,Corvallis,4115800
18740,"Coshocton, OH",Micropolitan Statistical Area,Coshocton,3918868
18780,"Craig, CO",Micropolitan Statistical Area,Craig,817760
18820,"Crawfordsville, IN",Micropolitan Statistical Area,Crawfordsville,1815742
18860,"Crescent City, CA",Micropolitan Statistical Area,Crescent City,617022
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Crestview,1215475
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Destin,1217325
18880,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,Fort Walton Beach,1224475
18900,"Crossville, TN",Micropolitan Statistical Area,Crossville,4718540
18980,"Cullman, AL",Micropolitan Statistical Area,Cullman,118976
19000,"Cullowhee, NC",Micropolitan Statistical Area,Cullowhee,3715880
19060,"Cumberland, MD-WV",Metropolitan Statistical Area,Cumberland,2421325
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Arlington,4804000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Dallas,4819000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Denton,4819972
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Fort Worth,4827000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Irving,4837000
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Plano,4858016
19100,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,Richardson,4861796
19140,"Dalton, GA",Metropolitan Statistical Area,Dalton,1321380
19180,"Danville, IL",Metropolitan Statistical Area,Danville,1718563
19220,"Danville, KY",Micropolitan Statistical Area,Danville,2119882
19260,"Danville, VA",Micropolitan Statistical Area,Danville,5121344
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Daphne,119648
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Fairhope,125240
19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Foley,126992
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Moline,1749867
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Rock Island,1765078
19340,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Davenport,1919000
19380,"Dayton, OH",Metropolitan Statistical Area,Dayton,3921000
19420,"Dayton, TN",Micropolitan Statistical Area,Dayton,4719700
19460,"Decatur, AL",Metropolitan Statistical Area,Decatur,120104
19500,"Decatur, IL",Metropolitan Statistical Area,Decatur,1718823
19540,"Decatur, IN",Micropolitan Statistical Area,Decatur,1817074
19580,"Defiance, OH",Micropolitan Statistical Area,Defiance,3921308
19620,"Del Rio, TX",Micropolitan Statistical Area,Del Rio,4819792
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Daytona Beach,1216525
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Deltona,1217200
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,Ormond Beach,1253150
19700,"Deming, NM",Micropolitan Statistical Area,Deming,3520270
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Aurora,804000
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Broomfield,809280
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Denver,820000
19740,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,Lakewood,843000
19760,"DeRidder, LA",Micropolitan Statistical Area,DeRidder,2220610
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Des Moines,1921000
19780,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,West Des Moines,1983910
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Dearborn,2621000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Detroit,2622000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Farmington Hills,2627440
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Livonia,2649000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Novi,2659440
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Pontiac,2665440
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Southfield,2674900
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Taylor,2679000
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Troy,2680700
19820,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,Warren,2684000
19860,"Dickinson, ND",Micropolitan Statistical Area,Dickinson,3819620
19940,"Dixon, IL",Micropolitan Statistical Area,Dixon,1720162
19980,"Dodge City, KS",Micropolitan Statistical Area,Dodge City,2018250
20020,"Dothan, AL",Metropolitan Statistical Area,Dothan,121184
20060,"Douglas, GA",Micropolitan Statistical Area,Douglas,1323872
20100,"Dover, DE",Metropolitan Statistical Area,Dover,1021200
20140,"Dublin, GA",Micropolitan Statistical Area,Dublin,1324376
20180,"DuBois, PA",Micropolitan Statistical Area,DuBois,4220136
20220,"Dubuque, IA",Metropolitan Statistical Area,Dubuque,1922395
20260,"Duluth, MN-WI",Metropolitan Statistical Area,Duluth,2717000
20300,"Dumas, TX",Micropolitan Statistical Area,Dumas,4821556
20340,"Duncan, OK",Micropolitan Statistical Area,Duncan,4021900
20380,"Dunn, NC",Micropolitan Statistical Area,Dunn,3718320
20420,"Durango, CO",Micropolitan Statistical Area,Durango,822035
20460,"Durant, OK",Micropolitan Statistical Area,Durant,4022050
20500,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,Chapel Hill,3711800
20500,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,Durham,3719000
20540,"Dyersburg, TN",Micropolitan Statistical Area,Dyersburg,4722200
20580,"Eagle Pass, TX",Micropolitan Statistical Area,Eagle Pass,4821892
20660,"Easton, MD",Micropolitan Statistical Area,Easton,2424475
20700,"East Stroudsburg, PA",Metropolitan Statistical Area,East Stroudsburg,4221872
20740,"Eau Claire, WI",Metropolitan Statistical Area,Eau Claire,5522300
20780,"Edwards, CO",Micropolitan Statistical Area,Edwards,823300
20820,"Effingham, IL",Micropolitan Statistical Area,Effingham,1722736
20900,"El Campo, TX",Micropolitan Statistical Area,El Campo,4822864
20940,"El Centro, CA",Metropolitan Statistical Area,El Centro,621782
20980,"El Dorado, AR",Micropolitan Statistical Area,El Dorado,521070
21020,"Elizabeth City, NC",Micropolitan Statistical Area,Elizabeth City,3720580
21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,Elizabethtown,2124274
21060,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,Fort Knox,2128540
21120,"Elk City, OK",Micropolitan Statistical Area,Elk City,4023500
21140,"Elkhart-Goshen, IN",Metropolitan Statistical Area,Elkhart,1820728
21140,"Elkhart-Goshen, IN",Metropolitan Statistical Area,Goshen,1828386
21180,"Elkins, WV",Micropolitan Statistical Area,Elkins,5424580
21220,"Elko, NV",Micropolitan Statistical Area,Elko,3222500
21260,"Ellensburg, WA",Micropolitan Statistical Area,Ellensburg,5321240
21300,"Elmira, NY",Metropolitan Statistical Area,Elmira,3624229
