clst_names,hit_ratios,k_solution
hr_cluster_z1,93.22033898305084,5
hr_cluster_z2,90.11299435028248,13
hr_cluster_z3,87.85310734463276,11
hr_cluster_z4,91.52542372881356,8
hr_cluster_m1,99.43502824858757,5
hr_cluster_m2,90.3954802259887,13
hr_cluster_m3,89.54802259887006,11
hr_cluster_m4,96.045197740113,8
